# 2021gwa 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.22 (yyyy.mm.dd); 23.40 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021gwa
RA: 235.654473
DEC: 6.854538
MWEBV: 0.041
REDSHIFT_HELIO: 0.0704
REDSHIFT_CMB: 0.07171692292985243
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59302.39
FILTERS: i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 50
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59291.378 p48r 946.2372 112.4256 20.06 0.129
OBS: 59291.5 p48g 882.2669 138.1416 20.136 0.17
OBS: 59295.331 p48g 1889.7311 207.1203 19.309 0.119
OBS: 59295.399 p48r 1639.8344 144.993 19.463 0.096
OBS: 59297.321 p48g 1940.8859 284.2319 19.28 0.159
OBS: 59297.402 p48r 2320.5985 190.2242 19.086 0.089
OBS: 59300.394 p48g 2642.4088 328.556 18.945 0.135
OBS: 59300.418 p48r 2657.0517 349.9546 18.939 0.143
OBS: 59302.39 p48g 3933.6888 355.06 18.513 0.098
OBS: 59302.422 p48r 3299.1343 270.4367 18.704 0.089
OBS: 59304.382 p48r 3185.6642 619.0962 18.742 0.211
OBS: 59304.418 p48g 2652.1617 532.5154 18.941 0.218
OBS: 59307.414 p48r 3104.5596 114.3762 18.77 0.04
OBS: 59307.421 p48g 2926.8469 121.3077 18.834 0.045
OBS: 59309.373 p48g 2558.5859 131.9665 18.98 0.056
OBS: 59309.477 p48r 2967.5634 142.1278 18.819 0.052
OBS: 59311.462 p48r 2924.1524 107.7298 18.835 0.04
OBS: 59313.478 p48g 1984.2665 129.758 19.256 0.071
OBS: 59315.33 p48g 1688.8847 119.7751 19.431 0.077
OBS: 59315.374 p48r 2532.7948 254.2741 18.991 0.109
OBS: 59317.437 p48r 2361.5655 89.1784 19.067 0.041
OBS: 59320.363 p48g 953.235 89.5521 20.052 0.102
OBS: 59322.309 p48r 2126.1799 140.9964 19.181 0.072
OBS: 59324.275 p48r 1659.5869 178.8387 19.45 0.117
OBS: 59324.378 p48g 628.0584 101.8095 20.505 0.176
OBS: 59328.278 p48r 1425.6076 212.7114 19.615 0.162
OBS: 59334.355 p48r 1124.0872 148.0511 19.873 0.143
OBS: 59339.317 p48r 1069.5473 82.7475 19.927 0.084
OBS: 59341.281 p48r 803.1562 77.6721 20.238 0.105
OBS: 59341.316 p48g 262.301 63.0545 21.453 0.261
OBS: 59343.331 p48r 722.437 89.1621 20.353 0.134
OBS: 59345.337 p48r 669.8846 95.0159 20.435 0.154
OBS: 59349.316 p48r 484.3954 83.8752 20.787 0.188
OBS: 59352.295 p48r 454.1507 101.644 20.857 0.243
OBS: 59356.37 r_PS1 632.1207 73.94 20.498 0.127
OBS: 59356.37 i_PS1 787.771 132.7782 20.259 0.183
OBS: 59365.35 r_PS1 466.8743 54.1809 20.827 0.126
OBS: 59365.35 i_PS1 380.1894 52.5251 21.05 0.15
OBS: 59367.34 p48r 472.498 105.3152 20.814 0.242
OBS: 59367.34 z_PS1 336.9768 81.3162 21.181 0.262
OBS: 59369.315 p48r 359.4181 80.7729 21.111 0.244
OBS: 59371.316 p48r 350.9134 74.0135 21.137 0.229
OBS: 59375.232 p48r 458.7753 102.6791 20.846 0.243
OBS: 59377.253 p48r 319.7422 79.2187 21.238 0.269
OBS: 59377.49 i_PS1 359.0873 73.0917 21.112 0.221
OBS: 59379.337 p48r 445.4511 102.5689 20.878 0.25
OBS: 59382.28 i_PS1 271.3938 65.2403 21.416 0.261
OBS: 59392.34 r_PS1 349.9452 57.0491 21.14 0.177
OBS: 59395.4 r_PS1 287.6074 46.6217 21.353 0.176
OBS: 59409.33 r_PS1 186.0373 37.8676 21.826 0.221
END:
