# 2021gyh 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 15.24 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021gyh
RA: 195.966091
DEC: -3.451749
MWEBV: 0.025
REDSHIFT_HELIO: 0.08
REDSHIFT_CMB: 0.08461602042190841
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59304.81172878266
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 37
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59290.357 p48r 390.8409 92.5143 21.02 0.257
OBS: 59292.331 p48g 659.4775 83.8214 20.452 0.138
OBS: 59293.42 g_PS1 802.4168 104.9455 20.239 0.142
OBS: 59293.42 z_PS1 594.8398 109.5735 20.564 0.2
OBS: 59294.27 p48g 848.7895 186.0598 20.178 0.238
OBS: 59296.45 g_PS1 1766.8513 94.3852 19.382 0.058
OBS: 59296.46 i_PS1 1567.4728 83.7344 19.512 0.058
OBS: 59297.291 p48r 1995.2623 227.8754 19.25 0.124
OBS: 59297.301 p48g 1647.4036 238.2184 19.458 0.157
OBS: 59300.336 p48g 2212.0758 397.2924 19.138 0.195
OBS: 59304.268 p48g 2854.9598 305.0238 18.861 0.116
OBS: 59304.321 p48r 2015.5798 328.5859 19.239 0.177
OBS: 59305.53 z_PS1 1379.1135 142.2636 19.651 0.112
OBS: 59305.53 r_PS1 2577.5079 118.6986 18.972 0.05
OBS: 59307.314 p48g 2421.029 93.6537 19.04 0.042
OBS: 59307.34 p48r 2606.1535 105.6157 18.96 0.044
OBS: 59309.291 p48r 2511.8864 113.3631 19.0 0.049
OBS: 59311.296 p48r 1788.1337 207.5134 19.369 0.126
OBS: 59313.257 p48g 1257.7664 111.2108 19.751 0.096
OBS: 59315.294 p48g 1821.3776 273.4408 19.349 0.163
OBS: 59317.317 p48r 1682.6741 91.4382 19.435 0.059
OBS: 59319.36 i_PS1 1187.955 87.5318 19.813 0.08
OBS: 59321.312 p48r 1430.8694 115.9734 19.611 0.088
OBS: 59323.331 p48r 1381.6562 128.5278 19.649 0.101
OBS: 59325.274 p48r 1342.765 155.8283 19.68 0.126
OBS: 59333.31 r_PS1 715.1547 97.4849 20.364 0.148
OBS: 59333.32 i_PS1 658.2638 152.7834 20.454 0.252
OBS: 59334.274 p48r 746.7926 150.6329 20.317 0.219
OBS: 59336.43 r_PS1 344.5085 68.2204 21.157 0.215
OBS: 59338.292 p48r 676.083 125.1618 20.425 0.201
OBS: 59340.274 p48r 476.431 91.7111 20.805 0.209
OBS: 59342.273 p48r 640.9144 106.845 20.483 0.181
OBS: 59343.27 g_PS1 204.1738 46.8247 21.725 0.249
OBS: 59343.27 i_PS1 531.6184 64.1427 20.686 0.131
OBS: 59344.231 p48r 502.1113 94.8046 20.748 0.205
OBS: 59350.26 r_PS1 337.5981 80.8442 21.179 0.26
OBS: 59364.37 r_PS1 216.7704 48.7153 21.66 0.244
END:
