# 2021hca 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.30 (yyyy.mm.dd); 18.40 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021hca
RA: 170.195231
DEC: 14.204458
MWEBV: 0.021
REDSHIFT_HELIO: 0.13
REDSHIFT_CMB: 0.13129925999052805
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59315.25
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 52
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59296.34 i_PS1 707.9458 80.8532 20.375 0.124
OBS: 59296.35 g_PS1 853.4931 95.1176 20.172 0.121
OBS: 59297.257 p48r 1051.9619 178.2763 19.945 0.184
OBS: 59302.264 p48r 1421.6739 263.1914 19.618 0.201
OBS: 59303.35 r_PS1 1737.8008 179.2643 19.4 0.112
OBS: 59303.35 z_PS1 805.3784 199.5391 20.235 0.269
OBS: 59304.235 p48g 1377.8438 185.28 19.652 0.146
OBS: 59304.307 p48r 1393.1568 179.6403 19.64 0.14
OBS: 59306.46 r_PS1 1554.5332 65.8618 19.521 0.046
OBS: 59306.46 i_PS1 1203.3723 72.0425 19.799 0.065
OBS: 59307.255 p48r 1678.0311 88.0949 19.438 0.057
OBS: 59307.277 p48g 1951.6413 80.8888 19.274 0.045
OBS: 59309.234 p48r 1803.0177 94.6565 19.36 0.057
OBS: 59311.171 p48r 1618.8254 153.5723 19.477 0.103
OBS: 59311.232 p48g 1690.4409 90.3033 19.43 0.058
OBS: 59311.4 r_PS1 1567.4728 66.41 19.512 0.046
OBS: 59311.4 g_PS1 1690.4409 70.0629 19.43 0.045
OBS: 59313.213 p48r 1564.588 99.4317 19.514 0.069
OBS: 59315.213 p48g 1524.7548 82.8567 19.542 0.059
OBS: 59315.25 p48r 1980.6147 468.8229 19.258 0.257
OBS: 59315.25 g_PS1 1328.0059 62.3801 19.692 0.051
OBS: 59315.26 i_PS1 976.3376 80.9316 20.026 0.09
OBS: 59317.193 p48r 1424.2952 74.774 19.616 0.057
OBS: 59317.236 p48g 1422.9839 66.8414 19.617 0.051
OBS: 59318.25 g_PS1 1092.4461 58.3584 19.904 0.058
OBS: 59318.25 i_PS1 874.9838 72.5301 20.145 0.09
OBS: 59320.174 p48g 1146.0406 75.9991 19.852 0.072
OBS: 59320.26 r_PS1 981.7479 71.4336 20.02 0.079
OBS: 59320.26 g_PS1 970.0631 61.6488 20.033 0.069
OBS: 59323.226 p48r 987.1883 115.4727 20.014 0.127
OBS: 59323.258 p48g 892.0722 127.3525 20.124 0.155
OBS: 59323.3 g_PS1 859.8051 134.6247 20.164 0.17
OBS: 59323.3 i_PS1 548.0245 74.1981 20.653 0.147
OBS: 59325.228 p48g 717.7943 128.917 20.36 0.195
OBS: 59325.257 p48r 814.3292 107.2536 20.223 0.143
OBS: 59335.234 p48g 511.4463 105.9884 20.728 0.225
OBS: 59338.213 p48r 618.3011 85.4214 20.522 0.15
OBS: 59340.214 p48g 306.4785 67.7465 21.284 0.24
OBS: 59340.254 p48r 479.5126 79.9382 20.798 0.181
OBS: 59342.256 p48r 504.8938 88.3546 20.742 0.19
OBS: 59344.227 p48r 438.127 77.8813 20.896 0.193
OBS: 59344.26 i_PS1 560.2734 61.4077 20.629 0.119
OBS: 59346.29 r_PS1 387.2576 53.5016 21.03 0.15
OBS: 59348.247 p48g 337.9092 75.6279 21.178 0.243
OBS: 59348.3 i_PS1 333.8874 77.4955 21.191 0.252
OBS: 59349.31 r_PS1 317.1027 61.3331 21.247 0.21
OBS: 59361.26 i_PS1 451.6479 111.8995 20.863 0.269
OBS: 59363.19 p48r 329.3063 78.8586 21.206 0.26
OBS: 59365.26 i_PS1 298.6758 53.9177 21.312 0.196
OBS: 59365.27 r_PS1 234.6389 54.892 21.574 0.254
OBS: 59366.27 i_PS1 225.1127 53.2855 21.619 0.257
OBS: 59370.26 i_PS1 298.4008 61.5636 21.313 0.224
END:
