# 2021hem 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 00.49 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021hem
RA: 245.316677
DEC: 14.552684
MWEBV: 0.051
REDSHIFT_HELIO: 0.035
REDSHIFT_CMB: 0.034720540289952195
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59315.442
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 137
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59297.42 p48r 1076.4652 146.7362 19.92 0.148
OBS: 59297.444 p48g 915.377 167.7756 20.096 0.199
OBS: 59301.402 p48r 2862.8593 297.9574 18.858 0.113
OBS: 59301.451 p48g 2630.268 310.0885 18.95 0.128
OBS: 59303.389 p48g 5964.8565 291.1733 18.061 0.053
OBS: 59303.425 p48r 6115.0498 253.4476 18.034 0.045
OBS: 59306.42 p48g 15052.2007 235.681 17.056 0.017
OBS: 59306.475 p48r 15149.5593 167.4391 17.049 0.012
OBS: 59308.38 p48g 20606.2991 170.8119 16.715 0.009
OBS: 59308.457 p48r 20044.7203 147.695 16.745 0.008
OBS: 59310.421 p48g 27114.4001 174.813 16.417 0.007
OBS: 59310.444 p48r 25468.3025 211.1146 16.485 0.009
OBS: 59310.49 g_PS1 25515.2601 188.0034 16.483 0.008
OBS: 59310.49 z_PS1 15431.2107 198.9774 17.029 0.014
OBS: 59312.4 p48r 28444.6111 183.3892 16.365 0.007
OBS: 59312.42 p48g 30676.0898 197.7761 16.283 0.007
OBS: 59315.442 p48r 38264.8487 493.4052 16.043 0.014
OBS: 59315.479 p48g 35123.679 485.2516 16.136 0.015
OBS: 59317.5 g_PS1 32809.5293 181.3122 16.21 0.006
OBS: 59317.5 r_PS1 30507.035 168.5881 16.289 0.006
OBS: 59319.389 p48r 28366.1242 209.0093 16.368 0.008
OBS: 59319.435 p48g 32688.8769 180.6454 16.214 0.006
OBS: 59321.57 i_PS1 20361.042 150.0257 16.728 0.008
OBS: 59321.58 g_PS1 29349.4522 162.1911 16.331 0.006
OBS: 59322.31 p48r 29160.838 214.865 16.338 0.008
OBS: 59322.354 p48g 30199.5172 194.7035 16.3 0.007
OBS: 59324.338 p48r 27694.9127 204.0637 16.394 0.008
OBS: 59324.38 p48g 26668.5866 196.5014 16.435 0.008
OBS: 59326.46 r_PS1 23442.2882 151.138 16.575 0.007
OBS: 59326.47 z_PS1 17490.4104 177.2019 16.893 0.011
OBS: 59328.284 p48r 22636.0164 271.031 16.613 0.013
OBS: 59328.33 p48g 20267.4915 242.6716 16.733 0.013
OBS: 59334.377 p48r 19390.9908 214.3172 16.781 0.012
OBS: 59334.451 p48g 12647.3635 198.0271 17.245 0.017
OBS: 59336.375 p48r 18932.1528 174.3716 16.807 0.01
OBS: 59336.416 p48g 11035.7029 162.6281 17.393 0.016
OBS: 59336.61 i_PS1 15107.7573 139.1476 17.052 0.01
OBS: 59336.61 r_PS1 17266.3285 143.1259 16.907 0.009
OBS: 59339.336 p48r 17571.1425 145.6526 16.888 0.009
OBS: 59339.361 p48g 8233.7941 113.7541 17.711 0.015
OBS: 59341.319 p48g 6498.3036 95.7625 17.968 0.016
OBS: 59341.4 p48r 14125.3754 156.1194 17.125 0.012
OBS: 59342.55 g_PS1 6020.0486 83.17 18.051 0.015
OBS: 59342.56 r_PS1 13206.873 97.3118 17.198 0.008
OBS: 59343.384 p48g 5607.8966 98.1362 18.128 0.019
OBS: 59345.34 p48r 12953.8839 131.2406 17.219 0.011
OBS: 59345.394 p48g 4897.7882 99.2427 18.275 0.022
OBS: 59345.55 i_PS1 12246.162 90.2331 17.28 0.008
OBS: 59345.55 g_PS1 4799.5442 70.7287 18.297 0.016
OBS: 59349.337 p48r 10375.2842 114.6719 17.46 0.012
OBS: 59349.358 p48g 3922.8346 86.7135 18.516 0.024
OBS: 59352.299 p48r 8725.6944 128.5866 17.648 0.016
OBS: 59352.342 p48g 3694.8771 88.4808 18.581 0.026
OBS: 59353.51 g_PS1 3610.7715 89.7924 18.606 0.027
OBS: 59353.52 i_PS1 8417.8271 108.5435 17.687 0.014
OBS: 59354.381 p48g 3247.8802 89.7422 18.721 0.03
OBS: 59354.4 p48r 8083.5104 126.5682 17.731 0.017
OBS: 59358.315 p48r 7324.8713 249.6189 17.838 0.037
OBS: 59358.4 p48g 3404.0819 241.4162 18.67 0.077
OBS: 59361.329 p48g 3036.6868 234.9389 18.794 0.084
OBS: 59361.375 p48r 6735.9678 229.5501 17.929 0.037
OBS: 59363.277 p48g 3253.8685 140.8554 18.719 0.047
