# 2021hiz 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.29 (yyyy.mm.dd); 12.53 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021hiz
RA: 186.42365
DEC: 7.228405
MWEBV: 0.022
REDSHIFT_HELIO: 0.0033
REDSHIFT_CMB: 0.00443668874217118
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59320.31
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 219
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59303.359 p48g 8332.9735 283.9732 17.698 0.037
OBS: 59304.35 r_PS1 21817.2496 180.8499 16.653 0.009
OBS: 59304.35 z_PS1 21657.0849 239.3629 16.661 0.012
OBS: 59305.277 p48g 41686.9383 422.346 15.95 0.011
OBS: 59305.32 r_PS1 38797.1657 214.4011 16.028 0.006
OBS: 59305.32 i_PS1 31885.9969 176.2085 16.241 0.006
OBS: 59306.39 r_PS1 62517.2693 230.3221 15.51 0.004
OBS: 59306.39 z_PS1 57756.3846 319.1736 15.596 0.006
OBS: 59307.254 p48r 94885.5327 349.5712 15.057 0.004
OBS: 59307.297 p48g 87579.0036 241.9897 15.144 0.003
OBS: 59307.35 i_PS1 77410.5227 285.1909 15.278 0.004
OBS: 59307.36 g_PS1 88470.8093 325.9385 15.133 0.004
OBS: 59309.277 p48r 173300.5735 478.8472 14.403 0.003
OBS: 59309.309 p48g 159661.4246 441.1608 14.492 0.003
OBS: 59310.47 g_PS1 213010.0037 392.3789 14.179 0.002
OBS: 59310.47 i_PS1 93669.8878 517.6389 15.071 0.006
OBS: 59311.233 p48g 258226.0191 475.6699 13.97 0.002
OBS: 59311.312 p48r 283139.1996 521.5617 13.87 0.002
OBS: 59311.34 g_PS1 252115.7631 464.4144 13.996 0.002
OBS: 59311.34 z_PS1 213796.209 590.7408 14.175 0.003
OBS: 59313.255 p48g 357766.7699 659.0307 13.616 0.002
OBS: 59313.298 p48r 381592.6491 702.9196 13.546 0.002
OBS: 59313.47 g_PS1 356451.1334 656.6073 13.62 0.002
OBS: 59313.47 i_PS1 297851.6429 548.663 13.815 0.002
OBS: 59314.31 z_PS1 294306.599 813.1992 13.828 0.003
OBS: 59314.31 g_PS1 382648.4866 704.8646 13.543 0.002
OBS: 59315.253 p48r 445861.5279 2874.5755 13.377 0.007
OBS: 59315.276 p48g 416102.1885 1532.9771 13.452 0.004
OBS: 59316.43 i_PS1 344508.5463 634.6082 13.657 0.002
OBS: 59316.43 g_PS1 471628.4553 868.7717 13.316 0.002
OBS: 59317.252 p48g 492492.9296 453.6028 13.269 0.001
OBS: 59317.331 p48r 467735.1413 861.6 13.325 0.002
OBS: 59317.37 z_PS1 329913.4338 607.723 13.704 0.002
OBS: 59317.37 g_PS1 475554.1763 876.0032 13.307 0.002
OBS: 59318.43 r_PS1 536043.4578 1974.8571 13.177 0.004
OBS: 59320.31 z_PS1 331131.1215 914.9491 13.7 0.003
OBS: 59320.31 g_PS1 602004.8637 2217.8679 13.051 0.004
OBS: 59321.271 p48g 539013.9436 496.4502 13.171 0.001
OBS: 59321.298 p48r 515228.6446 474.5431 13.22 0.001
OBS: 59321.36 r_PS1 497966.3542 917.2879 13.257 0.002
OBS: 59321.36 g_PS1 487977.7273 898.8882 13.279 0.002
OBS: 59322.41 i_PS1 270146.9073 746.4435 13.921 0.003
OBS: 59322.41 g_PS1 486631.2561 896.4079 13.282 0.002
OBS: 59323.278 p48g 482614.0933 444.504 13.291 0.001
OBS: 59323.3 z_PS1 301439.3884 832.9078 13.802 0.003
OBS: 59323.3 g_PS1 483058.802 889.8272 13.29 0.002
OBS: 59323.316 p48r 504428.946 929.1925 13.243 0.002
OBS: 59325.277 p48r 459198.0128 845.874 13.345 0.002
