# 2021hpr 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.22 (yyyy.mm.dd); 23.40 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021hpr
RA: 154.160875
DEC: 73.400497
MWEBV: 0.021
REDSHIFT_HELIO: 0.0094
REDSHIFT_CMB: 0.010549586153302482
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59324.25
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 294
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59305.285 p48g 3098.846 673.5777 18.772 0.236
OBS: 59305.309 p48r 3382.2056 781.8967 18.677 0.251
OBS: 59307.161 p48g 9401.5617 112.5691 17.567 0.013
OBS: 59307.223 p48r 12682.3578 140.1706 17.242 0.012
OBS: 59309.187 p48g 26644.0353 171.7804 16.436 0.007
OBS: 59309.229 p48r 34673.685 191.6139 16.15 0.006
OBS: 59311.178 p48r 69246.8464 255.1148 15.399 0.004
OBS: 59311.203 p48g 66619.29 245.4345 15.441 0.004
OBS: 59312.38 g_PS1 95060.4794 525.3236 15.055 0.006
OBS: 59312.38 z_PS1 65222.8842 480.58 15.464 0.008
OBS: 59312.38 r_PS1 90448.2149 416.5294 15.109 0.005
OBS: 59312.38 i_PS1 63153.8745 407.1681 15.499 0.007
OBS: 59313.201 p48r 107844.9963 297.9867 14.918 0.003
OBS: 59313.37 z_PS1 73654.6211 339.1921 15.332 0.005
OBS: 59313.37 r_PS1 108342.7862 399.1496 14.913 0.004
OBS: 59313.37 g_PS1 110764.3492 408.0709 14.889 0.004
OBS: 59313.37 i_PS1 77054.8537 283.8806 15.283 0.004
OBS: 59314.29 i_PS1 89289.4196 328.9544 15.123 0.004
OBS: 59314.29 g_PS1 130617.0888 360.9084 14.71 0.003
OBS: 59314.29 r_PS1 121898.9599 336.8193 14.785 0.003
OBS: 59314.29 z_PS1 81432.9185 375.0124 15.223 0.005
OBS: 59315.2 p48g 150938.4897 417.0585 14.553 0.003
OBS: 59315.24 i_PS1 98809.7954 364.0287 15.013 0.004
OBS: 59315.24 z_PS1 91875.5602 423.1026 15.092 0.005
OBS: 59315.24 p48r 144543.9771 399.3898 14.6 0.003
OBS: 59315.25 g_PS1 145612.9499 536.4579 14.592 0.004
OBS: 59315.25 r_PS1 136898.9131 378.2657 14.659 0.003
OBS: 59316.41 i_PS1 107745.7131 396.9499 14.919 0.004
OBS: 59316.41 r_PS1 155739.9389 430.3254 14.519 0.003
OBS: 59316.41 g_PS1 167340.0907 462.3778 14.441 0.003
OBS: 59316.41 z_PS1 101297.7969 466.4936 14.986 0.005
OBS: 59317.181 p48g 180467.9147 332.4342 14.359 0.002
OBS: 59317.24 r_PS1 174421.4932 642.5925 14.396 0.004
OBS: 59317.24 i_PS1 109647.8196 403.9575 14.9 0.004
OBS: 59317.24 z_PS1 105293.1213 484.8927 14.944 0.005
OBS: 59317.25 g_PS1 183147.0805 674.7388 14.343 0.004
OBS: 59318.24 z_PS1 104520.1441 481.3331 14.952 0.005
OBS: 59318.25 i_PS1 110458.7184 305.2087 14.892 0.003
OBS: 59318.25 g_PS1 180135.7865 497.7336 14.361 0.003
OBS: 59318.25 r_PS1 165653.2649 305.1446 14.452 0.002
OBS: 59319.24 z_PS1 112098.5513 412.9863 14.876 0.004
OBS: 59319.25 g_PS1 192132.1311 530.8807 14.291 0.003
OBS: 59319.25 r_PS1 186723.9388 515.9373 14.322 0.003
OBS: 59319.25 i_PS1 112615.9747 311.1694 14.871 0.003
OBS: 59320.178 p48g 203798.0386 563.1148 14.227 0.003
OBS: 59320.26 z_PS1 105099.3427 484.0004 14.946 0.005
OBS: 59320.26 i_PS1 108143.3951 398.415 14.915 0.004
OBS: 59320.27 r_PS1 189495.9795 523.5967 14.306 0.003
OBS: 59320.27 g_PS1 200262.669 553.3462 14.246 0.003
OBS: 59321.25 i_PS1 108842.8738 300.744 14.908 0.003
OBS: 59321.25 r_PS1 200447.2027 369.2374 14.245 0.002
OBS: 59321.25 z_PS1 113031.6325 416.4239 14.867 0.004
OBS: 59321.25 g_PS1 203610.4201 375.0643 14.228 0.002
OBS: 59322.187 p48g 210474.7489 387.7088 14.192 0.002
OBS: 59322.242 p48r 204550.2431 376.7955 14.223 0.002
OBS: 59322.26 r_PS1 204361.9321 564.6729 14.224 0.003
OBS: 59322.26 z_PS1 111378.15 512.9153 14.883 0.005
OBS: 59322.26 i_PS1 108542.5449 299.9141 14.911 0.003
OBS: 59322.26 g_PS1 208737.2704 576.7624 14.201 0.003
OBS: 59324.184 p48g 209507.7052 385.9275 14.197 0.002
OBS: 59324.221 p48r 196064.9667 541.7475 14.269 0.003
OBS: 59324.25 i_PS1 108143.3951 298.8112 14.915 0.003
OBS: 59324.25 g_PS1 209893.9884 386.639 14.195 0.002
OBS: 59324.25 z_PS1 110662.3784 509.6191 14.89 0.005
OBS: 59324.25 r_PS1 211251.5966 389.1398 14.188 0.002
OBS: 59327.25 i_PS1 102801.6298 378.7352 14.97 0.004
OBS: 59327.25 z_PS1 103657.3257 572.8316 14.961 0.006
OBS: 59327.25 r_PS1 202115.6767 372.3108 14.236 0.002
OBS: 59328.225 p48g 196245.6324 361.4978 14.268 0.002
OBS: 59328.237 p48r 194267.4323 536.7808 14.279 0.003
OBS: 59328.3 g_PS1 187758.6699 691.7285 14.316 0.004
OBS: 59328.3 z_PS1 101297.7969 653.091 14.986 0.007
OBS: 59328.3 i_PS1 98627.9486 454.1985 15.015 0.005
OBS: 59328.3 r_PS1 192841.2776 532.8401 14.287 0.003
OBS: 59331.29 z_PS1 92129.7728 593.9826 15.089 0.007
OBS: 59331.29 i_PS1 85035.4472 469.9232 15.176 0.006
OBS: 59332.3 r_PS1 155167.2274 428.7429 14.523 0.003
OBS: 59332.3 i_PS1 79506.0175 292.911 15.249 0.004
OBS: 59332.3 z_PS1 85822.2705 474.2714 15.166 0.006
OBS: 59332.3 g_PS1 156458.8018 576.4155 14.514 0.004
OBS: 59333.32 g_PS1 140345.9873 517.0537 14.632 0.004
OBS: 59333.32 i_PS1 74679.259 275.1286 15.317 0.004
OBS: 59333.32 r_PS1 144277.9623 398.6547 14.602 0.003
OBS: 59333.32 z_PS1 83253.0207 460.0732 15.199 0.006
OBS: 59334.205 p48g 140993.7949 389.5803 14.627 0.003
OBS: 59334.325 p48r 130376.7047 360.2441 14.712 0.003
OBS: 59334.36 g_PS1 139059.2875 384.235 14.642 0.003
OBS: 59334.36 z_PS1 84255.8375 465.615 15.186 0.006
OBS: 59334.36 r_PS1 135394.1811 374.1079 14.671 0.003
OBS: 59334.36 i_PS1 71055.8763 327.2244 15.371 0.005
OBS: 59335.41 r_PS1 127526.3706 352.3684 14.736 0.003
OBS: 59335.41 i_PS1 67982.949 438.3023 15.419 0.007
OBS: 59335.41 g_PS1 132922.9588 489.7063 14.691 0.004
OBS: 59335.41 z_PS1 80760.6861 520.6834 15.232 0.007
OBS: 59336.24 p48g 112823.6122 311.7432 14.869 0.003
OBS: 59336.36 p48r 113135.7864 416.8076 14.866 0.004
OBS: 59337.27 z_PS1 83023.3016 458.8037 15.202 0.006
OBS: 59337.27 i_PS1 64505.9833 297.061 15.476 0.005
OBS: 59337.27 g_PS1 108043.8372 298.5362 14.916 0.003
OBS: 59337.27 r_PS1 119784.3278 441.3018 14.804 0.004
OBS: 59338.27 z_PS1 84878.9503 469.0584 15.178 0.006
OBS: 59338.27 i_PS1 64091.4357 295.152 15.483 0.005
OBS: 59338.27 g_PS1 104809.3433 386.1319 14.949 0.004
OBS: 59338.27 r_PS1 115557.9955 425.7314 14.843 0.004
OBS: 59339.223 p48g 89866.9495 248.3116 15.116 0.003
OBS: 59339.284 p48r 115027.0548 317.8315 14.848 0.003
OBS: 59341.18 p48g 72310.2728 266.4009 15.352 0.004
OBS: 59341.205 p48r 110255.4332 304.647 14.894 0.003
OBS: 59342.26 i_PS1 68485.7159 378.4661 15.411 0.006
OBS: 59342.26 z_PS1 88961.0704 573.5532 15.127 0.007
OBS: 59342.26 g_PS1 75023.9628 345.4981 15.312 0.005
OBS: 59342.26 r_PS1 107844.9963 397.3156 14.918 0.004
OBS: 59343.201 p48r 105974.1642 292.8174 14.937 0.003
OBS: 59343.25 r_PS1 108842.8738 300.744 14.908 0.003
OBS: 59343.25 i_PS1 72577.165 267.3842 15.348 0.004
OBS: 59343.256 p48g 61150.4983 225.2868 15.534 0.004
OBS: 59343.26 g_PS1 68548.8226 315.679 15.41 0.005
OBS: 59344.27 g_PS1 63679.5521 293.2552 15.49 0.005
OBS: 59344.27 i_PS1 75023.9628 276.3985 15.312 0.004
OBS: 59344.27 r_PS1 104423.9219 384.7119 14.953 0.004
OBS: 59345.186 p48g 52432.4317 241.4603 15.701 0.005
OBS: 59345.206 p48r 105196.1874 290.6678 14.945 0.003
OBS: 59345.25 z_PS1 91875.5602 423.1026 15.092 0.005
