# 2021idh 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 19.59 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021idh
RA: 155.827592
DEC: -0.429375
MWEBV: 0.049
REDSHIFT_HELIO: 0.095
REDSHIFT_CMB: 0.09606728441968504
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59318.08749074397
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1
# -----------------------------------------------------------
NOBS: 35
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59305.31 r_PS1 613.197 81.8924 20.531 0.145
OBS: 59306.311 p48g 888.7917 105.6004 20.128 0.129
OBS: 59306.33 i_PS1 713.1814 110.3532 20.367 0.168
OBS: 59306.33 r_PS1 635.6236 88.9855 20.492 0.152
OBS: 59306.374 p48r 869.3607 163.345 20.152 0.204
OBS: 59308.27 p48g 1415.1419 82.1138 19.623 0.063
OBS: 59312.232 p48g 1818.0256 97.1189 19.351 0.058
OBS: 59314.232 p48g 2244.9155 86.841 19.122 0.042
OBS: 59314.3 i_PS1 1422.9839 106.1599 19.617 0.081
OBS: 59314.3 g_PS1 1887.9913 156.5014 19.31 0.09
OBS: 59316.211 p48g 2124.2225 78.2592 19.182 0.04
OBS: 59317.31 g_PS1 2249.0546 109.7872 19.12 0.053
OBS: 59317.32 r_PS1 1648.9216 136.6842 19.457 0.09
OBS: 59319.211 p48r 2010.0182 116.6316 19.242 0.063
OBS: 59319.234 p48g 1916.0198 98.8243 19.294 0.056
OBS: 59321.214 p48r 1991.5903 97.2191 19.252 0.053
OBS: 59321.234 p48g 1671.8604 86.2311 19.442 0.056
OBS: 59322.25 r_PS1 1799.6995 101.1127 19.362 0.061
OBS: 59322.25 g_PS1 1808.0066 78.2661 19.357 0.047
OBS: 59323.175 p48g 1258.9254 125.2274 19.75 0.108
OBS: 59323.211 p48r 1823.056 137.6859 19.348 0.082
OBS: 59325.172 p48r 1949.8446 136.4864 19.275 0.076
OBS: 59325.19 p48g 1537.4465 160.0126 19.533 0.113
OBS: 59329.232 p48r 1461.504 253.0658 19.588 0.188
OBS: 59333.25 r_PS1 933.2543 97.1302 20.075 0.113
OBS: 59333.25 i_PS1 568.591 122.0202 20.613 0.233
OBS: 59335.17 p48r 1084.4262 103.8745 19.912 0.104
OBS: 59335.213 p48g 603.6706 130.6603 20.548 0.235
OBS: 59337.25 g_PS1 516.1786 82.7227 20.718 0.174
OBS: 59338.17 p48g 372.5632 72.4033 21.072 0.211
OBS: 59338.228 p48r 1090.4355 109.4718 19.906 0.109
OBS: 59342.248 p48g 537.0318 102.3873 20.675 0.207
OBS: 59346.192 p48r 679.8295 108.3233 20.419 0.173
OBS: 59348.175 p48r 493.401 104.521 20.767 0.23
OBS: 59365.182 p48r 556.6728 123.5642 20.636 0.241
END:
