# 2021ita 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.22 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021ita
RA: 186.495088
DEC: 7.235303
MWEBV: 0.022
REDSHIFT_HELIO: 0.154
REDSHIFT_CMB: 0.15864195714644724
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59325.277
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 47
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59304.35 r_PS1 632.7032 101.397 20.497 0.174
OBS: 59306.39 r_PS1 547.52 82.7027 20.654 0.164
OBS: 59307.254 p48r 463.0203 85.2915 20.836 0.2
OBS: 59307.297 p48g 532.5986 85.3542 20.684 0.174
OBS: 59309.277 p48r 554.6257 102.6767 20.64 0.201
OBS: 59309.309 p48g 551.5692 102.6188 20.646 0.202
OBS: 59310.47 g_PS1 606.457 72.6138 20.543 0.13
OBS: 59311.233 p48g 755.788 96.0627 20.304 0.138
OBS: 59311.312 p48r 761.3774 92.5656 20.296 0.132
OBS: 59311.34 z_PS1 550.5541 131.3335 20.648 0.259
OBS: 59311.34 g_PS1 840.2335 70.4234 20.189 0.091
OBS: 59313.255 p48g 1029.9117 88.2183 19.968 0.093
OBS: 59313.298 p48r 726.4404 165.9309 20.347 0.248
OBS: 59313.47 g_PS1 934.975 68.0304 20.073 0.079
OBS: 59314.31 g_PS1 833.2973 80.587 20.198 0.105
OBS: 59317.252 p48g 1049.0592 66.6691 19.948 0.069
OBS: 59317.331 p48r 962.9417 93.1247 20.041 0.105
OBS: 59317.37 g_PS1 1050.0259 88.007 19.947 0.091
OBS: 59318.43 r_PS1 1115.8351 89.4118 19.881 0.087
OBS: 59318.44 g_PS1 973.6436 78.018 20.029 0.087
OBS: 59319.35 g_PS1 693.7452 79.8704 20.397 0.125
OBS: 59319.35 i_PS1 1077.4571 110.1536 19.919 0.111
OBS: 59320.31 g_PS1 1064.6332 73.5423 19.932 0.075
OBS: 59321.271 p48g 1092.4461 72.445 19.904 0.072
OBS: 59321.298 p48r 1180.3206 89.1435 19.82 0.082
OBS: 59321.36 r_PS1 1200.0518 79.5808 19.802 0.072
OBS: 59321.36 g_PS1 1047.1285 76.1908 19.95 0.079
OBS: 59322.41 g_PS1 811.3346 71.7376 20.227 0.096
OBS: 59323.278 p48g 1008.3238 113.3015 19.991 0.122
OBS: 59323.3 g_PS1 945.366 162.8236 20.061 0.187
OBS: 59323.316 p48r 1041.3579 92.0761 19.956 0.096
OBS: 59325.277 p48r 1269.4044 133.2848 19.741 0.114
OBS: 59325.325 p48g 848.7895 146.9716 20.178 0.188
OBS: 59333.3 r_PS1 649.2321 94.4785 20.469 0.158
OBS: 59334.273 p48r 582.3713 140.5326 20.587 0.262
OBS: 59335.39 r_PS1 702.7486 127.5093 20.383 0.197
OBS: 59336.256 p48g 391.9223 74.3606 21.017 0.206
OBS: 59336.31 p48r 624.0221 87.9361 20.512 0.153
OBS: 59336.44 r_PS1 525.291 99.6651 20.699 0.206
OBS: 59337.26 i_PS1 436.5158 84.4296 20.9 0.21
OBS: 59338.255 p48r 519.5173 108.1394 20.711 0.226
OBS: 59342.26 r_PS1 644.466 86.662 20.477 0.146
OBS: 59343.26 i_PS1 572.2687 79.5889 20.606 0.151
OBS: 59343.26 g_PS1 287.8724 57.0052 21.352 0.215
OBS: 59344.246 p48r 568.0676 80.5743 20.614 0.154
OBS: 59349.176 p48r 347.3762 81.2661 21.148 0.254
OBS: 59351.26 i_PS1 1032.7614 148.3885 19.965 0.156
END:
