# 2021iuk 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 19.59 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021iuk
RA: 186.493583
DEC: 6.740844
MWEBV: 0.02
REDSHIFT_HELIO: 0.08
REDSHIFT_CMB: 0.08431565947974651
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59322.994568427996
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 34
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59310.47 g_PS1 696.3058 57.0776 20.393 0.089
OBS: 59310.47 i_PS1 611.505 56.3217 20.534 0.1
OBS: 59311.34 z_PS1 617.1632 88.1064 20.524 0.155
OBS: 59311.34 g_PS1 796.5261 58.6902 20.247 0.08
OBS: 59313.47 g_PS1 1283.5122 57.9258 19.729 0.049
OBS: 59313.47 i_PS1 1187.955 70.0254 19.813 0.064
OBS: 59314.31 g_PS1 1543.1211 66.7996 19.529 0.047
OBS: 59314.31 z_PS1 1344.0023 111.4085 19.679 0.09
OBS: 59316.43 g_PS1 1894.9598 137.8805 19.306 0.079
OBS: 59316.43 i_PS1 1699.8085 118.9842 19.424 0.076
OBS: 59317.37 g_PS1 2068.2356 100.9605 19.211 0.053
OBS: 59317.37 z_PS1 1422.9839 157.274 19.617 0.12
OBS: 59318.43 r_PS1 2141.904 71.0196 19.173 0.036
OBS: 59318.44 g_PS1 1967.8863 76.1246 19.265 0.042
OBS: 59319.35 g_PS1 2312.0648 80.9206 19.09 0.038
OBS: 59319.35 i_PS1 1851.8252 73.3405 19.331 0.043
OBS: 59321.36 r_PS1 2327.0194 70.7277 19.083 0.033
OBS: 59322.41 i_PS1 1684.2246 72.9077 19.434 0.047
OBS: 59322.41 g_PS1 1980.6147 74.7928 19.258 0.041
OBS: 59323.3 z_PS1 1379.1135 203.2337 19.651 0.16
OBS: 59323.3 g_PS1 1903.7065 163.0642 19.301 0.093
OBS: 59334.44 i_PS1 1184.6771 110.2039 19.816 0.101
OBS: 59334.44 r_PS1 1282.3306 98.0288 19.73 0.083
OBS: 59337.26 g_PS1 394.0942 55.1721 21.011 0.152
OBS: 59337.26 i_PS1 1253.1412 64.6344 19.755 0.056
OBS: 59338.28 z_PS1 1079.4437 160.0669 19.917 0.161
OBS: 59342.26 r_PS1 787.0458 88.4373 20.26 0.122
OBS: 59343.26 i_PS1 798.73 60.3239 20.244 0.082
OBS: 59344.27 z_PS1 744.0464 89.088 20.321 0.13
OBS: 59345.27 r_PS1 645.0598 67.1358 20.476 0.113
OBS: 59346.28 i_PS1 616.595 76.0993 20.525 0.134
OBS: 59350.26 r_PS1 357.4374 82.6322 21.117 0.251
OBS: 59366.4 i_PS1 257.9883 54.6517 21.471 0.23
OBS: 59370.28 i_PS1 239.2214 58.6081 21.553 0.266
END:
