# 2021iyr 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 17.25 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021iyr
RA: 182.297388
DEC: 16.867569
MWEBV: 0.032
REDSHIFT_HELIO: 0.108
REDSHIFT_CMB: 0.11250227112264954
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59325.12758784918
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 41
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59311.34 g_PS1 617.7319 59.171 20.523 0.104
OBS: 59311.34 r_PS1 601.4507 53.1798 20.552 0.096
OBS: 59313.3 g_PS1 894.5405 65.0883 20.121 0.079
OBS: 59313.3 i_PS1 928.9664 76.1493 20.08 0.089
OBS: 59314.3 g_PS1 1336.5955 75.094 19.685 0.061
OBS: 59314.31 r_PS1 979.9412 60.4715 20.022 0.067
OBS: 59316.45 g_PS1 1379.1135 99.0764 19.651 0.078
OBS: 59316.45 i_PS1 1368.9891 87.0011 19.659 0.069
OBS: 59318.44 g_PS1 1940.8859 73.2925 19.28 0.041
OBS: 59318.44 r_PS1 1673.4009 75.5217 19.441 0.049
OBS: 59320.47 i_PS1 1460.1585 78.0016 19.589 0.058
OBS: 59320.48 g_PS1 2145.8532 73.1269 19.171 0.037
OBS: 59322.42 r_PS1 2124.2225 68.4768 19.182 0.035
OBS: 59322.42 g_PS1 2301.4418 69.9503 19.095 0.033
OBS: 59331.4 i_PS1 1205.591 182.104 19.797 0.164
OBS: 59335.4 i_PS1 1043.2779 122.0336 19.954 0.127
OBS: 59337.26 g_PS1 1337.8271 75.1632 19.684 0.061
OBS: 59337.27 z_PS1 668.6518 93.6094 20.437 0.152
OBS: 59338.27 i_PS1 804.637 71.8865 20.236 0.097
OBS: 59338.27 g_PS1 1228.0046 92.7448 19.777 0.082
OBS: 59343.26 g_PS1 766.3021 67.7559 20.289 0.096
OBS: 59343.26 i_PS1 716.4733 96.3449 20.362 0.146
OBS: 59345.26 g_PS1 729.1217 75.2131 20.343 0.112
OBS: 59345.26 r_PS1 812.8305 77.859 20.225 0.104
OBS: 59347.36 i_PS1 621.7274 69.8611 20.516 0.122
OBS: 59347.37 g_PS1 641.5049 56.7214 20.482 0.096
OBS: 59350.38 g_PS1 516.1786 88.4278 20.718 0.186
OBS: 59350.39 r_PS1 862.9785 104.1231 20.16 0.131
OBS: 59359.34 r_PS1 621.155 102.4068 20.517 0.179
OBS: 59359.34 z_PS1 634.4538 123.2986 20.494 0.211
OBS: 59361.36 r_PS1 588.3016 86.6953 20.576 0.16
OBS: 59361.37 i_PS1 514.2804 85.7342 20.722 0.181
OBS: 59363.32 z_PS1 515.2286 89.6886 20.72 0.189
OBS: 59363.32 r_PS1 578.096 55.3744 20.595 0.104
OBS: 59365.33 r_PS1 430.9233 45.246 20.914 0.114
OBS: 59365.33 i_PS1 525.291 52.2516 20.699 0.108
OBS: 59372.33 i_PS1 345.4618 76.0455 21.154 0.239
OBS: 59372.33 g_PS1 224.9055 51.7864 21.62 0.25
OBS: 59374.33 r_PS1 327.7932 64.0047 21.211 0.212
OBS: 59377.28 r_PS1 397.0087 58.871 21.003 0.161
OBS: 59405.29 g_PS1 287.3426 70.9268 21.354 0.268
END:
