# 2021khl 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 19.59 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021khl
RA: 244.473545
DEC: 32.109015
MWEBV: 0.023
REDSHIFT_HELIO: 0.063
REDSHIFT_CMB: 0.06366956875308394
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59337.3871230232
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 74
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59315.368 p48r 1167.3471 280.6184 19.832 0.261
OBS: 59317.434 p48r 403.6454 74.726 20.985 0.201
OBS: 59320.476 p48r 765.5966 88.1426 20.29 0.125
OBS: 59321.47 i_PS1 1271.7449 118.3034 19.739 0.101
OBS: 59321.47 g_PS1 971.8517 111.8886 20.031 0.125
OBS: 59322.307 p48r 1997.1009 95.6487 19.249 0.052
OBS: 59322.35 p48g 1479.1084 80.3762 19.575 0.059
OBS: 59324.277 p48r 2577.5079 113.9507 18.972 0.048
OBS: 59324.384 p48g 2112.516 77.828 19.188 0.04
OBS: 59326.43 r_PS1 2466.0393 158.9914 19.02 0.07
OBS: 59326.43 i_PS1 2070.1413 146.8136 19.21 0.077
OBS: 59328.3 p48r 3837.0725 180.2378 18.54 0.051
OBS: 59328.348 p48g 3518.8439 187.9765 18.634 0.058
OBS: 59328.45 r_PS1 2698.9821 169.0381 18.922 0.068
OBS: 59328.46 z_PS1 2008.1678 238.5972 19.243 0.129
OBS: 59331.41 i_PS1 1939.0991 225.033 19.281 0.126
OBS: 59331.42 r_PS1 2873.4259 267.2988 18.854 0.101
OBS: 59334.243 p48g 3232.9575 89.3299 18.726 0.03
OBS: 59334.362 p48r 4361.1397 128.5363 18.401 0.032
OBS: 59334.45 z_PS1 1728.2239 208.5196 19.406 0.131
OBS: 59334.46 r_PS1 3162.2777 136.8906 18.75 0.047
OBS: 59336.342 p48r 3959.1322 94.8089 18.506 0.026
OBS: 59336.411 p48g 2666.8587 105.6195 18.935 0.043
OBS: 59337.51 g_PS1 2591.7911 150.3891 18.966 0.063
OBS: 59337.51 i_PS1 1545.9662 289.0492 19.527 0.203
OBS: 59339.321 p48r 3926.4494 90.4098 18.515 0.025
OBS: 59339.396 p48g 2124.2225 72.3898 19.182 0.037
OBS: 59341.322 p48g 1935.5304 65.9595 19.283 0.037
OBS: 59341.404 p48r 2910.7171 104.5539 18.84 0.039
OBS: 59343.283 p48g 1734.6026 73.4909 19.402 0.046
OBS: 59343.351 p48r 3227.0077 101.0543 18.728 0.034
OBS: 59343.39 r_PS1 2575.135 106.7304 18.973 0.045
OBS: 59343.39 g_PS1 1501.0667 105.0726 19.559 0.076
OBS: 59345.349 p48r 2826.1812 88.5023 18.872 0.034
OBS: 59345.391 p48g 1140.775 68.295 19.857 0.065
OBS: 59347.54 i_PS1 1296.582 138.5268 19.718 0.116
OBS: 59347.54 g_PS1 1279.9706 97.8484 19.732 0.083
OBS: 59349.323 p48r 2147.8305 85.0637 19.17 0.043
OBS: 59349.367 p48g 813.5795 67.4401 20.224 0.09
OBS: 59352.303 p48r 2173.702 110.1129 19.157 0.055
OBS: 59352.323 p48g 329.0031 66.9681 21.207 0.221
OBS: 59353.46 g_PS1 561.3064 103.3965 20.627 0.2
OBS: 59353.46 z_PS1 1045.2014 186.7572 19.952 0.194
OBS: 59354.36 i_PS1 1799.6995 132.6068 19.362 0.08
OBS: 59354.403 p48r 1914.2559 98.7333 19.295 0.056
OBS: 59355.37 z_PS1 981.7479 145.5799 20.02 0.161
OBS: 59356.36 i_PS1 1325.5619 142.8438 19.694 0.117
OBS: 59356.36 r_PS1 1207.8138 112.3562 19.795 0.101
OBS: 59358.333 p48r 1547.3908 178.1499 19.526 0.125
OBS: 59358.38 r_PS1 1079.4437 151.1191 19.917 0.152
OBS: 59360.39 r_PS1 808.351 191.3413 20.231 0.257
OBS: 59361.383 p48r 1135.5336 167.3384 19.862 0.16
OBS: 59363.36 p48r 1152.3914 106.1392 19.846 0.1
OBS: 59363.48 r_PS1 769.8392 103.521 20.284 0.146
OBS: 59363.48 z_PS1 919.6022 194.8065 20.091 0.23
OBS: 59365.351 p48r 1360.1913 93.9587 19.666 0.075
OBS: 59366.33 z_PS1 910.3324 134.1515 20.102 0.16
OBS: 59367.374 p48r 981.7479 84.997 20.02 0.094
OBS: 59369.321 p48r 762.7812 77.9828 20.294 0.111
OBS: 59371.332 p48r 809.0959 75.2657 20.23 0.101
OBS: 59373.34 r_PS1 425.4025 83.8474 20.928 0.214
OBS: 59374.28 p48r 731.1391 103.0308 20.34 0.153
OBS: 59376.298 p48r 606.457 82.1094 20.543 0.147
OBS: 59377.5 g_PS1 385.1235 86.5497 21.036 0.244
OBS: 59378.297 p48r 870.1618 73.7333 20.151 0.092
OBS: 59380.351 p48r 671.7381 107.034 20.432 0.173
OBS: 59382.339 p48r 799.466 89.8329 20.243 0.122
OBS: 59384.328 p48r 738.5842 120.4062 20.329 0.177
OBS: 59386.215 p48r 1124.0872 198.7819 19.873 0.192
OBS: 59392.332 p48r 581.8352 143.0826 20.588 0.267
OBS: 59394.289 p48r 1006.4681 130.7058 19.993 0.141
OBS: 59396.346 p48r 429.3387 98.8589 20.918 0.25
OBS: 59399.215 p48r 320.6269 79.1426 21.235 0.268
OBS: 59415.197 p48r 554.1151 134.7347 20.641 0.264
END:
