# 2021kwa 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 16.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021kwa
RA: 187.640649
DEC: 11.517883
MWEBV: 0.035
REDSHIFT_HELIO: 0.085
REDSHIFT_CMB: 0.08971907223934639
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59342.26
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 60
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59333.3 r_PS1 1368.9891 142.4801 19.659 0.113
OBS: 59334.44 i_PS1 826.4184 97.4284 20.207 0.128
OBS: 59334.44 r_PS1 1245.0879 108.943 19.762 0.095
OBS: 59336.43 i_PS1 1260.0855 88.2042 19.749 0.076
OBS: 59336.44 r_PS1 1496.9249 88.238 19.562 0.064
OBS: 59337.26 g_PS1 1512.1678 59.8886 19.551 0.043
OBS: 59337.26 i_PS1 1352.6954 66.0316 19.672 0.053
OBS: 59338.28 g_PS1 1551.6723 101.4692 19.523 0.071
OBS: 59338.28 z_PS1 1115.8351 133.6039 19.881 0.13
OBS: 59342.26 g_PS1 1567.4728 70.7411 19.512 0.049
OBS: 59342.26 r_PS1 1547.3908 65.5592 19.526 0.046
OBS: 59343.26 g_PS1 1444.1091 54.533 19.601 0.041
OBS: 59343.26 i_PS1 1348.9629 62.122 19.675 0.05
OBS: 59344.26 z_PS1 1093.4527 106.7534 19.903 0.106
OBS: 59344.26 g_PS1 1313.409 54.4362 19.704 0.045
OBS: 59345.27 r_PS1 1449.4392 56.0693 19.597 0.042
OBS: 59345.27 g_PS1 1313.409 71.372 19.704 0.059
OBS: 59346.28 g_PS1 1136.58 56.5288 19.861 0.054
OBS: 59346.28 i_PS1 1483.201 61.4735 19.572 0.045
OBS: 59347.36 z_PS1 965.6061 100.4972 20.038 0.113
OBS: 59347.36 g_PS1 1039.4414 66.0579 19.958 0.069
OBS: 59349.37 i_PS1 1099.5121 68.8628 19.897 0.068
OBS: 59349.37 g_PS1 851.138 69.7695 20.175 0.089
OBS: 59351.26 i_PS1 812.8305 197.6422 20.225 0.264
OBS: 59352.26 g_PS1 546.5124 116.2754 20.656 0.231
OBS: 59353.38 g_PS1 503.5006 83.9372 20.745 0.181
OBS: 59353.38 r_PS1 922.9964 73.9597 20.087 0.087
OBS: 59359.34 i_PS1 718.4557 123.0803 20.359 0.186
OBS: 59359.35 r_PS1 546.0092 115.6654 20.657 0.23
OBS: 59360.33 z_PS1 764.1876 144.9916 20.292 0.206
OBS: 59360.34 r_PS1 520.4752 120.8026 20.709 0.252
OBS: 59361.37 r_PS1 618.8708 93.4802 20.521 0.164
OBS: 59361.37 i_PS1 841.0078 94.5008 20.188 0.122
OBS: 59362.36 z_PS1 799.466 136.222 20.243 0.185
OBS: 59363.33 i_PS1 733.1621 62.7999 20.337 0.093
OBS: 59363.33 r_PS1 491.5866 52.5211 20.771 0.116
OBS: 59364.38 z_PS1 735.8681 111.1526 20.333 0.164
OBS: 59364.38 r_PS1 448.7454 51.6637 20.87 0.125
OBS: 59365.33 i_PS1 575.9702 53.0488 20.599 0.1
OBS: 59365.34 r_PS1 471.6285 54.2982 20.816 0.125
OBS: 59366.4 i_PS1 601.4507 59.2733 20.552 0.107
OBS: 59367.33 z_PS1 459.6211 97.7885 20.844 0.231
OBS: 59367.33 g_PS1 215.7744 46.7029 21.665 0.235
OBS: 59368.28 r_PS1 411.5286 44.3467 20.964 0.117
OBS: 59370.28 i_PS1 520.4752 63.2775 20.709 0.132
OBS: 59372.35 i_PS1 412.6672 77.5364 20.961 0.204
OBS: 59373.27 z_PS1 506.2908 71.8119 20.739 0.154
OBS: 59373.27 g_PS1 200.0783 34.2759 21.747 0.186
OBS: 59374.32 r_PS1 419.9523 81.226 20.942 0.21
OBS: 59376.28 z_PS1 535.0569 117.7806 20.679 0.239
OBS: 59377.28 r_PS1 384.0608 53.7674 21.039 0.152
OBS: 59378.28 i_PS1 420.7266 54.2505 20.94 0.14
OBS: 59379.33 z_PS1 387.2576 89.1694 21.03 0.25
OBS: 59379.33 g_PS1 216.3715 51.0171 21.662 0.256
OBS: 59391.29 r_PS1 312.1764 67.8559 21.264 0.236
OBS: 59393.27 r_PS1 181.9701 41.7326 21.85 0.249
OBS: 59394.28 i_PS1 259.4179 45.3972 21.465 0.19
OBS: 59394.28 r_PS1 156.603 36.4919 22.013 0.253
OBS: 59395.29 r_PS1 200.2627 46.6655 21.746 0.253
OBS: 59396.3 i_PS1 308.4608 51.4226 21.277 0.181
END:
