# 2021kyp 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 15.24 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021kyp
RA: 205.024564
DEC: 29.447669
MWEBV: 0.015
REDSHIFT_HELIO: 0.12
REDSHIFT_CMB: 0.1270494840321661
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59343.71692804906
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 57
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59332.44 z_PS1 686.1199 148.5058 20.409 0.235
OBS: 59332.44 r_PS1 1119.9535 117.5927 19.877 0.114
OBS: 59334.239 p48g 1599.558 78.0821 19.49 0.053
OBS: 59334.344 p48r 1317.0431 154.0563 19.701 0.127
OBS: 59334.42 i_PS1 1079.4437 104.3915 19.917 0.105
OBS: 59334.43 r_PS1 1196.7405 89.2813 19.805 0.081
OBS: 59336.275 p48g 1725.0433 84.2077 19.408 0.053
OBS: 59336.354 p48r 1636.8165 114.5748 19.465 0.076
OBS: 59336.44 z_PS1 879.8325 119.9326 20.139 0.148
OBS: 59336.44 r_PS1 1567.4728 69.2974 19.512 0.048
OBS: 59339.235 p48g 2145.8532 83.009 19.171 0.042
OBS: 59339.273 p48r 1995.2623 88.2098 19.25 0.048
OBS: 59341.234 p48r 2079.6967 101.52 19.205 0.053
OBS: 59341.3 p48g 2210.0393 71.2433 19.139 0.035
OBS: 59343.215 p48r 2110.5712 87.4759 19.189 0.045
OBS: 59343.269 p48g 2269.8649 77.353 19.11 0.037
OBS: 59344.27 r_PS1 1877.5867 60.5262 19.316 0.035
OBS: 59344.27 g_PS1 2002.6267 66.4015 19.246 0.036
OBS: 59345.176 p48g 2093.1483 98.3209 19.198 0.051
OBS: 59345.197 p48r 2110.5712 104.971 19.189 0.054
OBS: 59346.4 g_PS1 1816.3519 65.244 19.352 0.039
OBS: 59346.4 i_PS1 1391.8742 76.9178 19.641 0.06
OBS: 59348.308 p48r 2019.2961 78.1133 19.237 0.042
OBS: 59348.344 p48g 2030.486 80.4163 19.231 0.043
OBS: 59350.27 p48r 1687.3299 107.2321 19.432 0.069
OBS: 59351.37 i_PS1 1061.6956 116.3651 19.935 0.119
OBS: 59351.38 g_PS1 1458.8143 119.582 19.59 0.089
OBS: 59354.236 p48r 1384.2037 149.1631 19.647 0.117
OBS: 59354.3 p48g 1450.7748 203.1044 19.596 0.152
OBS: 59356.214 p48g 810.5877 179.1789 20.228 0.24
OBS: 59356.275 p48r 1595.1444 173.3635 19.493 0.118
OBS: 59359.214 p48r 1393.1568 236.0986 19.64 0.184
OBS: 59362.258 p48r 998.1596 121.3527 20.002 0.132
OBS: 59364.304 p48r 1157.7106 95.9662 19.841 0.09
OBS: 59366.223 p48r 1012.978 96.0977 19.986 0.103
OBS: 59366.257 p48g 610.942 72.5881 20.535 0.129
OBS: 59368.193 p48g 398.474 58.3543 20.999 0.159
OBS: 59368.225 p48r 917.0647 81.9308 20.094 0.097
OBS: 59368.34 i_PS1 757.8792 86.556 20.301 0.124
OBS: 59368.35 g_PS1 419.1795 77.6018 20.944 0.201
OBS: 59370.223 p48g 447.0952 77.4165 20.874 0.188
OBS: 59370.266 p48r 925.5502 78.4266 20.084 0.092
OBS: 59371.34 r_PS1 774.1052 85.5573 20.278 0.12
OBS: 59372.305 p48r 709.2511 148.9397 20.373 0.228
OBS: 59373.33 g_PS1 341.9794 45.3564 21.165 0.144
OBS: 59373.33 i_PS1 678.5784 54.3745 20.421 0.087
OBS: 59375.246 p48r 672.3571 97.8437 20.431 0.158
OBS: 59375.261 p48g 342.61 85.5155 21.163 0.271
OBS: 59375.37 r_PS1 658.2638 61.2346 20.454 0.101
OBS: 59377.235 p48r 698.8758 86.2542 20.389 0.134
OBS: 59378.39 i_PS1 667.4212 156.753 20.439 0.255
OBS: 59379.249 p48r 658.2638 115.8001 20.454 0.191
OBS: 59380.34 r_PS1 628.0584 79.2494 20.505 0.137
OBS: 59391.3 i_PS1 288.4032 56.3134 21.35 0.212
OBS: 59391.3 r_PS1 388.687 59.785 21.026 0.167
OBS: 59394.27 r_PS1 345.4618 39.7728 21.154 0.125
OBS: 59394.28 i_PS1 323.5937 42.3218 21.225 0.142
END:
