# 2021lfv 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.31 (yyyy.mm.dd); 16.35 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021lfv
RA: 233.320616
DEC: 10.271486
MWEBV: 0.031
REDSHIFT_HELIO: 0.23
REDSHIFT_CMB: 0.23881419404058302
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59339.319
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1
# -----------------------------------------------------------
NOBS: 26
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59323.43 g_PS1 330.8263 81.9649 21.201 0.269
OBS: 59323.462 p48g 350.5904 81.0493 21.138 0.251
OBS: 59325.464 p48r 393.7314 82.6819 21.012 0.228
OBS: 59327.43 r_PS1 384.7689 77.256 21.037 0.218
OBS: 59337.5 i_PS1 677.9536 76.179 20.422 0.122
OBS: 59337.51 g_PS1 684.8572 81.3702 20.411 0.129
OBS: 59339.319 p48r 796.5261 71.1619 20.247 0.097
OBS: 59339.36 p48g 628.6371 69.4795 20.504 0.12
OBS: 59341.318 p48g 660.6934 57.201 20.45 0.094
OBS: 59341.402 p48r 649.2321 113.0154 20.469 0.189
OBS: 59343.336 p48r 751.6229 76.842 20.31 0.111
OBS: 59343.38 g_PS1 537.0318 52.4302 20.675 0.106
OBS: 59343.385 p48g 534.5644 63.5134 20.68 0.129
OBS: 59343.39 r_PS1 745.4182 65.9093 20.319 0.096
OBS: 59345.338 p48r 749.5489 67.6553 20.313 0.098
OBS: 59345.359 p48g 418.0228 70.8424 20.947 0.184
OBS: 59346.39 g_PS1 347.6962 47.3955 21.147 0.148
OBS: 59346.39 i_PS1 486.1833 59.5562 20.783 0.133
OBS: 59349.315 p48r 567.0221 75.7258 20.616 0.145
OBS: 59349.36 p48g 343.5579 57.2736 21.16 0.181
OBS: 59352.297 p48r 629.2164 93.8838 20.503 0.162
OBS: 59355.38 i_PS1 318.2731 59.8006 21.243 0.204
OBS: 59356.37 i_PS1 392.2835 67.9256 21.016 0.188
OBS: 59365.35 r_PS1 296.2102 42.8327 21.321 0.157
OBS: 59369.318 p48r 311.6018 72.036 21.266 0.251
OBS: 59377.49 i_PS1 347.6962 72.054 21.147 0.225
END:
