# 2021ljb 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.14 (yyyy.mm.dd); 11.35 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021ljb
RA: 189.25018
DEC: -5.533179
MWEBV: 0.033
REDSHIFT_HELIO: 0.121
REDSHIFT_CMB: 0.12494782631689993
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59350.78732462545
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 28
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59336.43 r_PS1 423.0581 88.8404 20.934 0.228
OBS: 59338.29 i_PS1 500.2649 111.9649 20.752 0.243
OBS: 59338.29 g_PS1 681.0829 96.6043 20.417 0.154
OBS: 59343.27 i_PS1 1212.2718 62.5264 19.791 0.056
OBS: 59343.27 g_PS1 1312.1999 54.3861 19.705 0.045
OBS: 59345.27 r_PS1 1596.6142 66.1741 19.492 0.045
OBS: 59345.28 g_PS1 1601.032 95.8493 19.489 0.065
OBS: 59347.36 g_PS1 1855.2396 82.0195 19.329 0.048
OBS: 59347.36 i_PS1 1093.4527 70.4975 19.903 0.07
OBS: 59350.26 r_PS1 1589.2785 76.1165 19.497 0.052
OBS: 59350.26 g_PS1 1744.2149 123.6991 19.396 0.077
OBS: 59353.36 z_PS1 827.18 127.2308 20.206 0.167
OBS: 59353.36 g_PS1 1664.1789 85.8349 19.447 0.056
OBS: 59360.32 r_PS1 1275.2637 152.693 19.736 0.13
OBS: 59362.35 i_PS1 895.3648 88.2388 20.12 0.107
OBS: 59362.35 r_PS1 1230.2688 83.8508 19.775 0.074
OBS: 59364.37 r_PS1 1222.3624 63.0469 19.782 0.056
OBS: 59366.4 i_PS1 803.8962 71.0799 20.237 0.096
OBS: 59366.4 g_PS1 757.8792 65.6151 20.301 0.094
OBS: 59368.27 g_PS1 734.5139 52.768 20.335 0.078
OBS: 59368.27 z_PS1 460.4686 80.5804 20.842 0.19
OBS: 59370.27 g_PS1 529.6634 55.6135 20.69 0.114
OBS: 59370.27 i_PS1 674.8387 65.2627 20.427 0.105
OBS: 59373.28 g_PS1 443.813 45.3731 20.882 0.111
OBS: 59373.28 i_PS1 719.1177 55.6359 20.358 0.084
OBS: 59376.27 i_PS1 789.9507 98.2222 20.256 0.135
OBS: 59378.27 r_PS1 729.7935 57.8062 20.342 0.086
OBS: 59380.28 i_PS1 480.3967 103.9785 20.796 0.235
END:
