# 2021low 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 22.55 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021low
RA: 176.192743
DEC: 20.126208
MWEBV: 0.021
REDSHIFT_HELIO: 0.022
REDSHIFT_CMB: 0.022718998196472828
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59361.193
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 30
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59347.37 g_PS1 28866.8902 186.1117 16.349 0.007
OBS: 59347.37 i_PS1 22866.516 168.4867 16.602 0.008
OBS: 59359.34 z_PS1 29675.6336 245.9904 16.319 0.009
OBS: 59359.34 r_PS1 52966.3444 243.919 15.69 0.005
OBS: 59361.37 i_PS1 27618.4944 178.063 16.397 0.007
OBS: 59361.37 r_PS1 50722.424 233.5854 15.737 0.005
OBS: 59363.32 z_PS1 25633.0332 188.8712 16.478 0.008
OBS: 59363.32 r_PS1 47730.9414 175.8473 15.803 0.004
OBS: 59365.33 r_PS1 43251.3831 199.18 15.91 0.005
OBS: 59365.33 i_PS1 23099.3628 148.9271 16.591 0.007
OBS: 59367.32 g_PS1 39300.6741 180.9863 16.014 0.005
OBS: 59367.32 z_PS1 20873.727 192.2541 16.701 0.01
OBS: 59372.33 g_PS1 27516.9313 177.4082 16.401 0.007
OBS: 59372.33 i_PS1 14164.4593 143.5054 17.122 0.011
OBS: 59374.33 r_PS1 26399.7613 170.2056 16.446 0.007
OBS: 59374.33 g_PS1 24143.4873 177.8958 16.543 0.008
OBS: 59376.29 g_PS1 20854.5105 153.6617 16.702 0.008
OBS: 59376.29 i_PS1 14750.271 135.855 17.078 0.01
OBS: 59377.28 g_PS1 18845.1674 121.4993 16.812 0.007
OBS: 59377.28 r_PS1 25727.643 165.8722 16.474 0.007
OBS: 59379.32 g_PS1 16595.8691 152.8536 16.95 0.01
OBS: 59379.32 i_PS1 15878.1536 131.6189 16.998 0.009
OBS: 59386.27 r_PS1 21637.1472 916.7133 16.662 0.046
OBS: 59390.28 z_PS1 18382.3064 270.8917 16.839 0.016
OBS: 59392.32 r_PS1 15374.4646 113.2832 17.033 0.008
OBS: 59392.32 i_PS1 14588.1426 147.7979 17.09 0.011
OBS: 59402.28 g_PS1 5214.3479 105.657 18.207 0.022
OBS: 59402.28 r_PS1 9890.0845 118.4184 17.512 0.013
OBS: 59404.27 g_PS1 4773.0941 105.5084 18.303 0.024
OBS: 59404.28 r_PS1 9532.3504 96.5758 17.552 0.011
END:
