# 2021luu 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.30 (yyyy.mm.dd); 18.40 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021luu
RA: 243.082161
DEC: 26.783494
MWEBV: 0.039
REDSHIFT_HELIO: 0.1
REDSHIFT_CMB: 0.10023142702258903
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59358.316
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 88
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59336.339 p48r 468.5975 67.3287 20.823 0.156
OBS: 59339.332 p48r 957.635 62.623 20.047 0.071
OBS: 59341.32 p48g 1318.2567 58.2796 19.7 0.048
OBS: 59341.403 p48r 1094.4603 90.7232 19.902 0.09
OBS: 59343.282 p48g 1781.5581 82.0438 19.373 0.05
OBS: 59343.328 p48r 1580.52 77.1528 19.503 0.053
OBS: 59343.39 g_PS1 1642.8579 65.0645 19.461 0.043
OBS: 59343.4 i_PS1 1487.3049 69.8628 19.569 0.051
OBS: 59345.344 p48r 2037.9804 75.082 19.227 0.04
OBS: 59345.416 p48g 2212.0758 75.3837 19.138 0.037
OBS: 59347.54 g_PS1 2290.8677 61.189 19.1 0.029
OBS: 59347.55 r_PS1 2165.7085 49.8673 19.161 0.025
OBS: 59349.321 p48r 2610.9587 76.953 18.958 0.032
OBS: 59349.386 p48g 2587.0213 64.3338 18.968 0.027
OBS: 59352.301 p48r 2718.9424 87.6483 18.914 0.035
OBS: 59352.345 p48g 2701.4691 82.1088 18.921 0.033
OBS: 59352.55 i_PS1 1955.2397 97.2455 19.272 0.054
OBS: 59352.55 g_PS1 2546.8303 72.7172 18.985 0.031
OBS: 59354.414 p48r 2721.4477 107.7815 18.913 0.043
OBS: 59357.37 i_PS1 1526.1598 115.2629 19.541 0.082
OBS: 59357.37 r_PS1 2537.4646 102.832 18.989 0.044
OBS: 59358.316 p48r 2736.5287 176.4305 18.907 0.07
OBS: 59358.37 r_PS1 2551.526 115.1521 18.983 0.049
OBS: 59358.38 z_PS1 870.1618 147.4665 20.151 0.184
OBS: 59358.426 p48g 2153.7734 234.0764 19.167 0.118
OBS: 59360.38 r_PS1 2114.4626 163.5893 19.187 0.084
OBS: 59360.39 i_PS1 1509.3849 162.6528 19.553 0.117
OBS: 59361.315 p48g 2443.4306 193.5415 19.03 0.086
OBS: 59361.382 p48r 2664.4035 169.3264 18.936 0.069
OBS: 59363.278 p48g 1957.0413 118.9651 19.271 0.066
OBS: 59363.377 p48r 2309.9363 110.6316 19.091 0.052
OBS: 59363.49 r_PS1 2167.7041 79.8612 19.16 0.04
OBS: 59363.49 z_PS1 794.3282 115.5933 20.25 0.158
OBS: 59365.33 p48g 1554.5332 88.7702 19.521 0.062
OBS: 59365.353 p48r 2203.9412 103.5251 19.142 0.051
OBS: 59365.36 i_PS1 1358.9391 56.3233 19.667 0.045
OBS: 59365.36 r_PS1 1919.5525 56.5751 19.292 0.032
OBS: 59367.375 p48r 2066.3315 98.9644 19.212 0.052
OBS: 59368.37 z_PS1 617.1632 114.2541 20.524 0.201
OBS: 59368.37 g_PS1 1345.2407 91.6869 19.678 0.074
OBS: 59369.319 p48r 1763.5996 77.9681 19.384 0.048
OBS: 59369.369 p48g 1246.2352 67.7217 19.761 0.059
OBS: 59371.369 p48g 1002.7669 60.0329 19.997 0.065
OBS: 59372.46 g_PS1 1037.5284 68.8031 19.96 0.072
OBS: 59372.47 i_PS1 1068.5627 76.7662 19.928 0.078
OBS: 59375.43 r_PS1 1253.1412 53.0925 19.755 0.046
OBS: 59375.43 g_PS1 672.9767 58.2644 20.43 0.094
OBS: 59376.298 p48r 1453.4497 68.2725 19.594 0.051
OBS: 59376.338 p48g 687.3849 73.4402 20.407 0.116
OBS: 59378.297 p48r 1428.2361 69.7191 19.613 0.053
OBS: 59378.35 p48g 578.6287 70.8806 20.594 0.133
