# 2021mfy 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 10.49 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021mfy
RA: 176.079769
DEC: 19.318463
MWEBV: 0.018
REDSHIFT_HELIO: 0.087
REDSHIFT_CMB: 0.09084375901767672
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59358.242
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 63
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59346.33 p48g 474.242 113.5662 20.81 0.26
OBS: 59347.37 i_PS1 753.0087 75.5966 20.308 0.109
OBS: 59347.37 g_PS1 914.5343 74.1239 20.097 0.088
OBS: 59348.195 p48r 835.603 76.9619 20.195 0.1
OBS: 59350.206 p48g 1484.5677 106.6523 19.571 0.078
OBS: 59350.39 r_PS1 1450.7748 93.5349 19.596 0.07
OBS: 59350.39 g_PS1 1583.4341 100.6294 19.501 0.069
OBS: 59353.178 p48r 2149.8096 114.8428 19.169 0.058
OBS: 59353.221 p48g 2698.9821 156.6088 18.922 0.063
OBS: 59358.242 p48g 3391.5639 271.7659 18.674 0.087
OBS: 59358.274 p48r 2703.9584 249.0438 18.92 0.1
OBS: 59359.34 r_PS1 2810.6062 119.0785 18.878 0.046
OBS: 59359.34 z_PS1 1228.0046 153.8206 19.777 0.136
OBS: 59361.193 p48r 3141.9553 127.3293 18.757 0.044
OBS: 59361.29 p48g 2970.2978 265.3673 18.818 0.097
OBS: 59361.37 i_PS1 2112.516 103.1221 19.188 0.053
OBS: 59361.37 r_PS1 2918.7708 102.1549 18.837 0.038
OBS: 59363.215 p48g 2892.0114 90.5638 18.847 0.034
OBS: 59363.32 z_PS1 1268.2358 110.9684 19.742 0.095
OBS: 59363.32 r_PS1 2839.2262 67.9906 18.867 0.026
OBS: 59365.205 p48g 2556.2304 96.5294 18.981 0.041
OBS: 59365.33 r_PS1 2759.3069 71.1596 18.898 0.028
OBS: 59367.216 p48r 2639.9761 106.9863 18.946 0.044
OBS: 59367.245 p48g 2396.6245 92.7097 19.051 0.042
OBS: 59367.32 z_PS1 876.597 122.7211 20.143 0.152
OBS: 59367.32 g_PS1 2584.6396 99.9827 18.969 0.042
OBS: 59369.185 p48r 2329.1636 83.6643 19.082 0.039
OBS: 59369.213 p48g 2324.8771 96.3581 19.084 0.045
OBS: 59370.29 g_PS1 1975.1496 67.3097 19.261 0.037
OBS: 59370.29 i_PS1 1332.9075 92.074 19.688 0.075
OBS: 59371.188 p48g 1828.1002 85.8709 19.345 0.051
OBS: 59371.228 p48r 2043.6193 94.1121 19.224 0.05
OBS: 59372.33 i_PS1 1238.2262 90.0954 19.768 0.079
OBS: 59372.33 g_PS1 1729.8164 89.2203 19.405 0.056
OBS: 59373.186 p48g 1348.9629 93.1831 19.675 0.075
OBS: 59373.214 p48r 1664.1789 105.7608 19.447 0.069
OBS: 59374.33 g_PS1 1253.1412 87.7181 19.755 0.076
OBS: 59374.33 r_PS1 1855.2396 99.1069 19.329 0.058
OBS: 59375.229 p48r 1617.3351 113.2112 19.478 0.076
OBS: 59376.29 i_PS1 1155.58 98.9825 19.843 0.093
OBS: 59376.29 g_PS1 1059.7416 76.1325 19.937 0.078
OBS: 59377.214 p48r 1650.441 89.6866 19.456 0.059
OBS: 59377.28 r_PS1 1550.2438 65.6801 19.524 0.046
OBS: 59377.28 g_PS1 1050.9934 69.6961 19.946 0.072
OBS: 59379.215 p48r 1621.8101 97.0932 19.475 0.065
OBS: 59379.32 i_PS1 1141.8262 83.0812 19.856 0.079
OBS: 59379.32 g_PS1 927.2567 70.0309 20.082 0.082
OBS: 59384.188 p48r 1636.8165 306.0354 19.465 0.203
OBS: 59387.198 p48r 1524.7548 212.057 19.542 0.151
OBS: 59388.28 i_PS1 1257.7664 74.1405 19.751 0.064
OBS: 59388.28 r_PS1 896.1898 83.3676 20.119 0.101
OBS: 59392.32 i_PS1 901.9864 92.2144 20.112 0.111
OBS: 59392.32 r_PS1 862.1841 71.4691 20.161 0.09
OBS: 59395.29 z_PS1 725.1035 119.5443 20.349 0.179
OBS: 59395.3 r_PS1 669.2679 53.012 20.436 0.086
OBS: 59397.29 i_PS1 359.7493 80.516 21.11 0.243
OBS: 59400.28 r_PS1 354.4867 65.9519 21.126 0.202
OBS: 59401.27 i_PS1 569.6394 73.452 20.611 0.14
OBS: 59402.28 r_PS1 432.1157 64.4749 20.911 0.162
OBS: 59402.28 g_PS1 319.4479 72.0845 21.239 0.245
OBS: 59403.29 i_PS1 485.2885 105.4843 20.785 0.236
OBS: 59404.27 g_PS1 337.9092 78.7401 21.178 0.253
OBS: 59404.28 r_PS1 449.987 58.8524 20.867 0.142
END:
