# 2021mgc 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.03 (yyyy.mm.dd); 12.01 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021mgc
RA: 331.873994
DEC: 3.096954
MWEBV: 0.034
REDSHIFT_HELIO: 0.083
REDSHIFT_CMB: 0.08192737039020992
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59356.404
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 50
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59345.429 p48g 942.7575 141.5348 20.064 0.163
OBS: 59346.6 r_PS1 1930.1897 58.6664 19.286 0.033
OBS: 59346.6 g_PS1 1465.5478 68.8408 19.585 0.051
OBS: 59350.6 g_PS1 1527.5661 101.2997 19.54 0.072
OBS: 59350.61 i_PS1 1536.0311 124.4968 19.534 0.088
OBS: 59352.428 p48r 1894.9598 148.3524 19.306 0.085
OBS: 59352.466 p48g 1143.9314 95.8776 19.854 0.091
OBS: 59353.58 z_PS1 1007.3955 114.125 19.992 0.123
OBS: 59353.58 g_PS1 1293.0044 69.0723 19.721 0.058
OBS: 59354.59 g_PS1 1160.9139 75.9161 19.838 0.071
OBS: 59354.59 i_PS1 1618.8254 65.6037 19.477 0.044
OBS: 59355.59 z_PS1 1042.3174 111.3611 19.955 0.116
OBS: 59355.59 g_PS1 1218.9896 70.732 19.785 0.063
OBS: 59356.404 p48r 2004.472 232.6196 19.245 0.126
OBS: 59356.468 p48g 973.6436 96.85 20.029 0.108
OBS: 59356.58 z_PS1 846.4474 116.941 20.181 0.15
OBS: 59356.58 r_PS1 1997.1009 51.5031 19.249 0.028
OBS: 59357.6 i_PS1 1246.2352 68.8695 19.761 0.06
OBS: 59357.6 r_PS1 1816.3519 66.9169 19.352 0.04
OBS: 59358.6 r_PS1 1644.3717 71.1825 19.46 0.047
OBS: 59359.436 p48r 1887.9913 217.363 19.31 0.125
OBS: 59359.56 r_PS1 1584.8932 94.8831 19.5 0.065
OBS: 59359.57 i_PS1 1025.1797 69.8727 19.973 0.074
OBS: 59361.59 r_PS1 1492.7944 118.2426 19.565 0.086
OBS: 59361.6 z_PS1 722.437 132.4124 20.353 0.199
OBS: 59364.443 p48r 1571.8098 186.7521 19.509 0.129
OBS: 59366.409 p48r 1371.5132 202.1137 19.657 0.16
OBS: 59366.454 p48g 851.9223 179.6847 20.174 0.229
OBS: 59369.41 p48g 454.1507 101.2258 20.857 0.242
OBS: 59369.456 p48r 991.745 111.4386 20.009 0.122
OBS: 59371.455 p48r 863.7737 87.5122 20.159 0.11
OBS: 59371.56 r_PS1 939.2907 71.8048 20.068 0.083
OBS: 59371.56 g_PS1 487.5285 82.6216 20.78 0.184
OBS: 59374.58 i_PS1 1163.0543 102.8364 19.836 0.096
OBS: 59374.58 g_PS1 344.826 47.0043 21.156 0.148
OBS: 59377.42 p48r 755.0922 85.5423 20.305 0.123
OBS: 59377.56 g_PS1 212.4222 34.6297 21.682 0.177
OBS: 59377.56 r_PS1 714.4963 59.8849 20.365 0.091
OBS: 59379.399 p48r 774.8185 96.3406 20.277 0.135
OBS: 59380.56 g_PS1 288.1376 68.2038 21.351 0.257
OBS: 59380.56 i_PS1 829.4687 95.4961 20.203 0.125
OBS: 59385.49 i_PS1 528.6887 70.6063 20.692 0.145
OBS: 59385.5 r_PS1 508.1594 56.1639 20.735 0.12
OBS: 59386.415 p48r 513.807 107.8973 20.723 0.228
OBS: 59387.54 r_PS1 578.6287 66.0842 20.594 0.124
OBS: 59387.54 z_PS1 503.0371 123.2416 20.746 0.266
OBS: 59399.46 r_PS1 357.4374 50.3694 21.117 0.153
OBS: 59402.409 p48r 416.4856 92.0634 20.951 0.24
OBS: 59412.61 z_PS1 293.765 72.2415 21.33 0.267
OBS: 59415.51 r_PS1 281.5788 46.4225 21.376 0.179
END:
