# 2021mgd 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 16.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021mgd
RA: 194.680401
DEC: 3.60355
MWEBV: 0.019
REDSHIFT_HELIO: 0.11
REDSHIFT_CMB: 0.11510463888818401
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59353.37
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 33
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59344.26 g_PS1 776.9624 59.3955 20.274 0.083
OBS: 59344.26 i_PS1 442.1809 63.5331 20.886 0.156
OBS: 59346.28 g_PS1 1149.2116 48.6893 19.849 0.046
OBS: 59346.29 r_PS1 871.7661 54.599 20.149 0.068
OBS: 59349.31 g_PS1 1698.2437 67.258 19.425 0.043
OBS: 59349.31 r_PS1 1498.3042 77.2794 19.561 0.056
OBS: 59351.26 r_PS1 1601.032 107.6462 19.489 0.073
OBS: 59353.37 g_PS1 2062.5287 96.8826 19.214 0.051
OBS: 59353.37 z_PS1 1263.572 123.362 19.746 0.106
OBS: 59360.33 z_PS1 703.3962 174.92 20.382 0.27
OBS: 59360.33 r_PS1 1831.4708 175.4321 19.343 0.104
OBS: 59363.33 r_PS1 1725.0433 71.4971 19.408 0.045
OBS: 59363.33 i_PS1 1321.9043 63.311 19.697 0.052
OBS: 59365.34 z_PS1 508.1594 85.6499 20.735 0.183
OBS: 59365.34 r_PS1 1595.1444 57.2981 19.493 0.039
OBS: 59367.33 g_PS1 1502.4499 55.3523 19.558 0.04
OBS: 59367.33 i_PS1 989.0084 68.3183 20.012 0.075
OBS: 59371.32 r_PS1 1136.58 99.4487 19.861 0.095
OBS: 59371.33 g_PS1 1028.9636 91.9279 19.969 0.097
OBS: 59374.31 i_PS1 804.637 74.1098 20.236 0.1
OBS: 59374.32 g_PS1 889.6107 70.4651 20.127 0.086
OBS: 59377.29 g_PS1 708.5981 59.3905 20.374 0.091
OBS: 59377.29 r_PS1 750.9309 56.0223 20.311 0.081
OBS: 59379.33 g_PS1 687.3849 65.8429 20.407 0.104
OBS: 59379.34 i_PS1 626.3254 61.1479 20.508 0.106
OBS: 59388.29 r_PS1 811.3346 89.672 20.227 0.12
OBS: 59389.28 i_PS1 731.8128 111.8881 20.339 0.166
OBS: 59391.28 r_PS1 706.6429 56.6233 20.377 0.087
OBS: 59391.28 z_PS1 469.4615 90.8019 20.821 0.21
OBS: 59393.28 r_PS1 458.7753 55.3537 20.846 0.131
OBS: 59393.28 i_PS1 635.6236 57.9577 20.492 0.099
OBS: 59402.29 i_PS1 319.4479 67.3769 21.239 0.229
OBS: 59403.28 r_PS1 340.0948 67.3464 21.171 0.215
END:
