# 2021mim 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 22.55 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021mim
RA: 235.089034
DEC: 7.281499
MWEBV: 0.041
REDSHIFT_HELIO: 0.0381
REDSHIFT_CMB: 0.03879815188549762
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59361.374
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 52
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59356.37 r_PS1 6240.2214 132.1915 18.012 0.023
OBS: 59356.37 i_PS1 5272.2986 101.9753 18.195 0.021
OBS: 59362.36 z_PS1 5035.0061 171.5842 18.245 0.037
OBS: 59362.37 r_PS1 9315.3677 128.6966 17.577 0.015
OBS: 59365.35 i_PS1 5807.6442 90.9336 18.09 0.017
OBS: 59365.35 r_PS1 9053.1559 116.7357 17.608 0.014
OBS: 59367.34 z_PS1 4413.6714 105.6937 18.388 0.026
OBS: 59367.34 g_PS1 6552.3939 102.5946 17.959 0.017
OBS: 59371.45 i_PS1 3995.7656 110.4071 18.496 0.03
OBS: 59371.45 g_PS1 4475.0717 94.7989 18.373 0.023
OBS: 59374.46 r_PS1 6183.0107 96.811 18.022 0.017
OBS: 59374.46 g_PS1 3078.9313 104.9246 18.779 0.037
OBS: 59377.49 i_PS1 4040.1734 89.3073 18.484 0.024
OBS: 59377.49 g_PS1 2054.944 87.063 19.218 0.046
OBS: 59380.39 r_PS1 4711.9427 104.1566 18.317 0.024
OBS: 59380.39 g_PS1 1441.4514 92.9338 19.603 0.07
OBS: 59389.27 z_PS1 2083.5312 166.9533 19.203 0.087
OBS: 59389.28 r_PS1 2376.8403 109.4575 19.06 0.05
OBS: 59392.34 r_PS1 2183.7353 78.4405 19.152 0.039
OBS: 59392.34 i_PS1 1939.0991 67.8671 19.281 0.038
OBS: 59395.4 z_PS1 1468.25 82.4908 19.583 0.061
OBS: 59395.4 r_PS1 1786.4876 62.5258 19.37 0.038
OBS: 59400.34 g_PS1 542.0009 55.9105 20.665 0.112
OBS: 59400.35 i_PS1 1348.9629 60.8796 19.675 0.049
OBS: 59401.35 r_PS1 1495.5468 63.3627 19.563 0.046
OBS: 59401.36 g_PS1 592.6523 70.415 20.568 0.129
OBS: 59406.33 i_PS1 1054.8726 55.3797 19.942 0.057
OBS: 59406.34 g_PS1 491.5866 52.5211 20.771 0.116
OBS: 59409.33 r_PS1 1211.1558 58.0068 19.792 0.052
OBS: 59420.36 r_PS1 851.9223 91.804 20.174 0.117
OBS: 59423.29 i_PS1 589.3863 52.6559 20.574 0.097
OBS: 59423.29 r_PS1 774.8185 51.3817 20.277 0.072
OBS: 59424.36 z_PS1 526.2596 130.3851 20.697 0.269
OBS: 59424.37 r_PS1 820.3515 67.2459 20.215 0.089
OBS: 59426.28 g_PS1 425.4025 52.8944 20.928 0.135
OBS: 59429.27 i_PS1 560.2734 84.113 20.629 0.163
OBS: 59429.27 g_PS1 352.2086 77.5307 21.133 0.239
OBS: 59431.27 r_PS1 636.2093 58.0111 20.491 0.099
OBS: 59431.27 g_PS1 309.8846 57.6537 21.272 0.202
OBS: 59433.31 i_PS1 480.3967 61.9446 20.796 0.14
OBS: 59433.31 g_PS1 329.6097 58.8949 21.205 0.194
OBS: 59434.26 r_PS1 516.6542 48.0615 20.717 0.101
OBS: 59434.26 g_PS1 293.765 47.8905 21.33 0.177
OBS: 59436.26 g_PS1 352.2086 71.3672 21.133 0.22
OBS: 59436.27 i_PS1 474.679 52.4635 20.809 0.12
OBS: 59438.26 g_PS1 304.5089 54.1294 21.291 0.193
OBS: 59438.27 r_PS1 496.1352 57.5766 20.761 0.126
OBS: 59444.25 i_PS1 379.4897 92.2741 21.052 0.264
OBS: 59448.27 i_PS1 272.8978 65.0992 21.41 0.259
OBS: 59451.26 i_PS1 425.0108 89.6419 20.929 0.229
OBS: 59453.26 i_PS1 233.3458 51.5807 21.58 0.24
OBS: 59477.23 r_PS1 532.5986 102.5232 20.684 0.209
END:
