# 2021mwb 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.02 (yyyy.mm.dd); 19.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021mwb
RA: 242.237984
DEC: 35.421083
MWEBV: 0.019
REDSHIFT_HELIO: 0.043
REDSHIFT_CMB: 0.044140447635215185
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59369.11655743542
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 70
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59353.45 z_PS1 728.4504 146.2622 20.344 0.218
OBS: 59353.46 g_PS1 954.9926 76.5235 20.05 0.087
OBS: 59354.36 i_PS1 979.039 89.2711 20.023 0.099
OBS: 59354.36 g_PS1 1403.4599 94.3623 19.632 0.073
OBS: 59355.36 z_PS1 1309.785 117.0166 19.707 0.097
OBS: 59355.37 g_PS1 2363.7416 84.9064 19.066 0.039
OBS: 59356.36 r_PS1 2997.7817 82.8318 18.808 0.03
OBS: 59356.36 i_PS1 2454.7089 83.6522 19.025 0.037
OBS: 59358.38 z_PS1 3854.7836 198.8217 18.535 0.056
OBS: 59358.38 r_PS1 5420.0089 114.8163 18.165 0.023
OBS: 59360.39 i_PS1 6020.0486 166.3401 18.051 0.03
OBS: 59360.39 r_PS1 7297.9352 161.3195 17.842 0.024
OBS: 59363.48 z_PS1 6058.9867 156.2549 18.044 0.028
OBS: 59363.48 r_PS1 10027.6692 138.5374 17.497 0.015
OBS: 59366.32 g_PS1 13639.5487 150.7499 17.163 0.012
OBS: 59366.33 z_PS1 7131.8139 137.9415 17.867 0.021
OBS: 59369.46 g_PS1 14401.2437 185.6965 17.104 0.014
OBS: 59369.46 i_PS1 7413.1024 170.693 17.825 0.025
OBS: 59370.44 i_PS1 7079.4578 143.4493 17.875 0.022
OBS: 59370.45 g_PS1 14164.4593 156.5514 17.122 0.012
OBS: 59373.33 g_PS1 13280.0589 122.3139 17.192 0.01
OBS: 59377.5 g_PS1 11890.4968 131.4186 17.312 0.012
OBS: 59377.5 i_PS1 6309.5734 127.8493 18.0 0.022
OBS: 59384.28 i_PS1 3725.6324 195.5918 18.572 0.057
OBS: 59384.28 g_PS1 7776.7833 157.579 17.773 0.022
OBS: 59389.28 r_PS1 7345.1387 142.0676 17.835 0.021
OBS: 59389.28 i_PS1 3872.5764 160.5049 18.53 0.045
OBS: 59392.35 z_PS1 4157.1912 126.3542 18.453 0.033
OBS: 59392.35 r_PS1 6937.4521 102.2341 17.897 0.016
OBS: 59395.42 i_PS1 4545.6919 92.1082 18.356 0.022
OBS: 59395.42 r_PS1 6754.6057 99.5395 17.926 0.016
OBS: 59408.4 r_PS1 3801.894 73.5351 18.55 0.021
OBS: 59408.4 g_PS1 1468.25 68.9677 19.583 0.051
OBS: 59412.26 i_PS1 2625.4273 84.6338 18.952 0.035
OBS: 59412.27 g_PS1 1350.2059 80.8331 19.674 0.065
OBS: 59413.27 z_PS1 2587.0213 231.1253 18.968 0.097
OBS: 59413.27 g_PS1 1190.1453 140.309 19.811 0.128
OBS: 59414.33 i_PS1 2450.1913 135.4026 19.027 0.06
OBS: 59414.33 r_PS1 2970.2978 112.1656 18.818 0.041
OBS: 59416.3 r_PS1 2627.8465 137.9592 18.951 0.057
OBS: 59416.31 z_PS1 2759.3069 615.0226 18.898 0.242
OBS: 59419.3 r_PS1 2479.7049 111.9107 19.014 0.049
OBS: 59419.3 z_PS1 1713.9573 161.0185 19.415 0.102
OBS: 59425.26 i_PS1 1520.5475 85.429 19.545 0.061
OBS: 59425.26 g_PS1 1180.3206 76.0981 19.82 0.07
OBS: 59426.26 g_PS1 1054.8726 65.0954 19.942 0.067
OBS: 59426.26 z_PS1 1253.1412 99.26 19.755 0.086
OBS: 59429.27 r_PS1 1914.2559 96.9702 19.295 0.055
OBS: 59429.28 g_PS1 925.5502 92.9185 20.084 0.109
OBS: 59432.33 i_PS1 1233.6728 89.7641 19.772 0.079
OBS: 59432.34 g_PS1 1081.434 77.6909 19.915 0.078
OBS: 59436.26 g_PS1 820.3515 68.0015 20.215 0.09
OBS: 59436.26 r_PS1 1438.7986 56.9828 19.605 0.043
OBS: 59438.26 g_PS1 759.2766 69.932 20.299 0.1
OBS: 59438.26 i_PS1 1047.1285 68.4753 19.95 0.071
OBS: 59440.26 g_PS1 748.1695 73.0435 20.315 0.106
OBS: 59440.26 r_PS1 1558.8345 70.3512 19.518 0.049
OBS: 59442.26 z_PS1 918.7556 129.4694 20.092 0.153
OBS: 59442.26 g_PS1 1066.5961 89.3958 19.93 0.091
OBS: 59445.25 r_PS1 1237.0863 162.934 19.769 0.143
OBS: 59447.26 i_PS1 767.715 92.629 20.287 0.131
OBS: 59447.26 r_PS1 1350.2059 89.5382 19.674 0.072
OBS: 59450.3 i_PS1 613.197 115.7789 20.531 0.205
OBS: 59450.3 r_PS1 1247.3835 99.9528 19.76 0.087
OBS: 59456.25 g_PS1 664.9669 68.5952 20.443 0.112
OBS: 59456.25 i_PS1 483.5039 70.3611 20.789 0.158
OBS: 59461.25 r_PS1 751.6229 107.9942 20.31 0.156
OBS: 59461.25 g_PS1 567.5446 128.0683 20.615 0.245
OBS: 59465.24 g_PS1 809.0959 78.2465 20.23 0.105
OBS: 59465.24 i_PS1 492.4929 94.803 20.769 0.209
END:
