# 2021nsh 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.22 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021nsh
RA: 333.86416
DEC: 5.544722
MWEBV: 0.096
REDSHIFT_HELIO: 0.083
REDSHIFT_CMB: 0.08194370377377447
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59371.57
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 55
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59355.59 g_PS1 225.3201 46.2786 21.618 0.223
OBS: 59356.58 r_PS1 362.4099 86.7859 21.102 0.26
OBS: 59357.6 r_PS1 536.5374 56.3353 20.676 0.114
OBS: 59357.6 i_PS1 626.9025 71.02 20.507 0.123
OBS: 59358.6 r_PS1 633.2862 55.4114 20.496 0.095
OBS: 59359.57 i_PS1 870.1618 81.7478 20.151 0.102
OBS: 59359.57 r_PS1 696.9474 91.7935 20.392 0.143
OBS: 59361.6 z_PS1 901.9864 170.3058 20.112 0.205
OBS: 59361.6 r_PS1 963.829 126.0561 20.04 0.142
OBS: 59362.427 p48g 1154.5161 228.62 19.844 0.215
OBS: 59362.484 p48r 1163.0543 229.2395 19.836 0.214
OBS: 59365.428 p48r 1346.4803 189.7436 19.677 0.153
OBS: 59365.459 p48g 1315.8307 197.5437 19.702 0.163
OBS: 59368.427 p48r 1750.6527 117.706 19.392 0.073
OBS: 59368.447 p48g 1426.9212 130.1101 19.614 0.099
OBS: 59370.421 p48g 1234.8096 93.2587 19.771 0.082
OBS: 59370.447 p48r 1650.441 92.7269 19.456 0.061
OBS: 59371.56 g_PS1 1211.1558 71.393 19.792 0.064
OBS: 59371.57 r_PS1 1752.2659 83.9226 19.391 0.052
OBS: 59373.404 p48r 1635.3097 118.9879 19.466 0.079
OBS: 59373.44 p48g 1190.1453 82.2123 19.811 0.075
OBS: 59374.58 i_PS1 1446.7717 67.9588 19.599 0.051
OBS: 59374.58 g_PS1 1089.4317 63.2144 19.907 0.063
OBS: 59375.415 p48r 1573.2582 121.718 19.508 0.084
OBS: 59375.433 p48g 1146.0406 97.1099 19.852 0.092
OBS: 59377.421 p48r 1687.3299 90.1371 19.432 0.058
OBS: 59377.456 p48g 999.0794 92.0186 20.001 0.1
OBS: 59377.56 g_PS1 832.5302 48.3077 20.199 0.063
OBS: 59377.57 r_PS1 1526.1598 61.8484 19.541 0.044
OBS: 59380.56 g_PS1 612.6325 111.1583 20.532 0.197
OBS: 59380.56 i_PS1 870.1618 88.1593 20.151 0.11
OBS: 59382.57 i_PS1 820.3515 46.0899 20.215 0.061
OBS: 59382.57 g_PS1 476.431 45.6362 20.805 0.104
OBS: 59383.57 g_PS1 503.9646 56.1644 20.744 0.121
OBS: 59384.383 p48g 565.4575 102.5987 20.619 0.197
OBS: 59385.49 i_PS1 702.1017 73.0725 20.384 0.113
OBS: 59385.5 r_PS1 796.5261 82.1663 20.247 0.112
OBS: 59386.38 p48r 868.5604 179.9941 20.153 0.225
OBS: 59387.54 r_PS1 956.7534 67.8526 20.048 0.077
OBS: 59389.55 i_PS1 844.1119 98.7369 20.184 0.127
OBS: 59389.55 r_PS1 901.9864 107.1681 20.112 0.129
OBS: 59390.382 p48r 1307.3745 202.2949 19.709 0.168
OBS: 59396.392 p48r 771.2586 147.7539 20.282 0.208
OBS: 59399.46 r_PS1 556.1603 57.3712 20.637 0.112
OBS: 59402.408 p48r 601.4507 89.187 20.552 0.161
OBS: 59406.454 p48r 575.4399 108.65 20.6 0.205
OBS: 59408.442 p48r 571.7419 87.9412 20.607 0.167
OBS: 59410.421 p48r 537.5266 84.6587 20.674 0.171
OBS: 59412.436 p48r 348.0166 78.8517 21.146 0.246
OBS: 59413.45 i_PS1 474.242 82.1171 20.81 0.188
OBS: 59415.51 r_PS1 257.0396 55.6344 21.475 0.235
OBS: 59426.403 p48r 411.1497 100.7296 20.965 0.266
OBS: 59427.39 i_PS1 390.8409 89.6345 21.02 0.249
OBS: 59428.364 p48r 422.6686 88.3693 20.935 0.227
OBS: 59430.48 i_PS1 279.5117 46.0817 21.384 0.179
END:
