# 2021oez 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.02 (yyyy.mm.dd); 19.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021oez
RA: 227.453641
DEC: 0.533519
MWEBV: 0.046
REDSHIFT_HELIO: 0.0391
REDSHIFT_CMB: 0.04056047956404085
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59380.133740086814
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 47
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59378.44 r_PS1 12427.9644 137.3589 17.264 0.012
OBS: 59378.44 g_PS1 14086.3995 168.6627 17.128 0.013
OBS: 59383.27 i_PS1 7277.798 113.9527 17.845 0.017
OBS: 59383.28 g_PS1 12554.5167 150.3208 17.253 0.013
OBS: 59394.3 z_PS1 4724.9803 104.4448 18.314 0.024
OBS: 59395.4 i_PS1 3908.409 97.194 18.52 0.027
OBS: 59397.31 g_PS1 3833.54 84.7397 18.541 0.024
OBS: 59397.31 z_PS1 4570.8819 105.2484 18.35 0.025
OBS: 59402.3 g_PS1 2376.8403 107.2684 19.06 0.049
OBS: 59402.31 r_PS1 5114.4625 84.7907 18.228 0.018
OBS: 59403.3 g_PS1 2089.2961 63.5023 19.2 0.033
OBS: 59405.31 i_PS1 4218.9075 132.1158 18.437 0.034
OBS: 59405.31 g_PS1 1717.1174 102.799 19.413 0.065
OBS: 59408.28 r_PS1 3317.4165 85.5527 18.698 0.028
OBS: 59408.28 g_PS1 1375.3081 57.0018 19.654 0.045
OBS: 59410.27 g_PS1 1361.4447 125.3937 19.665 0.1
OBS: 59410.27 i_PS1 2764.3944 112.0285 18.896 0.044
OBS: 59417.28 r_PS1 1771.74 326.3666 19.379 0.2
OBS: 59419.29 r_PS1 2167.7041 159.7223 19.16 0.08
OBS: 59419.29 i_PS1 1758.7334 129.5883 19.387 0.08
OBS: 59423.28 z_PS1 1230.2688 129.1756 19.775 0.114
OBS: 59423.29 r_PS1 1758.7334 79.3728 19.387 0.049
OBS: 59424.27 i_PS1 1545.9662 84.0094 19.527 0.059
OBS: 59424.27 r_PS1 1699.8085 78.2791 19.424 0.05
OBS: 59426.28 g_PS1 809.0959 67.0684 20.23 0.09
OBS: 59426.28 i_PS1 1115.8351 73.996 19.881 0.072
OBS: 59428.27 i_PS1 1127.1975 117.3152 19.87 0.113
OBS: 59428.27 g_PS1 779.8301 99.8368 20.27 0.139
OBS: 59432.28 g_PS1 853.4931 58.9572 20.172 0.075
OBS: 59432.28 i_PS1 1116.8632 97.7236 19.88 0.095
OBS: 59435.28 g_PS1 688.0183 52.5961 20.406 0.083
OBS: 59435.28 r_PS1 1288.2496 56.953 19.725 0.048
OBS: 59437.27 i_PS1 809.8414 91.7447 20.229 0.123
OBS: 59437.27 g_PS1 718.4557 132.3444 20.359 0.2
OBS: 59444.28 r_PS1 1005.5415 95.3922 19.994 0.103
OBS: 59446.27 i_PS1 533.5806 111.5582 20.682 0.227
OBS: 59446.27 r_PS1 800.94 90.7362 20.241 0.123
OBS: 59448.28 r_PS1 807.6069 87.7723 20.232 0.118
OBS: 59451.26 r_PS1 823.3794 95.5534 20.211 0.126
OBS: 59453.26 r_PS1 714.4963 83.5756 20.365 0.127
OBS: 59453.26 i_PS1 609.8177 73.5778 20.537 0.131
OBS: 59454.25 r_PS1 748.1695 64.0853 20.315 0.093
OBS: 59455.25 g_PS1 611.505 73.7814 20.534 0.131
OBS: 59457.25 i_PS1 504.8938 53.9428 20.742 0.116
OBS: 59457.25 g_PS1 603.1148 54.9934 20.549 0.099
OBS: 59465.25 r_PS1 459.198 65.5552 20.845 0.155
OBS: 59465.25 g_PS1 503.0371 64.4007 20.746 0.139
END:
