# 2021ojn 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 15.24 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021ojn
RA: 220.208679
DEC: 42.253241
MWEBV: 0.012
REDSHIFT_HELIO: 0.08
REDSHIFT_CMB: 0.08749548896251524
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59384.02551607947
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 70
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59364.291 p48g 307.3265 76.1426 21.281 0.269
OBS: 59366.281 p48g 557.1857 83.6495 20.635 0.163
OBS: 59366.345 p48r 537.0318 79.1399 20.675 0.16
OBS: 59367.35 g_PS1 587.76 49.2626 20.577 0.091
OBS: 59367.35 i_PS1 527.2299 51.4732 20.695 0.106
OBS: 59368.203 p48g 986.2795 65.4046 20.015 0.072
OBS: 59368.299 p48r 898.6695 82.7705 20.116 0.1
OBS: 59370.244 p48g 1765.2247 74.7883 19.383 0.046
OBS: 59370.26 p48r 1551.6723 74.3154 19.523 0.052
OBS: 59372.34 r_PS1 2077.7821 59.3249 19.206 0.031
OBS: 59372.34 g_PS1 2374.6521 69.9883 19.061 0.032
OBS: 59375.243 p48r 3429.2567 97.9123 18.662 0.031
OBS: 59375.28 p48g 3794.8971 101.3617 18.552 0.029
OBS: 59376.39 i_PS1 2452.4491 88.0928 19.026 0.039
OBS: 59376.39 g_PS1 3567.7959 78.8655 18.619 0.024
OBS: 59377.245 p48r 3886.8699 100.2383 18.526 0.028
OBS: 59377.319 p48g 4434.044 93.9298 18.383 0.023
OBS: 59379.24 p48r 4458.6153 102.6634 18.377 0.025
OBS: 59379.285 p48g 4759.9238 118.3694 18.306 0.027
OBS: 59380.35 g_PS1 4541.5071 163.1324 18.357 0.039
OBS: 59380.35 r_PS1 3837.0725 127.2267 18.54 0.036
OBS: 59381.373 p48r 4549.8806 452.5842 18.355 0.108
OBS: 59382.27 g_PS1 4230.5809 93.5162 18.434 0.024
OBS: 59382.27 z_PS1 2047.3873 98.0571 19.222 0.052
OBS: 59383.225 p48r 5090.9637 300.0929 18.233 0.064
OBS: 59383.262 p48g 4647.2924 162.652 18.332 0.038
OBS: 59383.27 i_PS1 2539.8028 81.8736 18.988 0.035
OBS: 59383.27 g_PS1 4301.3026 95.0795 18.416 0.024
OBS: 59384.27 g_PS1 4313.204 166.8495 18.413 0.042
OBS: 59384.27 z_PS1 1919.5525 139.6699 19.292 0.079
OBS: 59385.261 p48r 4353.1136 152.3559 18.403 0.038
OBS: 59385.297 p48g 4211.1431 182.2945 18.439 0.047
OBS: 59386.33 i_PS1 2701.4691 171.682 18.921 0.069
OBS: 59386.33 r_PS1 3544.8674 163.2472 18.626 0.05
OBS: 59387.297 p48g 4487.4539 247.9859 18.37 0.06
OBS: 59388.31 r_PS1 3050.7035 98.3431 18.789 0.035
OBS: 59388.31 z_PS1 1342.765 85.3345 19.68 0.069
OBS: 59391.207 p48g 3360.4698 145.47 18.684 0.047
OBS: 59391.266 p48r 3777.4611 156.5627 18.557 0.045
OBS: 59391.3 r_PS1 3107.4203 77.2751 18.769 0.027
OBS: 59391.3 i_PS1 1717.1174 69.587 19.413 0.044
OBS: 59393.224 p48r 3314.3625 91.5792 18.699 0.03
OBS: 59393.28 p48g 3203.3176 129.816 18.736 0.044
OBS: 59395.237 p48g 2782.2747 89.6899 18.889 0.035
OBS: 59395.302 p48r 4377.2364 854.6957 18.397 0.212
OBS: 59397.222 p48r 2847.0822 89.1568 18.864 0.034
OBS: 59397.24 p48g 2228.4351 84.151 19.13 0.041
OBS: 59398.3 i_PS1 1186.8614 106.0346 19.814 0.097
OBS: 59398.3 g_PS1 1704.5118 105.1842 19.421 0.067
OBS: 59400.216 p48r 2570.3958 87.5946 18.975 0.037
OBS: 59400.257 p48g 1841.6199 103.4679 19.337 0.061
OBS: 59402.227 p48r 2361.5655 97.8787 19.067 0.045
OBS: 59402.282 p48g 1506.6071 99.9098 19.555 0.072
OBS: 59404.222 p48r 2305.6851 95.5627 19.093 0.045
OBS: 59404.327 p48g 1328.0059 150.4461 19.692 0.123
OBS: 59406.204 p48g 1091.4403 95.4991 19.905 0.095
OBS: 59406.245 p48r 2290.8677 103.3884 19.1 0.049
OBS: 59408.194 p48g 1117.8924 105.0209 19.879 0.102
OBS: 59408.236 p48r 2214.1141 132.5528 19.137 0.065
OBS: 59410.198 p48g 1002.7669 105.2884 19.997 0.114
OBS: 59410.22 p48r 2210.0393 124.1668 19.139 0.061
OBS: 59412.223 p48r 2141.904 134.1481 19.173 0.068
OBS: 59412.243 p48g 831.7638 131.7662 20.2 0.172
OBS: 59415.262 p48g 688.0183 161.5905 20.406 0.255
OBS: 59423.198 p48g 430.9233 78.5852 20.914 0.198
OBS: 59425.201 p48r 1060.7181 120.1658 19.936 0.123
OBS: 59425.219 p48g 505.359 93.556 20.741 0.201
OBS: 59427.204 p48r 1100.5252 99.3349 19.896 0.098
OBS: 59436.198 p48r 761.3774 112.2007 20.296 0.16
OBS: 59458.216 p48r 533.0893 129.6223 20.683 0.264
END:
