# 2021orm 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 22.55 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021orm
RA: 239.183639
DEC: 25.674094
MWEBV: 0.06
REDSHIFT_HELIO: 0.0741
REDSHIFT_CMB: 0.07458255344780884
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59378.297
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 41
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59363.49 r_PS1 389.7625 88.3102 21.023 0.246
OBS: 59365.36 r_PS1 554.1151 66.857 20.641 0.131
OBS: 59365.36 i_PS1 598.1361 63.3539 20.558 0.115
OBS: 59368.37 z_PS1 1853.5316 172.4237 19.33 0.101
OBS: 59368.37 g_PS1 1976.9696 109.2514 19.26 0.06
OBS: 59372.46 g_PS1 2500.3454 78.2987 19.005 0.034
OBS: 59372.46 i_PS1 2318.4621 83.2799 19.087 0.039
OBS: 59375.43 g_PS1 3156.4579 113.381 18.752 0.039
OBS: 59375.43 r_PS1 3232.9575 113.1512 18.726 0.038
OBS: 59379.31 g_PS1 3244.8902 74.7164 18.722 0.025
OBS: 59379.32 i_PS1 2575.135 68.7818 18.973 0.029
OBS: 59382.29 g_PS1 3000.544 99.4897 18.807 0.036
OBS: 59382.29 i_PS1 2443.4306 105.7727 19.03 0.047
OBS: 59383.28 z_PS1 1611.3875 152.8667 19.482 0.103
OBS: 59383.29 g_PS1 2857.5905 113.1733 18.86 0.043
OBS: 59384.27 g_PS1 2495.7438 135.6212 19.007 0.059
OBS: 59384.27 i_PS1 2339.9146 144.3944 19.077 0.067
OBS: 59385.27 r_PS1 3467.3685 127.7426 18.65 0.04
OBS: 59385.27 z_PS1 1237.0863 165.2128 19.769 0.145
OBS: 59386.31 r_PS1 3017.1715 433.5112 18.801 0.156
OBS: 59386.31 i_PS1 2041.7379 330.9698 19.225 0.176
OBS: 59388.3 r_PS1 2316.3277 110.9377 19.088 0.052
OBS: 59388.3 z_PS1 1190.1453 117.2896 19.811 0.107
OBS: 59394.39 r_PS1 1813.0092 65.1239 19.354 0.039
OBS: 59394.4 z_PS1 1124.0872 96.285 19.873 0.093
OBS: 59398.4 i_PS1 2010.0182 164.7653 19.242 0.089
OBS: 59398.41 g_PS1 718.4557 70.1425 20.359 0.106
OBS: 59399.4 g_PS1 635.6236 67.91 20.492 0.116
OBS: 59399.4 r_PS1 1534.617 70.6717 19.535 0.05
OBS: 59408.39 g_PS1 355.4676 58.2768 21.123 0.178
OBS: 59408.39 r_PS1 829.4687 67.2293 20.203 0.088
OBS: 59412.38 i_PS1 1127.1975 119.3915 19.87 0.115
OBS: 59414.33 r_PS1 551.5692 106.1749 20.646 0.209
OBS: 59414.34 i_PS1 1337.8271 145.3978 19.684 0.118
OBS: 59425.33 g_PS1 268.9057 63.8992 21.426 0.258
OBS: 59429.28 r_PS1 533.0893 74.631 20.683 0.152
OBS: 59431.33 i_PS1 615.4602 99.2005 20.527 0.175
OBS: 59439.25 r_PS1 459.6211 91.0152 20.844 0.215
OBS: 59441.25 i_PS1 417.638 70.7772 20.948 0.184
OBS: 59447.25 i_PS1 319.4479 73.8498 21.239 0.251
OBS: 59450.3 i_PS1 521.4348 102.2952 20.707 0.213
END:
