# 2021pby 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.22 (yyyy.mm.dd); 23.40 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021pby
RA: 322.402533
DEC: 12.916377
MWEBV: 0.095
REDSHIFT_HELIO: 0.03
REDSHIFT_CMB: 0.03081746555033127
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59386.377
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 112
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59367.441 p48g 637.3823 145.5886 20.489 0.248
OBS: 59369.403 p48g 359.7493 79.8533 21.11 0.241
OBS: 59370.57 g_PS1 722.437 74.5236 20.353 0.112
OBS: 59370.57 i_PS1 780.5487 77.6425 20.269 0.108
OBS: 59371.408 p48g 1226.8741 73.4495 19.778 0.065
OBS: 59371.443 p48r 1275.2637 88.0921 19.736 0.075
OBS: 59374.405 p48g 4107.7121 94.5836 18.466 0.025
OBS: 59374.442 p48r 4952.2208 296.4757 18.263 0.065
OBS: 59376.402 p48g 7112.1351 111.3588 17.87 0.017
OBS: 59376.442 p48r 7338.3767 108.1423 17.836 0.016
OBS: 59376.55 g_PS1 6754.6057 105.7608 17.926 0.017
OBS: 59376.56 i_PS1 5953.8789 115.1582 18.063 0.021
OBS: 59378.403 p48r 10346.6558 123.8851 17.463 0.013
OBS: 59378.438 p48g 9862.7949 127.1756 17.515 0.014
OBS: 59379.51 r_PS1 11240.8719 124.2387 17.373 0.012
OBS: 59379.51 g_PS1 10480.9343 154.4528 17.449 0.016
OBS: 59381.4 p48r 13255.6186 293.013 17.194 0.024
OBS: 59382.51 i_PS1 9289.6639 85.561 17.58 0.01
OBS: 59382.51 g_PS1 12787.9226 106.003 17.233 0.009
OBS: 59383.56 z_PS1 8302.3302 183.5215 17.702 0.024
OBS: 59384.359 p48r 11824.9687 315.8448 17.318 0.029
OBS: 59385.5 r_PS1 13689.8913 252.1771 17.159 0.02
OBS: 59385.5 z_PS1 7819.8784 223.2736 17.767 0.031
OBS: 59386.377 p48r 14387.9858 172.2737 17.105 0.013
OBS: 59386.442 p48g 13970.1156 128.6695 17.137 0.01
OBS: 59390.367 p48r 12670.6822 198.3922 17.243 0.017
OBS: 59390.435 p48g 11334.4382 229.6669 17.364 0.022
OBS: 59392.398 p48r 10073.9548 231.9614 17.492 0.025
OBS: 59394.422 p48r 9272.5674 179.3474 17.582 0.021
OBS: 59396.393 p48r 7848.741 137.3502 17.763 0.019
OBS: 59396.437 p48g 6086.9537 151.3699 18.039 0.027
OBS: 59398.98 i_PS1 4879.7773 134.8332 18.279 0.03
OBS: 59399.382 p48r 7372.2491 251.2334 17.831 0.037
OBS: 59399.403 p48g 4575.0938 105.3454 18.349 0.025
OBS: 59399.46 g_PS1 4835.0392 213.7553 18.289 0.048
OBS: 59401.4 p48g 3677.9007 88.0743 18.586 0.026
OBS: 59401.421 p48r 7191.1774 105.9731 17.858 0.016
OBS: 59403.416 p48g 3144.8505 89.7919 18.756 0.031
