# 2021pde 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.22 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021pde
RA: 244.244084
DEC: 27.617732
MWEBV: 0.049
REDSHIFT_HELIO: 0.0498
REDSHIFT_CMB: 0.05032741469956914
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59386.211
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1
# -----------------------------------------------------------
NOBS: 57
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59369.319 p48r 892.0722 72.3033 20.124 0.088
OBS: 59369.369 p48g 326.2872 67.3168 21.216 0.224
OBS: 59371.369 p48g 1047.1285 73.2975 19.95 0.076
OBS: 59374.275 p48r 3869.0113 513.1427 18.531 0.144
OBS: 59376.298 p48r 3955.4874 98.3647 18.507 0.027
OBS: 59376.338 p48g 3244.8902 95.6369 18.722 0.032
OBS: 59378.297 p48r 4711.9427 108.4965 18.317 0.025
OBS: 59378.35 p48g 3930.0674 97.7326 18.514 0.027
OBS: 59380.298 p48g 5214.3479 326.5762 18.207 0.068
OBS: 59380.351 p48r 5445.0265 145.4366 18.16 0.029
OBS: 59382.302 p48g 4746.7898 135.5306 18.309 0.031
OBS: 59382.33 p48r 5926.5234 131.0047 18.068 0.024
OBS: 59384.326 p48r 5775.6385 164.9063 18.096 0.031
OBS: 59386.211 p48r 5948.3977 262.9765 18.064 0.048
OBS: 59386.321 p48g 4537.3262 188.0564 18.358 0.045
OBS: 59390.269 p48g 3640.8266 211.2595 18.597 0.063
OBS: 59390.295 p48r 5675.4461 182.9548 18.115 0.035
OBS: 59392.232 p48g 3116.0183 117.6683 18.766 0.041
OBS: 59392.339 p48r 5016.4906 180.194 18.249 0.039
OBS: 59394.228 p48g 2532.7948 93.3116 18.991 0.04
OBS: 59394.29 p48r 4786.3009 154.2921 18.3 0.035
OBS: 59396.289 p48g 1846.7155 91.8479 19.334 0.054
OBS: 59396.324 p48r 3970.0868 113.3541 18.503 0.031
OBS: 59399.213 p48r 3551.4033 111.2128 18.624 0.034
OBS: 59399.281 p48g 1430.8694 84.3443 19.611 0.064
OBS: 59401.253 p48g 1233.6728 94.3091 19.772 0.083
OBS: 59401.316 p48r 3375.981 102.61 18.679 0.033
OBS: 59403.226 p48r 3293.0627 106.1558 18.706 0.035
OBS: 59403.288 p48g 990.8319 79.3953 20.01 0.087
OBS: 59405.311 p48g 873.3735 113.4213 20.147 0.141
OBS: 59407.208 p48r 3410.3582 109.937 18.668 0.035
OBS: 59407.262 p48g 684.2267 92.6388 20.412 0.147
OBS: 59408.39 g_PS1 821.1075 59.7452 20.214 0.079
OBS: 59408.39 r_PS1 2734.0094 70.5072 18.908 0.028
OBS: 59409.205 p48r 2924.1524 102.3433 18.835 0.038
OBS: 59411.215 p48r 2721.4477 135.3535 18.913 0.054
OBS: 59414.34 r_PS1 1884.5167 119.7636 19.312 0.069
OBS: 59414.34 i_PS1 2251.127 111.9617 19.119 0.054
OBS: 59425.198 p48r 1278.7923 95.4027 19.733 0.081
OBS: 59425.224 p48g 401.7908 82.5241 20.99 0.223
OBS: 59427.195 p48r 1137.6273 85.9191 19.86 0.082
OBS: 59429.28 r_PS1 608.135 101.9406 20.54 0.182
OBS: 59431.33 i_PS1 897.8422 124.0415 20.117 0.15
OBS: 59435.27 g_PS1 272.1448 55.896 21.413 0.223
OBS: 59435.27 r_PS1 723.1027 67.9322 20.352 0.102
OBS: 59436.192 p48r 892.8942 106.0878 20.123 0.129
OBS: 59437.26 i_PS1 938.4259 108.9046 20.069 0.126
OBS: 59439.227 p48r 716.4733 170.9131 20.362 0.259
OBS: 59439.26 r_PS1 934.975 138.6442 20.073 0.161
OBS: 59444.26 r_PS1 985.3715 122.5207 20.016 0.135
OBS: 59447.205 p48r 1009.2529 223.0935 19.99 0.24
OBS: 59447.25 r_PS1 531.6184 72.9562 20.686 0.149
OBS: 59447.25 i_PS1 547.016 66.5043 20.655 0.132
OBS: 59452.207 p48r 835.603 157.7719 20.195 0.205
OBS: 59454.265 p48r 868.5604 166.3945 20.153 0.208
OBS: 59462.224 p48r 531.129 121.8078 20.687 0.249
OBS: 59466.152 p48r 433.7106 107.8548 20.907 0.27
END:
