# 2021pfs 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.22 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021pfs
RA: 210.848253
DEC: -6.031638
MWEBV: 0.024
REDSHIFT_HELIO: 0.0087
REDSHIFT_CMB: 0.009374048169490168
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59391.28
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 128
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59374.218 p48g 1682.6741 116.235 19.435 0.075
OBS: 59376.213 p48g 9196.022 143.9874 17.591 0.017
OBS: 59378.19 p48g 27593.0686 177.8991 16.398 0.007
OBS: 59380.232 p48g 58884.3655 650.8141 15.575 0.012
OBS: 59381.27 i_PS1 69374.5214 511.1704 15.397 0.008
OBS: 59381.27 g_PS1 77268.0585 498.1656 15.28 0.007
OBS: 59381.27 z_PS1 62574.8763 518.7023 15.509 0.009
OBS: 59381.27 r_PS1 79799.4687 514.4862 15.245 0.007
OBS: 59382.206 p48r 99632.2642 642.3529 15.004 0.007
OBS: 59382.212 p48g 98265.2583 543.0339 15.019 0.006
OBS: 59382.27 g_PS1 98174.7943 452.1116 15.02 0.005
OBS: 59382.27 z_PS1 74954.895 345.18 15.313 0.005
OBS: 59382.27 r_PS1 100646.8066 370.7965 14.993 0.004
OBS: 59382.27 i_PS1 84100.7754 309.8387 15.188 0.004
OBS: 59384.204 p48r 141123.7148 779.8785 14.626 0.006
OBS: 59387.189 p48r 182137.7637 503.2652 14.349 0.003
OBS: 59387.293 p48g 193374.8545 712.4193 14.284 0.004
OBS: 59388.3 i_PS1 145747.1261 671.1903 14.591 0.005
OBS: 59388.3 z_PS1 126124.6575 580.8255 14.748 0.005
OBS: 59388.3 r_PS1 197696.964 546.2569 14.26 0.003
OBS: 59388.31 g_PS1 200447.2027 553.8561 14.245 0.003
OBS: 59389.31 r_PS1 198243.9763 365.1789 14.257 0.002
OBS: 59389.31 z_PS1 127291.6746 468.9599 14.738 0.004
OBS: 59389.31 i_PS1 137151.3226 378.9631 14.657 0.003
OBS: 59389.31 g_PS1 210668.6926 582.0991 14.191 0.003
OBS: 59390.3 r_PS1 203048.6003 374.0293 14.231 0.002
OBS: 59390.3 i_PS1 132922.9588 367.2797 14.691 0.003
OBS: 59390.3 g_PS1 216570.8495 598.4074 14.161 0.003
OBS: 59390.3 z_PS1 128943.662 475.046 14.724 0.004
OBS: 59391.214 p48g 220800.4733 406.7295 14.14 0.002
OBS: 59391.273 p48r 193731.3925 535.2996 14.282 0.003
OBS: 59391.28 z_PS1 125660.852 462.9517 14.752 0.004
OBS: 59391.28 g_PS1 221411.4112 611.7823 14.137 0.003
OBS: 59391.28 i_PS1 127997.0617 353.669 14.732 0.003
OBS: 59391.28 r_PS1 210087.3969 386.9953 14.194 0.002
OBS: 59392.33 i_PS1 121786.7385 336.5092 14.786 0.003
OBS: 59392.33 g_PS1 217170.0843 600.0631 14.158 0.003
OBS: 59392.33 r_PS1 210862.815 582.6355 14.19 0.003
OBS: 59393.211 p48r 205494.4041 567.802 14.218 0.003
OBS: 59393.28 i_PS1 120226.4435 332.1979 14.8 0.003
OBS: 59393.28 z_PS1 121004.0761 445.7955 14.793 0.004
OBS: 59393.28 g_PS1 214387.7666 592.3753 14.172 0.003
OBS: 59393.28 r_PS1 207969.6687 383.0943 14.205 0.002
OBS: 59393.293 p48g 211057.1163 583.1724 14.189 0.003
OBS: 59394.29 z_PS1 119674.0531 440.8955 14.805 0.004
OBS: 59394.29 g_PS1 211641.0951 584.786 14.186 0.003
OBS: 59394.29 i_PS1 117381.5932 324.3373 14.826 0.003
OBS: 59394.29 r_PS1 180135.7865 497.7336 14.361 0.003
OBS: 59395.233 p48g 213010.0037 588.5684 14.179 0.003
OBS: 59397.232 p48g 205683.7587 568.3252 14.217 0.003
OBS: 59397.31 z_PS1 106757.8945 393.3106 14.929 0.004
OBS: 59397.31 i_PS1 106169.5557 391.1431 14.935 0.004
OBS: 59397.31 r_PS1 187413.124 517.8416 14.318 0.003
OBS: 59397.31 g_PS1 191955.2524 530.392 14.292 0.003
OBS: 59400.191 p48r 154596.6219 427.1663 14.527 0.003
OBS: 59400.253 p48g 161435.8557 446.0638 14.48 0.003
OBS: 59401.29 g_PS1 153744.6457 424.8122 14.533 0.003
OBS: 59401.29 z_PS1 92896.6387 342.2439 15.08 0.004
OBS: 59401.29 i_PS1 78270.841 288.3604 15.266 0.004
OBS: 59401.29 r_PS1 149554.6773 413.2348 14.563 0.003
OBS: 59402.231 p48r 133536.5033 368.975 14.686 0.003
OBS: 59404.229 p48r 116519.8723 429.2751 14.834 0.004
OBS: 59404.29 i_PS1 68548.8226 252.5432 15.41 0.004
OBS: 59404.29 g_PS1 124738.3514 459.5531 14.76 0.004
OBS: 59404.29 r_PS1 124853.2926 344.9824 14.759 0.003
OBS: 59404.29 z_PS1 90949.4339 418.8376 15.103 0.005
OBS: 59406.236 p48r 105002.5872 483.5548 14.947 0.005
OBS: 59408.187 p48g 94885.5327 436.964 15.057 0.005
OBS: 59408.27 g_PS1 88715.6012 326.8404 15.13 0.004
OBS: 59408.27 r_PS1 113657.9975 418.7315 14.861 0.004
OBS: 59408.27 i_PS1 73858.4178 272.1045 15.329 0.004
OBS: 59408.27 z_PS1 94972.9657 437.3667 15.056 0.005
OBS: 59410.225 p48r 102329.2992 471.2438 14.975 0.005
OBS: 59415.184 p48r 95323.5044 438.981 15.052 0.005
OBS: 59416.28 r_PS1 95235.7486 350.8615 15.053 0.004
OBS: 59416.28 i_PS1 80612.0564 371.2322 15.234 0.005
OBS: 59416.28 z_PS1 92555.0245 340.9853 15.084 0.004
OBS: 59416.28 g_PS1 43772.3638 362.8425 15.897 0.009
OBS: 59417.192 p48g 38868.6986 1002.383 16.026 0.028
OBS: 59419.19 p48g 32870.0224 393.5673 16.208 0.013
OBS: 59419.232 p48r 77624.7117 643.455 15.275 0.009
OBS: 59419.28 r_PS1 81283.0516 374.3223 15.225 0.005
OBS: 59419.28 g_PS1 35546.7582 327.3977 16.123 0.01
OBS: 59419.28 z_PS1 87983.2499 405.1778 15.139 0.005
OBS: 59419.28 i_PS1 78632.1227 362.1143 15.261 0.005
OBS: 59423.193 p48g 26157.7268 240.9216 16.456 0.01
OBS: 59423.27 z_PS1 73926.4753 408.5328 15.328 0.006
OBS: 59423.27 g_PS1 27466.2899 252.9739 16.403 0.01
OBS: 59423.27 i_PS1 63212.0682 291.1023 15.498 0.005
OBS: 59423.27 r_PS1 62115.5021 228.842 15.517 0.004
OBS: 59426.27 r_PS1 52674.4488 291.0898 15.696 0.006
OBS: 59426.27 g_PS1 23099.3628 191.4777 16.591 0.009
OBS: 59426.27 i_PS1 51286.1384 283.4177 15.725 0.006
OBS: 59426.27 z_PS1 59483.9774 438.2941 15.564 0.008
