# 2021pkz 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.22 (yyyy.mm.dd); 23.40 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021pkz
RA: 193.821738
DEC: 2.89731
MWEBV: 0.029
REDSHIFT_HELIO: 0.0093
REDSHIFT_CMB: 0.008903043886236972
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59392.188
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 48
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59374.223 p48g 398.1072 85.0675 21.0 0.232
OBS: 59374.31 i_PS1 1074.4841 81.1502 19.922 0.082
OBS: 59374.32 g_PS1 659.4775 74.7104 20.452 0.123
OBS: 59376.218 p48g 5582.1307 128.5333 18.133 0.025
OBS: 59376.254 p48r 7338.3767 141.9368 17.836 0.021
OBS: 59377.29 r_PS1 11178.9239 113.2579 17.379 0.011
OBS: 59377.29 g_PS1 10092.5289 102.2512 17.49 0.011
OBS: 59378.193 p48g 15275.6606 140.694 17.04 0.01
OBS: 59378.25 p48r 17171.1744 158.1524 16.913 0.01
OBS: 59379.33 g_PS1 19733.3128 163.5755 16.762 0.009
OBS: 59379.34 i_PS1 19806.1471 164.1792 16.758 0.009
OBS: 59380.25 p48g 26940.1494 744.3838 16.424 0.03
OBS: 59382.217 p48g 37635.7002 415.9651 16.061 0.012
OBS: 59386.187 p48r 71055.8763 392.6693 15.371 0.006
OBS: 59386.292 p48g 54450.2653 551.656 15.66 0.011
OBS: 59387.28 i_PS1 55309.5341 305.6518 15.643 0.006
OBS: 59387.28 r_PS1 70016.4359 386.9251 15.387 0.006
OBS: 59388.29 r_PS1 72044.362 265.4212 15.356 0.004
OBS: 59388.29 z_PS1 54752.0015 302.5707 15.654 0.006
OBS: 59389.28 i_PS1 59429.2159 273.6817 15.565 0.005
OBS: 59389.29 r_PS1 71581.369 329.6444 15.363 0.005
OBS: 59390.213 p48g 58398.2725 322.7208 15.584 0.006
OBS: 59391.28 r_PS1 76278.1234 210.7642 15.294 0.003
OBS: 59391.28 z_PS1 54802.4532 302.8495 15.653 0.006
OBS: 59392.188 p48r 81583.0617 300.5631 15.221 0.004
OBS: 59392.257 p48g 51475.432 379.285 15.721 0.008
OBS: 59393.28 i_PS1 55513.6777 255.6499 15.639 0.005
OBS: 59393.28 r_PS1 68548.8226 252.5432 15.41 0.004
OBS: 59394.196 p48g 45415.0713 250.973 15.857 0.006
OBS: 59394.29 z_PS1 53802.1957 297.3219 15.673 0.006
OBS: 59394.29 r_PS1 65463.6174 241.1769 15.46 0.004
OBS: 59396.187 p48r 68233.8694 251.3829 15.415 0.004
OBS: 59396.25 p48g 32003.6859 235.8119 16.237 0.008
OBS: 59396.3 g_PS1 34673.685 191.6139 16.15 0.006
OBS: 59396.31 z_PS1 53505.6938 246.4028 15.679 0.005
OBS: 59399.3 r_PS1 55004.7253 253.3061 15.649 0.005
OBS: 59400.29 i_PS1 45877.5271 169.0191 15.846 0.004
OBS: 59400.29 g_PS1 19971.0087 165.5458 16.749 0.009
OBS: 59401.28 g_PS1 17442.1493 160.6481 16.896 0.01
OBS: 59401.29 r_PS1 47162.8455 173.7543 15.816 0.004
OBS: 59402.29 g_PS1 15631.4764 143.9712 17.015 0.01
OBS: 59402.29 i_PS1 45919.8013 253.7622 15.845 0.006
OBS: 59403.28 r_PS1 43571.2481 200.653 15.902 0.005
OBS: 59403.28 g_PS1 14295.5214 131.6666 17.112 0.01
OBS: 59404.28 g_PS1 13146.1929 133.189 17.203 0.011
OBS: 59404.28 i_PS1 40327.3793 185.7144 15.986 0.005
OBS: 59405.29 g_PS1 12799.7062 212.2014 17.232 0.018
OBS: 59405.3 r_PS1 38976.2453 251.2891 16.023 0.007
END:
