# 2021qxq 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 00.49 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021qxq
RA: 239.582625
DEC: 27.376089
MWEBV: 0.037
REDSHIFT_HELIO: 0.0886
REDSHIFT_CMB: 0.09227503478804278
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59403.226
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 59
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59384.27 g_PS1 533.0893 95.2527 20.683 0.194
OBS: 59385.27 r_PS1 347.0564 75.7572 21.149 0.237
OBS: 59386.321 p48g 702.1017 170.7181 20.384 0.264
OBS: 59388.3 z_PS1 493.401 104.9754 20.767 0.231
OBS: 59388.3 r_PS1 869.3607 111.2988 20.152 0.139
OBS: 59390.269 p48g 1375.3081 215.3399 19.654 0.17
OBS: 59390.295 p48r 1382.9294 150.2996 19.648 0.118
OBS: 59391.41 r_PS1 1300.1696 69.455 19.715 0.058
OBS: 59391.42 i_PS1 1267.0682 88.693 19.743 0.076
OBS: 59392.232 p48g 1917.7854 97.149 19.293 0.055
OBS: 59392.339 p48r 1993.4255 161.5691 19.251 0.088
OBS: 59394.228 p48g 2246.9841 91.0601 19.121 0.044
OBS: 59394.29 p48r 2187.7616 130.9752 19.15 0.065
OBS: 59396.289 p48g 2324.8771 89.9342 19.084 0.042
OBS: 59396.324 p48r 2056.8376 104.193 19.217 0.055
OBS: 59399.213 p48r 2637.5457 92.3122 18.947 0.038
OBS: 59399.281 p48g 2689.057 84.2082 18.926 0.034
OBS: 59401.253 p48g 2470.5861 91.0198 19.018 0.04
OBS: 59401.316 p48r 2852.3315 91.9483 18.862 0.035
OBS: 59403.226 p48r 2878.7238 103.4047 18.852 0.039
OBS: 59403.288 p48g 2407.6868 88.7025 19.046 0.04
OBS: 59405.311 p48g 2169.7016 105.9136 19.159 0.053
OBS: 59407.208 p48r 2661.9507 107.8769 18.937 0.044
OBS: 59407.262 p48g 2297.2063 90.9796 19.097 0.043
OBS: 59408.39 g_PS1 1923.0917 61.9932 19.29 0.035
OBS: 59408.39 r_PS1 2290.8677 63.299 19.1 0.03
OBS: 59409.205 p48r 2355.0493 104.1159 19.07 0.048
OBS: 59411.193 p48g 1576.1589 132.1043 19.506 0.091
OBS: 59411.215 p48r 2149.8096 128.7031 19.169 0.065
OBS: 59414.234 p48g 1277.615 168.2719 19.734 0.143
OBS: 59414.34 r_PS1 1804.6791 101.3924 19.359 0.061
OBS: 59414.34 i_PS1 1228.0046 106.3172 19.777 0.094
OBS: 59416.31 r_PS1 1142.8783 190.526 19.855 0.181
OBS: 59422.33 i_PS1 1156.6448 227.9762 19.842 0.214
OBS: 59423.216 p48g 626.3254 74.9927 20.508 0.13
OBS: 59425.198 p48r 1381.6562 85.261 19.649 0.067
OBS: 59425.224 p48g 618.3011 78.0183 20.522 0.137
OBS: 59427.195 p48r 1590.7429 92.3031 19.496 0.063
OBS: 59427.235 p48g 489.3279 90.5882 20.776 0.201
OBS: 59429.28 g_PS1 436.9181 72.435 20.899 0.18
OBS: 59429.28 r_PS1 973.6436 64.5666 20.029 0.072
OBS: 59431.32 g_PS1 361.4099 68.2385 21.105 0.205
OBS: 59431.33 i_PS1 874.9838 74.1419 20.145 0.092
OBS: 59434.217 p48g 463.4469 80.2479 20.835 0.188
OBS: 59435.27 r_PS1 956.7534 51.9909 20.048 0.059
OBS: 59435.27 g_PS1 370.5101 43.6803 21.078 0.128
OBS: 59436.192 p48r 1028.0163 111.7269 19.97 0.118
OBS: 59437.26 i_PS1 826.4184 83.7275 20.207 0.11
OBS: 59439.26 r_PS1 580.7644 107.5157 20.59 0.201
OBS: 59442.25 z_PS1 487.5285 102.8279 20.78 0.229
OBS: 59444.26 r_PS1 696.9474 89.2258 20.392 0.139
OBS: 59444.26 z_PS1 707.294 151.1345 20.376 0.232
OBS: 59447.25 i_PS1 393.7314 84.8578 21.012 0.234
OBS: 59450.177 p48r 735.8681 168.7621 20.333 0.249
OBS: 59450.3 i_PS1 589.3863 89.0265 20.574 0.164
OBS: 59450.3 r_PS1 487.9777 99.7766 20.779 0.222
OBS: 59454.183 p48g 376.357 93.9388 21.061 0.271
OBS: 59454.265 p48r 737.2249 173.1474 20.331 0.255
OBS: 59464.166 p48g 340.7219 82.8475 21.169 0.264
END:
