# 2021qxu 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 17.25 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021qxu
RA: 7.872368
DEC: 17.383359
MWEBV: 0.057
REDSHIFT_HELIO: 0.038
REDSHIFT_CMB: 0.037185863296743005
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59403.07270637198
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 39
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59393.6 r_PS1 5105.05 84.6346 18.23 0.018
OBS: 59393.6 i_PS1 5142.8043 104.2074 18.222 0.022
OBS: 59400.57 g_PS1 8128.3052 104.8102 17.725 0.014
OBS: 59400.57 r_PS1 9384.2593 95.0754 17.569 0.011
OBS: 59401.55 i_PS1 7550.9223 132.1385 17.805 0.019
OBS: 59401.56 g_PS1 7914.0721 131.2043 17.754 0.018
OBS: 59406.58 g_PS1 7502.3963 138.1992 17.812 0.02
OBS: 59410.56 r_PS1 8448.8967 108.9441 17.683 0.014
OBS: 59410.57 g_PS1 6188.7081 119.7002 18.021 0.021
OBS: 59412.51 g_PS1 5311.2898 102.7295 18.187 0.021
OBS: 59412.52 i_PS1 4924.9293 95.2566 18.269 0.021
OBS: 59417.52 z_PS1 4630.2027 204.6996 18.336 0.048
OBS: 59417.52 r_PS1 6480.3729 131.3102 17.971 0.022
OBS: 59420.56 i_PS1 4450.4098 127.0683 18.379 0.031
OBS: 59420.56 r_PS1 6053.4087 144.9603 18.045 0.026
OBS: 59431.47 i_PS1 4077.5566 108.9115 18.474 0.029
OBS: 59431.48 g_PS1 1084.4262 65.9204 19.912 0.066
OBS: 59435.46 r_PS1 2924.1524 67.3311 18.835 0.025
OBS: 59435.46 g_PS1 816.5824 65.4327 20.22 0.087
OBS: 59438.61 i_PS1 2718.9424 72.6229 18.914 0.029
OBS: 59438.62 g_PS1 762.7812 52.6911 20.294 0.075
OBS: 59441.59 g_PS1 829.4687 53.4778 20.203 0.07
OBS: 59441.6 i_PS1 2220.2404 85.8865 19.134 0.042
OBS: 59446.59 r_PS1 1747.4309 72.4249 19.394 0.045
OBS: 59446.59 i_PS1 1942.6743 76.9386 19.279 0.043
OBS: 59448.59 r_PS1 1684.2246 133.4056 19.434 0.086
OBS: 59448.6 z_PS1 1661.1161 125.4554 19.449 0.082
OBS: 59455.6 z_PS1 1171.6557 160.7911 19.828 0.149
OBS: 59464.4 i_PS1 1092.4461 104.6427 19.904 0.104
OBS: 59470.39 i_PS1 724.436 79.4004 20.35 0.119
OBS: 59470.39 g_PS1 364.0827 65.0545 21.097 0.194
OBS: 59475.51 r_PS1 1213.3889 276.0404 19.79 0.247
OBS: 59482.49 z_PS1 463.0203 105.335 20.836 0.247
OBS: 59482.49 r_PS1 664.9669 84.5191 20.443 0.138
OBS: 59485.52 g_PS1 472.9334 96.7005 20.813 0.222
OBS: 59514.41 i_PS1 319.4479 61.4925 21.239 0.209
OBS: 59517.28 g_PS1 300.8846 60.9675 21.304 0.22
OBS: 59519.27 r_PS1 245.9235 53.0019 21.523 0.234
OBS: 59525.38 g_PS1 371.5352 64.333 21.075 0.188
END:
