# 2021rdf 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 17.25 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021rdf
RA: 2.481958
DEC: 19.976039
MWEBV: 0.028
REDSHIFT_HELIO: 0.109
REDSHIFT_CMB: 0.10700081110779491
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59403.99501016575
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 33
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59387.58 i_PS1 271.3938 64.9904 21.416 0.26
OBS: 59387.59 r_PS1 333.2729 53.7172 21.193 0.175
OBS: 59393.6 i_PS1 1119.9535 77.3636 19.877 0.075
OBS: 59393.6 r_PS1 1179.234 60.8224 19.821 0.056
OBS: 59400.57 r_PS1 2139.9321 47.3028 19.174 0.024
OBS: 59400.57 g_PS1 2205.972 60.9533 19.141 0.03
OBS: 59401.55 i_PS1 1580.52 78.6085 19.503 0.054
OBS: 59401.56 g_PS1 2468.3117 70.4754 19.019 0.031
OBS: 59406.57 g_PS1 2312.0648 95.8271 19.09 0.045
OBS: 59406.58 r_PS1 2407.6868 75.3971 19.046 0.034
OBS: 59410.56 r_PS1 2093.1483 77.1144 19.198 0.04
OBS: 59410.57 g_PS1 1728.2239 93.9134 19.406 0.059
OBS: 59412.51 g_PS1 1676.4863 69.4845 19.439 0.045
OBS: 59412.52 i_PS1 1355.1894 73.6424 19.67 0.059
OBS: 59414.56 r_PS1 1845.0154 67.9729 19.335 0.04
OBS: 59417.52 r_PS1 1523.3511 141.7089 19.543 0.101
OBS: 59420.56 r_PS1 1531.7927 122.7425 19.537 0.087
OBS: 59420.56 i_PS1 1011.1137 108.0273 19.988 0.116
OBS: 59428.52 z_PS1 549.5409 85.0325 20.65 0.168
OBS: 59428.53 g_PS1 537.5266 67.3309 20.674 0.136
OBS: 59431.47 i_PS1 914.5343 75.8085 20.097 0.09
OBS: 59431.48 g_PS1 333.58 55.9174 21.192 0.182
OBS: 59435.46 r_PS1 796.5261 44.7513 20.247 0.061
OBS: 59435.46 g_PS1 425.4025 47.409 20.928 0.121
OBS: 59438.61 i_PS1 616.0274 46.5253 20.526 0.082
OBS: 59438.62 g_PS1 330.8263 46.9241 21.201 0.154
OBS: 59441.59 g_PS1 226.9865 54.9834 21.61 0.263
OBS: 59441.6 i_PS1 640.9144 76.1492 20.483 0.129
OBS: 59446.59 i_PS1 513.334 60.9909 20.724 0.129
OBS: 59446.59 r_PS1 439.7441 65.2081 20.892 0.161
OBS: 59458.58 i_PS1 521.4348 104.6965 20.707 0.218
OBS: 59482.49 r_PS1 229.5091 50.7326 21.598 0.24
OBS: 59491.49 r_PS1 200.8168 44.9451 21.743 0.243
END:
