# 2021ryz 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 16.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021ryz
RA: 228.004898
DEC: -3.222283
MWEBV: 0.126
REDSHIFT_HELIO: 0.0216
REDSHIFT_CMB: 0.021168512884872426
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59415.193
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 81
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59052.41 i_PS1 646.8447 124.5151 20.473 0.209
OBS: 59394.191 p48g 401.7908 96.9565 20.99 0.262
OBS: 59396.231 p48g 521.9153 89.8912 20.706 0.187
OBS: 59397.3 g_PS1 1757.1142 97.1017 19.388 0.06
OBS: 59397.31 z_PS1 1728.2239 111.4227 19.406 0.07
OBS: 59399.189 p48r 3944.573 123.5249 18.51 0.034
OBS: 59399.231 p48g 2686.5814 121.2472 18.927 0.049
OBS: 59401.231 p48g 5470.1596 130.9933 18.155 0.026
OBS: 59401.275 p48r 6918.3097 152.928 17.9 0.024
OBS: 59402.3 g_PS1 7447.3197 116.607 17.82 0.017
OBS: 59402.31 r_PS1 9532.3504 105.3554 17.552 0.012
OBS: 59403.189 p48r 12078.1384 155.7413 17.295 0.014
OBS: 59403.231 p48g 10984.9985 384.4672 17.398 0.038
OBS: 59403.3 i_PS1 10480.9343 144.7995 17.449 0.015
OBS: 59403.3 g_PS1 10242.3591 132.0699 17.474 0.014
OBS: 59404.3 g_PS1 12740.8969 140.8176 17.237 0.012
OBS: 59404.3 r_PS1 14295.5214 157.9999 17.112 0.012
OBS: 59405.197 p48r 17635.9963 162.4335 16.884 0.01
OBS: 59405.227 p48g 15516.7227 171.4972 17.023 0.012
OBS: 59405.31 i_PS1 14941.6996 247.7126 17.064 0.018
OBS: 59405.31 g_PS1 15079.9534 194.4481 17.054 0.014
OBS: 59407.249 p48g 20816.1304 210.896 16.704 0.011
OBS: 59408.28 g_PS1 22039.4118 162.3924 16.642 0.008
OBS: 59408.28 r_PS1 24389.3373 202.1707 16.532 0.009
OBS: 59409.186 p48r 28366.1242 209.0093 16.368 0.008
OBS: 59409.228 p48g 24592.3482 203.8535 16.523 0.009
OBS: 59410.27 g_PS1 25234.8077 209.1791 16.495 0.009
OBS: 59410.27 i_PS1 23270.1938 192.8938 16.583 0.009
OBS: 59411.191 p48g 28106.062 258.8664 16.378 0.01
OBS: 59411.212 p48r 30422.8573 280.2049 16.292 0.01
OBS: 59415.193 p48r 35842.6408 297.1106 16.114 0.009
OBS: 59417.207 p48g 31017.015 857.0318 16.271 0.03
OBS: 59417.28 r_PS1 33853.2213 405.3396 16.176 0.013
OBS: 59419.227 p48g 29648.3139 464.2208 16.32 0.017
OBS: 59419.278 p48r 27365.2865 3074.932 16.407 0.122
OBS: 59423.209 p48g 24121.2606 199.9485 16.544 0.009
OBS: 59423.271 p48r 24524.4909 767.9883 16.526 0.034
OBS: 59423.28 z_PS1 19230.9173 336.5343 16.79 0.019
OBS: 59423.29 r_PS1 29539.2864 217.6535 16.324 0.008
OBS: 59424.27 r_PS1 27039.5836 224.1394 16.42 0.009
OBS: 59424.27 i_PS1 16368.1652 195.9833 16.965 0.013
OBS: 59425.18 p48r 27874.0452 205.3836 16.387 0.008
OBS: 59425.248 p48g 22141.1411 224.3202 16.637 0.011
OBS: 59426.28 g_PS1 21105.7116 155.5126 16.689 0.008
OBS: 59426.28 i_PS1 14427.7962 159.4619 17.102 0.012
OBS: 59427.209 p48r 22222.8625 225.1481 16.633 0.011
OBS: 59428.27 g_PS1 18314.708 202.4216 16.843 0.012
OBS: 59428.27 i_PS1 13134.0904 169.3572 17.204 0.014
OBS: 59430.208 p48g 15388.6315 155.908 17.032 0.011
OBS: 59430.228 p48r 18862.5325 208.4764 16.811 0.012
OBS: 59430.27 r_PS1 20568.3759 151.5534 16.717 0.008
OBS: 59430.27 g_PS1 15079.9534 194.4481 17.054 0.014
