# 2021sun 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 22.55 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021sun
RA: 22.97566
DEC: -13.421816
MWEBV: 0.016
REDSHIFT_HELIO: 0.036
REDSHIFT_CMB: 0.03461808025497293
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59412.419
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 40
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59428.58 g_PS1 4088.8389 124.2767 18.471 0.033
OBS: 59428.58 z_PS1 3171.0274 160.6343 18.747 0.055
OBS: 59430.61 g_PS1 3323.533 85.7104 18.696 0.028
OBS: 59430.61 i_PS1 3531.8317 120.3587 18.63 0.037
OBS: 59433.59 r_PS1 6075.7515 145.4953 18.041 0.026
OBS: 59433.59 g_PS1 2603.7543 117.5092 18.961 0.049
OBS: 59434.59 g_PS1 2108.6281 87.3953 19.19 0.045
OBS: 59434.59 i_PS1 3988.4119 117.5508 18.498 0.032
OBS: 59436.59 g_PS1 1776.6423 75.272 19.376 0.046
OBS: 59436.59 r_PS1 5291.7583 102.3517 18.191 0.021
OBS: 59438.62 i_PS1 4017.9081 118.4202 18.49 0.032
OBS: 59438.62 g_PS1 1568.9171 88.1466 19.511 0.061
OBS: 59440.56 g_PS1 1469.6029 92.0417 19.582 0.068
OBS: 59440.56 r_PS1 4025.3162 114.931 18.488 0.031
OBS: 59445.56 r_PS1 2701.4691 106.9902 18.921 0.043
OBS: 59445.56 z_PS1 2337.7604 150.721 19.078 0.07
OBS: 59447.56 i_PS1 2992.2646 157.0907 18.81 0.057
OBS: 59447.56 r_PS1 3299.1343 106.3515 18.704 0.035
OBS: 59455.6 g_PS1 487.5285 114.0537 20.78 0.254
OBS: 59455.61 i_PS1 1615.8461 117.5717 19.479 0.079
OBS: 59464.57 g_PS1 769.1304 100.5921 20.285 0.142
OBS: 59464.57 r_PS1 1747.4309 146.4593 19.394 0.091
OBS: 59466.55 i_PS1 904.4821 95.8018 20.109 0.115
OBS: 59466.55 g_PS1 662.5215 78.7164 20.447 0.129
OBS: 59468.57 g_PS1 509.0964 92.3723 20.733 0.197
OBS: 59468.58 r_PS1 1503.8343 113.5768 19.557 0.082
OBS: 59470.4 g_PS1 487.0797 92.8637 20.781 0.207
OBS: 59470.4 z_PS1 804.637 157.1128 20.236 0.212
OBS: 59482.48 r_PS1 1174.8976 120.1154 19.825 0.111
OBS: 59484.47 r_PS1 1206.7019 103.3615 19.796 0.093
OBS: 59484.47 i_PS1 645.6542 118.3392 20.475 0.199
OBS: 59487.49 i_PS1 1228.0046 93.8758 19.777 0.083
OBS: 59487.5 g_PS1 504.4289 88.7379 20.743 0.191
OBS: 59493.48 r_PS1 766.3021 95.2817 20.289 0.135
OBS: 59493.48 g_PS1 399.2087 83.8321 20.997 0.228
OBS: 59500.45 i_PS1 586.1382 145.7604 20.58 0.27
OBS: 59515.37 g_PS1 416.8694 90.9964 20.95 0.237
OBS: 59518.42 g_PS1 559.2423 77.2622 20.631 0.15
OBS: 59518.43 i_PS1 467.3045 107.1704 20.826 0.249
OBS: 59524.38 r_PS1 768.4224 94.8376 20.286 0.134
END:
