# 2021tup 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.30 (yyyy.mm.dd); 18.40 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021tup
RA: 334.273693
DEC: 4.845726
MWEBV: 0.089
REDSHIFT_HELIO: 0.12
REDSHIFT_CMB: 0.11865814860963564
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59424.379
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 47
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59406.454 p48r 579.1619 104.5519 20.593 0.196
OBS: 59406.57 g_PS1 720.4436 126.7386 20.356 0.191
OBS: 59408.382 p48g 923.8469 95.3002 20.086 0.112
OBS: 59408.442 p48r 1030.8607 103.4909 19.967 0.109
OBS: 59409.44 r_PS1 885.5233 78.2973 20.132 0.096
OBS: 59409.44 g_PS1 1052.9312 86.3109 19.944 0.089
OBS: 59410.421 p48r 1255.4517 92.5051 19.753 0.08
OBS: 59410.441 p48g 1149.2116 101.6124 19.849 0.096
OBS: 59412.436 p48r 1289.4366 93.8216 19.724 0.079
OBS: 59413.45 i_PS1 1034.6656 80.0488 19.963 0.084
OBS: 59413.45 g_PS1 1393.1568 83.4044 19.64 0.065
OBS: 59415.401 p48r 1598.0855 85.3697 19.491 0.058
OBS: 59415.456 p48g 1589.2785 81.9717 19.497 0.056
OBS: 59415.51 z_PS1 842.5584 114.8517 20.186 0.148
OBS: 59424.379 p48r 1638.3248 135.8058 19.464 0.09
OBS: 59424.422 p48g 1239.3672 140.4044 19.767 0.123
OBS: 59425.42 g_PS1 1365.2117 113.1666 19.662 0.09
OBS: 59425.42 z_PS1 635.6236 136.9908 20.492 0.234
OBS: 59426.36 p48g 1394.4405 118.1581 19.639 0.092
OBS: 59426.403 p48r 1635.3097 103.9261 19.466 0.069
OBS: 59427.39 i_PS1 936.6989 75.9204 20.071 0.088
OBS: 59427.39 g_PS1 1253.1412 83.1014 19.755 0.072
OBS: 59428.364 p48r 1456.1295 96.5624 19.592 0.072
OBS: 59430.375 p48r 1155.58 75.5673 19.843 0.071
OBS: 59430.48 i_PS1 826.4184 57.087 20.207 0.075
OBS: 59430.48 g_PS1 1038.4845 56.4323 19.959 0.059
OBS: 59433.38 g_PS1 867.7607 57.5451 20.154 0.072
OBS: 59433.39 r_PS1 956.7534 51.1097 20.048 0.058
OBS: 59434.52 i_PS1 470.7605 54.1983 20.818 0.125
OBS: 59434.52 g_PS1 698.8758 57.932 20.389 0.09
OBS: 59435.402 p48g 632.1207 76.851 20.498 0.132
OBS: 59438.337 p48r 881.4547 212.7046 20.137 0.262
OBS: 59438.377 p48g 492.0395 89.2775 20.77 0.197
OBS: 59440.402 p48g 447.0952 92.2409 20.874 0.224
OBS: 59441.43 g_PS1 442.1809 52.1298 20.886 0.128
OBS: 59443.295 p48r 728.4504 142.9076 20.344 0.213
OBS: 59443.43 i_PS1 626.9025 93.5386 20.507 0.162
OBS: 59445.39 r_PS1 610.942 69.7746 20.535 0.124
OBS: 59452.58 r_PS1 663.132 134.9795 20.446 0.221
OBS: 59452.58 i_PS1 564.937 128.5206 20.62 0.247
OBS: 59453.311 p48r 591.017 108.325 20.571 0.199
OBS: 59455.281 p48r 426.9726 96.741 20.924 0.246
OBS: 59457.41 i_PS1 438.127 52.8624 20.896 0.131
OBS: 59459.259 p48r 428.9434 92.4467 20.919 0.234
OBS: 59463.276 p48r 450.8167 87.6109 20.865 0.211
OBS: 59464.39 i_PS1 296.4831 65.5371 21.32 0.24
OBS: 59467.34 r_PS1 356.7796 38.4469 21.119 0.117
END:
