# 2021uhl 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.02 (yyyy.mm.dd); 19.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021uhl
RA: 334.587883
DEC: 6.122483
MWEBV: 0.086
REDSHIFT_HELIO: 0.0752
REDSHIFT_CMB: 0.0741484463586275
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59428.64010666173
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 27
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59415.51 r_PS1 462.1681 68.5333 20.838 0.161
OBS: 59427.39 g_PS1 3274.9148 120.6523 18.712 0.04
OBS: 59427.39 i_PS1 2523.4808 120.859 18.995 0.052
OBS: 59433.39 r_PS1 2831.392 114.7436 18.87 0.044
OBS: 59434.52 g_PS1 2466.0393 74.9531 19.02 0.033
OBS: 59434.52 i_PS1 1808.0066 66.6094 19.357 0.04
OBS: 59437.4 g_PS1 2093.1483 115.6716 19.198 0.06
OBS: 59437.4 r_PS1 2805.4336 100.7721 18.88 0.039
OBS: 59441.43 g_PS1 1548.8166 78.4582 19.525 0.055
OBS: 59441.44 z_PS1 739.2648 105.5376 20.328 0.155
OBS: 59443.43 i_PS1 1008.3238 106.8006 19.991 0.115
OBS: 59443.43 g_PS1 1362.6992 117.9787 19.664 0.094
OBS: 59445.39 r_PS1 1688.8847 107.3309 19.431 0.069
OBS: 59445.39 z_PS1 757.8792 97.0265 20.301 0.139
OBS: 59452.58 i_PS1 1291.814 158.244 19.722 0.133
OBS: 59452.58 r_PS1 1475.0271 168.4602 19.578 0.124
OBS: 59454.56 z_PS1 1148.1536 205.1528 19.85 0.194
OBS: 59454.57 r_PS1 1275.2637 77.521 19.736 0.066
OBS: 59457.41 i_PS1 1178.1484 59.6813 19.822 0.055
OBS: 59457.42 g_PS1 361.0771 58.1988 21.106 0.175
OBS: 59464.39 i_PS1 921.2977 67.0352 20.089 0.079
OBS: 59467.34 g_PS1 287.8724 67.8759 21.352 0.256
OBS: 59467.34 r_PS1 545.5066 60.2916 20.658 0.12
OBS: 59469.28 i_PS1 556.1603 91.1792 20.637 0.178
OBS: 59479.47 i_PS1 703.3962 137.9924 20.382 0.213
OBS: 59480.47 r_PS1 537.0318 85.0754 20.675 0.172
OBS: 59527.21 g_PS1 428.5485 94.7299 20.92 0.24
END:
