# 2021vaw 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 15.24 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021vaw
RA: 5.808477
DEC: 16.176153
MWEBV: 0.049
REDSHIFT_HELIO: 0.11
REDSHIFT_CMB: 0.1073206295020035
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59442.97898172984
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 54
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59428.453 p48g 628.0584 80.9848 20.505 0.14
OBS: 59428.467 p48r 739.2648 86.4728 20.328 0.127
OBS: 59428.53 g_PS1 756.4844 59.9203 20.303 0.086
OBS: 59431.48 g_PS1 1389.3127 61.421 19.643 0.048
OBS: 59434.369 p48r 2045.5024 86.663 19.223 0.046
OBS: 59434.437 p48g 2120.3131 72.2566 19.184 0.037
OBS: 59435.46 g_PS1 2282.4433 79.8839 19.104 0.038
OBS: 59436.383 p48r 2134.0274 82.5515 19.177 0.042
OBS: 59436.426 p48g 2637.5457 80.1659 18.947 0.033
OBS: 59438.61 i_PS1 1933.7485 67.6798 19.284 0.038
OBS: 59438.62 g_PS1 2686.5814 76.7074 18.927 0.031
OBS: 59439.392 p48r 2606.1535 100.815 18.96 0.042
OBS: 59439.422 p48g 2826.1812 93.7083 18.872 0.036
OBS: 59441.59 g_PS1 2708.9438 89.8211 18.918 0.036
OBS: 59441.6 i_PS1 1937.3139 91.0009 19.282 0.051
OBS: 59442.329 p48g 2764.3944 99.298 18.896 0.039
OBS: 59442.424 p48r 2910.7171 93.8304 18.84 0.035
OBS: 59443.62 g_PS1 2642.4088 77.8799 18.945 0.032
OBS: 59446.379 p48r 2676.7019 177.504 18.931 0.072
OBS: 59446.458 p48g 2491.1507 87.1885 19.009 0.038
OBS: 59448.59 r_PS1 2282.4433 113.5192 19.104 0.054
OBS: 59448.6 z_PS1 1043.2779 141.2515 19.954 0.147
OBS: 59449.258 p48g 2412.1261 351.0207 19.044 0.158
OBS: 59449.364 p48r 2852.3315 352.0307 18.862 0.134
OBS: 59453.34 p48r 2002.6267 132.8031 19.246 0.072
OBS: 59453.39 p48g 1671.8604 133.9661 19.442 0.087
OBS: 59455.6 z_PS1 729.1217 129.6084 20.343 0.193
OBS: 59455.6 g_PS1 1297.7768 129.092 19.717 0.108
OBS: 59459.341 p48g 974.5407 65.5237 20.028 0.073
OBS: 59459.362 p48r 1519.1477 75.5561 19.546 0.054
OBS: 59461.381 p48r 1470.9571 82.6429 19.581 0.061
OBS: 59461.413 p48g 742.677 69.0871 20.323 0.101
OBS: 59463.369 p48g 706.6429 58.5758 20.377 0.09
OBS: 59463.38 p48r 1363.9549 75.3749 19.663 0.06
OBS: 59464.39 g_PS1 633.2862 100.9071 20.496 0.173
OBS: 59464.4 i_PS1 1053.9014 93.1852 19.943 0.096
OBS: 59465.362 p48r 1168.4227 88.2449 19.831 0.082
OBS: 59465.403 p48g 611.505 75.4711 20.534 0.134
OBS: 59467.381 p48r 1164.126 75.054 19.835 0.07
OBS: 59467.425 p48g 459.6211 66.8856 20.844 0.158
OBS: 59470.39 g_PS1 339.1564 67.7853 21.174 0.217
OBS: 59470.39 i_PS1 863.7737 78.7609 20.159 0.099
OBS: 59470.396 p48g 376.7038 71.1262 21.06 0.205
OBS: 59472.393 p48r 906.9848 93.5608 20.106 0.112
OBS: 59472.42 p48g 396.6432 66.4886 21.004 0.182
OBS: 59474.295 p48r 761.3774 129.0308 20.296 0.184
OBS: 59477.277 p48r 792.8664 189.8668 20.252 0.26
OBS: 59482.49 r_PS1 610.3796 80.3918 20.536 0.143
OBS: 59488.32 p48r 587.76 79.0367 20.577 0.146
OBS: 59491.49 r_PS1 382.2962 59.8583 21.044 0.17
OBS: 59497.302 p48r 413.0475 82.1731 20.96 0.216
OBS: 59514.41 i_PS1 280.8019 66.2088 21.379 0.256
OBS: 59519.27 r_PS1 249.3446 40.4193 21.508 0.176
OBS: 59521.256 p48r 317.6874 69.639 21.245 0.238
END:
