# 2021vcz 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.22 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021vcz
RA: 1.824732
DEC: 0.838288
MWEBV: 0.031
REDSHIFT_HELIO: 0.108
REDSHIFT_CMB: 0.10459929389807021
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59440.48
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 69
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59428.424 p48r 755.0922 109.8836 20.305 0.158
OBS: 59428.442 p48g 869.3607 99.2881 20.152 0.124
OBS: 59430.388 p48r 1126.1597 112.021 19.871 0.108
OBS: 59430.429 p48g 1350.2059 85.8074 19.674 0.069
OBS: 59433.58 i_PS1 1557.3994 81.7618 19.519 0.057
OBS: 59434.045 g_PS1 2118.3611 83.8966 19.185 0.043
OBS: 59434.373 p48r 1995.2623 93.7229 19.25 0.051
OBS: 59434.421 p48g 2234.6011 84.3839 19.127 0.041
OBS: 59434.51 r_PS1 1957.0413 55.8776 19.271 0.031
OBS: 59435.361 p48r 2036.1042 123.7712 19.228 0.066
OBS: 59435.419 p48g 2193.815 99.0083 19.147 0.049
OBS: 59436.378 p48r 2365.9197 98.0592 19.065 0.045
OBS: 59436.421 p48g 2784.8384 87.2077 18.888 0.034
OBS: 59437.55 i_PS1 1889.7311 93.9874 19.309 0.054
OBS: 59437.55 g_PS1 2608.555 86.4924 18.959 0.036
OBS: 59438.41 p48g 2459.2348 110.9869 19.023 0.049
OBS: 59439.395 p48r 2666.8587 127.7259 18.935 0.052
OBS: 59439.42 p48g 2686.5814 108.875 18.927 0.044
OBS: 59440.48 g_PS1 2878.7238 74.2393 18.852 0.028
OBS: 59440.48 i_PS1 1976.9696 71.0134 19.26 0.039
OBS: 59442.331 p48g 2706.4499 99.7093 18.919 0.04
OBS: 59442.338 p48r 2787.4045 120.6628 18.887 0.047
OBS: 59442.55 g_PS1 2847.0822 81.29 18.864 0.031
OBS: 59442.55 z_PS1 1346.4803 89.2911 19.677 0.072
OBS: 59443.354 p48g 2828.7854 117.2433 18.871 0.045
OBS: 59444.426 p48g 2694.0149 104.2137 18.924 0.042
OBS: 59445.53 r_PS1 2684.1081 84.0533 18.928 0.034
OBS: 59445.53 z_PS1 1117.8924 121.4948 19.879 0.118
OBS: 59446.381 p48r 2098.9399 241.6494 19.195 0.125
OBS: 59448.302 p48r 2488.8573 366.7716 19.01 0.16
OBS: 59449.351 p48r 2301.4418 496.0113 19.095 0.234
OBS: 59453.337 p48r 1949.8446 149.0575 19.275 0.083
OBS: 59453.394 p48g 1576.1589 150.9764 19.506 0.104
OBS: 59454.339 p48r 1794.7336 143.8119 19.365 0.087
OBS: 59455.359 p48g 1658.0591 103.8448 19.451 0.068
OBS: 59458.34 p48r 1555.9656 104.6161 19.52 0.073
OBS: 59459.344 p48g 844.1119 92.5172 20.184 0.119
OBS: 59459.393 p48r 1499.6848 84.2569 19.56 0.061
OBS: 59460.353 p48r 1212.2718 120.5867 19.791 0.108
OBS: 59461.373 p48r 1334.1357 84.7861 19.687 0.069
OBS: 59461.414 p48g 812.8305 83.8482 20.225 0.112
OBS: 59462.385 p48r 1180.3206 103.276 19.82 0.095
OBS: 59463.352 p48r 1247.3835 102.2506 19.76 0.089
OBS: 59463.373 p48g 698.2324 81.0301 20.39 0.126
OBS: 59464.394 p48r 1291.814 109.462 19.722 0.092
OBS: 59464.54 r_PS1 1050.0259 74.4674 19.947 0.077
OBS: 59464.54 g_PS1 646.8447 59.5766 20.473 0.1
OBS: 59465.357 p48r 1172.7353 100.452 19.827 0.093
OBS: 59465.359 p48g 551.5692 85.3464 20.646 0.168
OBS: 59466.357 p48r 1155.58 105.3685 19.843 0.099
OBS: 59466.54 g_PS1 620.0119 53.1078 20.519 0.093
OBS: 59466.55 i_PS1 1021.4098 62.0897 19.977 0.066
OBS: 59467.379 p48r 1185.7687 91.7392 19.815 0.084
OBS: 59467.425 p48g 525.7751 91.5245 20.698 0.189
OBS: 59468.337 p48r 1017.6537 112.4752 19.981 0.12
OBS: 59468.45 g_PS1 456.6674 60.1467 20.851 0.143
OBS: 59468.45 r_PS1 1033.7131 49.5084 19.964 0.052
OBS: 59470.415 p48r 1069.5473 110.33 19.927 0.112
OBS: 59472.383 p48r 984.4644 112.4339 20.017 0.124
OBS: 59474.276 p48r 906.9848 179.6032 20.106 0.215
OBS: 59483.39 r_PS1 486.1833 95.8273 20.783 0.214
OBS: 59483.39 i_PS1 749.5489 113.9094 20.313 0.165
OBS: 59485.52 i_PS1 573.3238 92.9369 20.604 0.176
OBS: 59488.32 p48r 441.3671 109.3523 20.888 0.269
OBS: 59497.301 p48r 458.3529 108.9169 20.847 0.258
OBS: 59498.42 i_PS1 291.8771 43.8191 21.337 0.163
OBS: 59498.42 g_PS1 200.0783 39.2514 21.747 0.213
OBS: 59514.41 r_PS1 293.765 58.7132 21.33 0.217
OBS: 59525.38 r_PS1 249.1151 58.0492 21.509 0.253
END:
