# 2021vri 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 10.49 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021vri
RA: 35.757136
DEC: -0.419381
MWEBV: 0.029
REDSHIFT_HELIO: 0.102
REDSHIFT_CMB: 0.09545820204817645
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59442.48
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 44
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59427.444 p48r 702.1017 130.6252 20.384 0.202
OBS: 59429.443 p48g 1240.5092 108.5424 19.766 0.095
OBS: 59429.472 p48r 871.7661 109.198 20.149 0.136
OBS: 59435.463 p48r 2236.6601 88.5817 19.126 0.043
OBS: 59438.459 p48g 2973.0348 101.3159 18.817 0.037
OBS: 59438.478 p48r 2544.4856 96.0859 18.986 0.041
OBS: 59442.458 p48r 2865.4973 95.0119 18.857 0.036
OBS: 59442.48 p48g 3098.846 91.3326 18.772 0.032
OBS: 59446.399 p48r 2608.555 170.5823 18.959 0.071
OBS: 59446.485 p48g 2466.0393 86.3096 19.02 0.038
OBS: 59446.6 z_PS1 1089.4317 72.2451 19.907 0.072
OBS: 59446.6 r_PS1 2532.7948 69.9837 18.991 0.03
OBS: 59448.55 r_PS1 2756.7666 101.563 18.899 0.04
OBS: 59448.55 i_PS1 1706.0824 75.4253 19.42 0.048
OBS: 59459.441 p48g 1018.5914 75.9907 19.98 0.081
OBS: 59459.477 p48r 1651.9618 80.6402 19.455 0.053
OBS: 59461.44 p48g 855.0667 74.0293 20.17 0.094
OBS: 59461.466 p48r 1374.042 77.1979 19.655 0.061
OBS: 59463.416 p48r 1381.6562 78.8982 19.649 0.062
OBS: 59463.441 p48g 793.597 76.0167 20.251 0.104
OBS: 59465.419 p48g 727.7798 80.4372 20.345 0.12
OBS: 59465.465 p48r 1454.789 88.4341 19.593 0.066
OBS: 59467.4 p48r 1502.4499 78.877 19.558 0.057
OBS: 59467.456 p48g 583.4451 83.8302 20.585 0.156
OBS: 59468.5 r_PS1 1101.5393 61.8879 19.895 0.061
OBS: 59468.5 g_PS1 543.0002 56.0136 20.663 0.112
OBS: 59469.381 p48r 1231.4024 83.9281 19.774 0.074
OBS: 59471.379 p48g 435.7125 103.1356 20.902 0.257
OBS: 59471.436 p48r 1223.4888 96.9112 19.781 0.086
OBS: 59474.319 p48r 1132.4004 155.4039 19.865 0.149
OBS: 59474.421 p48g 402.5316 63.0267 20.988 0.17
OBS: 59479.401 p48r 1066.5961 243.6281 19.93 0.248
OBS: 59484.339 p48r 579.6956 119.064 20.592 0.223
OBS: 59484.57 r_PS1 633.8697 70.0579 20.495 0.12
OBS: 59484.57 z_PS1 514.2804 117.4701 20.722 0.248
OBS: 59487.358 p48r 633.2862 94.4911 20.496 0.162
OBS: 59487.5 z_PS1 564.4169 94.0923 20.621 0.181
OBS: 59487.5 g_PS1 252.8133 55.1854 21.493 0.237
OBS: 59489.415 p48r 543.0002 86.5211 20.663 0.173
OBS: 59493.54 r_PS1 422.2795 43.5606 20.936 0.112
OBS: 59494.281 p48r 463.874 115.783 20.834 0.271
OBS: 59498.357 p48r 492.4929 85.7309 20.769 0.189
OBS: 59513.48 r_PS1 265.4606 63.0805 21.44 0.258
OBS: 59517.353 p48r 387.2576 76.329 21.03 0.214
END:
