# 2021vtq 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.14 (yyyy.mm.dd); 11.35 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021vtq
RA: 11.912226
DEC: -20.523433
MWEBV: 0.016
REDSHIFT_HELIO: 0.0208
REDSHIFT_CMB: 0.020627647167186014
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59458.25800985764
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 41
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59438.62 i_PS1 2502.6493 73.7608 19.004 0.032
OBS: 59438.62 g_PS1 3919.2232 83.024 18.517 0.023
OBS: 59440.55 r_PS1 8173.3482 97.8631 17.719 0.013
OBS: 59440.56 g_PS1 9558.7257 123.2548 17.549 0.014
OBS: 59442.55 z_PS1 12740.8969 152.5524 17.237 0.013
OBS: 59442.56 g_PS1 18706.8214 155.0666 16.82 0.009
OBS: 59445.56 r_PS1 33113.1121 182.9898 16.2 0.006
OBS: 59445.56 z_PS1 22222.8625 184.2121 16.633 0.009
OBS: 59447.56 i_PS1 31246.4009 201.453 16.263 0.007
OBS: 59455.6 g_PS1 73181.2798 269.6098 15.339 0.004
OBS: 59455.61 i_PS1 35285.8026 194.9966 16.131 0.006
OBS: 59458.51 g_PS1 69183.0971 573.4799 15.4 0.009
OBS: 59458.52 z_PS1 33946.8905 343.9287 16.173 0.011
OBS: 59464.57 r_PS1 53554.9971 246.6299 15.678 0.005
OBS: 59464.57 g_PS1 56182.3628 310.4752 15.626 0.006
OBS: 59466.55 i_PS1 22866.516 147.4259 16.602 0.007
OBS: 59466.55 g_PS1 51999.5997 287.3604 15.71 0.006
OBS: 59468.57 g_PS1 45373.2617 208.9516 15.858 0.005
OBS: 59468.57 r_PS1 41342.8108 190.3907 15.959 0.005
OBS: 59470.4 g_PS1 39336.8881 181.1531 16.013 0.005
OBS: 59470.4 z_PS1 22366.6015 206.004 16.626 0.01
OBS: 59482.48 r_PS1 30422.8573 196.1434 16.292 0.007
OBS: 59482.48 z_PS1 22719.5644 209.2549 16.609 0.01
OBS: 59484.46 i_PS1 21517.9057 178.3685 16.668 0.009
OBS: 59484.47 r_PS1 29026.8561 160.4083 16.343 0.006
OBS: 59487.49 g_PS1 10984.9985 121.4107 17.398 0.012
OBS: 59487.49 i_PS1 20835.3116 134.3302 16.703 0.007
OBS: 59493.48 g_PS1 8135.7951 119.8935 17.724 0.016
OBS: 59493.48 r_PS1 19319.6832 177.9409 16.785 0.01
OBS: 59500.45 g_PS1 6552.3939 144.8395 17.959 0.024
OBS: 59500.45 i_PS1 10844.262 149.819 17.412 0.015
OBS: 59510.44 r_PS1 10083.2376 213.6011 17.491 0.023
OBS: 59510.45 i_PS1 7324.8713 161.9149 17.838 0.024
OBS: 59513.5 r_PS1 8790.2252 129.5375 17.64 0.016
OBS: 59513.5 i_PS1 6674.212 129.0907 17.939 0.021
OBS: 59515.37 g_PS1 5114.4625 108.3437 18.228 0.023
OBS: 59515.37 z_PS1 5325.9857 137.3516 18.184 0.028
OBS: 59518.42 i_PS1 5515.6919 111.7631 18.146 0.022
OBS: 59518.42 g_PS1 4911.34 99.5172 18.272 0.022
OBS: 59524.37 g_PS1 4558.2695 92.3631 18.353 0.022
OBS: 59524.38 r_PS1 6823.3869 106.8377 17.915 0.017
END:
