# 2021wfg 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 00.49 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021wfg
RA: 325.105233
DEC: 11.748978
MWEBV: 0.082
REDSHIFT_HELIO: 0.079
REDSHIFT_CMB: 0.07800669870140098
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59453.43
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 37
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59440.37 r_PS1 605.3409 67.4623 20.545 0.121
OBS: 59440.38 g_PS1 684.8572 53.616 20.411 0.085
OBS: 59442.38 g_PS1 1437.474 71.494 19.606 0.054
OBS: 59442.38 z_PS1 906.9848 94.3961 20.106 0.113
OBS: 59445.39 i_PS1 2126.1799 62.6651 19.181 0.032
OBS: 59445.39 r_PS1 2339.9146 79.7402 19.077 0.037
OBS: 59451.32 r_PS1 3919.2232 122.7311 18.517 0.034
OBS: 59451.33 z_PS1 2155.758 148.9145 19.166 0.075
OBS: 59453.43 r_PS1 4203.393 120.0155 18.441 0.031
OBS: 59453.44 i_PS1 2669.3161 81.1315 18.934 0.033
OBS: 59456.47 g_PS1 4115.2858 79.5967 18.464 0.021
OBS: 59456.48 i_PS1 2594.1794 97.9624 18.965 0.041
OBS: 59466.42 i_PS1 1674.9429 94.1034 19.44 0.061
OBS: 59466.42 g_PS1 2703.9584 87.1653 18.92 0.035
OBS: 59470.29 g_PS1 2079.6967 68.957 19.205 0.036
OBS: 59470.29 z_PS1 830.998 88.0184 20.201 0.115
OBS: 59481.39 i_PS1 1147.0966 133.1209 19.851 0.126
OBS: 59481.4 r_PS1 1758.7334 145.7868 19.387 0.09
OBS: 59484.24 r_PS1 1468.25 86.5477 19.583 0.064
OBS: 59484.24 z_PS1 767.0082 123.6271 20.288 0.175
OBS: 59491.23 g_PS1 417.638 60.0068 20.948 0.156
OBS: 59493.22 i_PS1 1291.814 78.5271 19.722 0.066
OBS: 59493.23 g_PS1 492.9467 59.0227 20.768 0.13
OBS: 59498.37 g_PS1 355.1403 38.9245 21.124 0.119
OBS: 59498.37 i_PS1 762.7812 76.5777 20.294 0.109
OBS: 59506.34 i_PS1 529.1758 61.411 20.691 0.126
OBS: 59506.34 r_PS1 509.0964 116.7549 20.733 0.249
OBS: 59508.3 r_PS1 830.998 111.7451 20.201 0.146
OBS: 59508.3 i_PS1 662.5215 93.3613 20.447 0.153
OBS: 59509.33 r_PS1 889.6107 104.8783 20.127 0.128
OBS: 59512.29 r_PS1 466.0151 69.533 20.829 0.162
OBS: 59515.28 g_PS1 216.7704 45.1216 21.66 0.226
OBS: 59517.26 i_PS1 422.2795 61.0626 20.936 0.157
OBS: 59517.27 g_PS1 263.0268 47.7246 21.45 0.197
OBS: 59519.28 g_PS1 267.6702 33.282 21.431 0.135
OBS: 59519.29 i_PS1 290.2686 40.6368 21.343 0.152
OBS: 59525.26 g_PS1 308.4608 70.1734 21.277 0.247
END:
