# 2021wue 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.03 (yyyy.mm.dd); 12.01 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021wue
RA: 18.947387
DEC: 1.505814
MWEBV: 0.031
REDSHIFT_HELIO: 0.08
REDSHIFT_CMB: 0.07887569293357144
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59460.407
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 57
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59442.44 p48r 594.2922 87.0308 20.565 0.159
OBS: 59442.464 p48g 652.2288 76.2921 20.464 0.127
OBS: 59442.55 g_PS1 592.1067 61.0793 20.569 0.112
OBS: 59442.55 z_PS1 409.6378 87.1541 20.969 0.231
OBS: 59445.53 r_PS1 1395.7255 74.5596 19.638 0.058
OBS: 59445.53 z_PS1 929.8224 120.7521 20.079 0.141
OBS: 59446.415 p48r 1853.5316 180.9596 19.33 0.106
OBS: 59446.478 p48g 1886.2532 76.4414 19.311 0.044
OBS: 59449.395 p48r 2671.7757 470.0121 18.933 0.191
OBS: 59449.436 p48g 3448.26 466.8668 18.656 0.147
OBS: 59454.386 p48g 4524.8064 150.03 18.361 0.036
OBS: 59454.436 p48r 4222.795 140.0162 18.436 0.036
OBS: 59458.361 p48r 4434.044 106.1815 18.383 0.026
OBS: 59460.36 p48r 4405.5486 117.6721 18.39 0.029
OBS: 59460.407 p48g 4759.9238 87.681 18.306 0.02
OBS: 59462.471 p48g 4703.271 95.3012 18.319 0.022
OBS: 59464.384 p48r 4341.1021 95.9593 18.406 0.024
OBS: 59464.426 p48g 4365.1583 92.4706 18.4 0.023
OBS: 59466.377 p48r 3897.6245 100.5157 18.523 0.028
OBS: 59466.401 p48g 3951.8459 90.9946 18.508 0.025
OBS: 59468.378 p48r 3981.0717 99.001 18.5 0.027
OBS: 59468.424 p48g 3650.9005 87.4277 18.594 0.026
OBS: 59468.45 r_PS1 3688.0772 74.7306 18.583 0.022
OBS: 59468.45 g_PS1 3541.604 107.6439 18.627 0.033
OBS: 59470.378 p48g 3150.6488 81.2519 18.754 0.028
OBS: 59470.402 p48r 3457.801 95.5426 18.653 0.03
OBS: 59472.396 p48r 3227.0077 92.1377 18.728 0.031
OBS: 59472.416 p48g 2606.1535 84.0125 18.96 0.035
OBS: 59474.333 p48r 3084.6081 133.5284 18.777 0.047
OBS: 59474.379 p48g 2091.2213 130.9738 19.199 0.068
OBS: 59476.401 p48r 2772.0432 183.8265 18.893 0.072
OBS: 59476.476 p48g 2049.2739 194.4075 19.221 0.103
OBS: 59483.276 p48g 1118.9225 229.8161 19.878 0.223
OBS: 59483.39 i_PS1 1757.1142 100.3384 19.388 0.062
OBS: 59483.4 r_PS1 1969.6996 97.9647 19.264 0.054
OBS: 59485.4 p48r 3314.3625 796.7392 18.699 0.261
OBS: 59488.286 p48g 824.1381 79.7012 20.21 0.105
OBS: 59488.333 p48r 1865.5204 92.7832 19.323 0.054
OBS: 59491.246 p48r 1602.5072 116.6011 19.488 0.079
OBS: 59498.319 p48r 1363.9549 86.6812 19.663 0.069
OBS: 59498.353 p48g 544.0014 71.6493 20.661 0.143
OBS: 59502.337 p48r 1150.2705 145.1431 19.848 0.137
OBS: 59504.295 p48r 935.8365 177.5591 20.072 0.206
OBS: 59511.259 p48r 774.1052 125.484 20.278 0.176
OBS: 59517.217 p48g 381.5926 73.8066 21.046 0.21
OBS: 59517.279 p48r 654.0335 69.8769 20.461 0.116
OBS: 59520.269 p48r 667.4212 78.0691 20.439 0.127
OBS: 59520.3 p48g 301.7172 73.6413 21.301 0.265
OBS: 59522.265 p48g 280.0271 69.6369 21.382 0.27
OBS: 59522.311 p48r 608.6954 79.0487 20.539 0.141
OBS: 59524.243 p48r 459.6211 71.9655 20.844 0.17
OBS: 59524.318 p48g 292.4152 63.0219 21.335 0.234
OBS: 59526.235 p48r 541.0034 75.7389 20.667 0.152
OBS: 59526.317 p48g 339.7817 59.4606 21.172 0.19
OBS: 59529.208 p48r 436.114 101.624 20.901 0.253
OBS: 59531.244 p48r 589.3863 128.6542 20.574 0.237
OBS: 59550.148 p48r 370.169 88.303 21.079 0.259
END:
