# 2021xkm 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.03 (yyyy.mm.dd); 12.01 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021xkm
RA: 18.960987
DEC: -15.905279
MWEBV: 0.019
REDSHIFT_HELIO: 0.0523
REDSHIFT_CMB: 0.05173708033711022
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59470.376
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 49
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59458.376 p48r 1156.6448 115.0534 19.842 0.108
OBS: 59460.357 p48r 2280.3421 123.9161 19.105 0.059
OBS: 59460.378 p48g 2303.5625 118.8129 19.094 0.056
OBS: 59462.34 p48g 4397.4408 141.7567 18.392 0.035
OBS: 59462.394 p48r 4600.4467 127.115 18.343 0.03
OBS: 59464.424 p48g 7211.0748 119.5496 17.855 0.018
OBS: 59466.376 p48r 9011.5604 132.7993 17.613 0.016
OBS: 59466.399 p48g 9514.8074 148.9788 17.554 0.017
OBS: 59468.376 p48r 10308.6074 132.9241 17.467 0.014
OBS: 59468.421 p48g 11748.9755 140.6757 17.325 0.013
OBS: 59470.376 p48g 12496.834 138.1201 17.258 0.012
OBS: 59470.399 p48r 11230.5235 144.8117 17.374 0.014
OBS: 59472.437 p48g 12291.3617 147.1699 17.276 0.013
OBS: 59474.307 p48r 11189.2248 216.4188 17.378 0.021
OBS: 59474.358 p48g 11684.2274 215.2314 17.331 0.02
OBS: 59476.336 p48r 10804.3837 268.6825 17.416 0.027
OBS: 59476.465 p48g 10754.7421 326.881 17.421 0.033
OBS: 59480.451 p48r 7481.695 365.2175 17.815 0.053
OBS: 59482.48 z_PS1 3742.8291 137.8909 18.567 0.04
OBS: 59482.48 r_PS1 7001.6436 109.6288 17.887 0.017
OBS: 59485.361 p48r 6154.6024 1247.0916 18.027 0.22
OBS: 59488.273 p48g 3388.4416 131.0765 18.675 0.042
OBS: 59488.315 p48r 6148.9364 135.9211 18.028 0.024
OBS: 59490.293 p48r 5717.4187 895.2093 18.107 0.17
OBS: 59493.48 r_PS1 4630.2027 89.5561 18.336 0.021
OBS: 59493.48 g_PS1 1989.7568 75.138 19.253 0.041
OBS: 59497.355 p48g 1404.7531 130.6764 19.631 0.101
OBS: 59497.425 p48r 3722.2025 205.6965 18.573 0.06
OBS: 59502.336 p48r 2865.4973 208.4984 18.857 0.079
OBS: 59502.397 p48g 1461.504 230.1822 19.588 0.171
OBS: 59503.296 p48r 2610.9587 247.6925 18.958 0.103
OBS: 59512.276 p48r 1995.2623 130.477 19.25 0.071
OBS: 59513.5 i_PS1 1480.4713 119.9937 19.574 0.088
OBS: 59513.5 r_PS1 1662.6468 93.4126 19.448 0.061
OBS: 59515.37 z_PS1 928.1112 110.272 20.081 0.129
OBS: 59515.37 g_PS1 584.5208 68.9105 20.583 0.128
OBS: 59518.272 p48g 773.3926 73.3691 20.279 0.103
OBS: 59518.295 p48r 1641.3455 93.7276 19.462 0.062
OBS: 59521.21 p48g 808.351 118.3785 20.231 0.159
OBS: 59521.253 p48r 1466.8983 91.8723 19.584 0.068
OBS: 59523.191 p48g 631.5387 97.7203 20.499 0.168
OBS: 59523.211 p48r 1270.5741 111.173 19.74 0.095
OBS: 59524.37 g_PS1 512.8614 71.7991 20.725 0.152
OBS: 59524.38 r_PS1 1122.0185 66.1387 19.875 0.064
OBS: 59525.21 p48g 639.1459 117.1463 20.486 0.199
OBS: 59525.254 p48r 1208.9268 97.9847 19.794 0.088
OBS: 59527.252 p48r 992.6588 193.8258 20.008 0.212
OBS: 59530.211 p48r 1062.6739 164.4315 19.934 0.168
OBS: 59542.19 p48r 722.437 135.074 20.353 0.203
END:
