# 2021zep 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 22.55 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021zep
RA: 22.06545
DEC: -14.051486
MWEBV: 0.016
REDSHIFT_HELIO: 0.09
REDSHIFT_CMB: 0.08380358638984764
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59488.378
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 29
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59470.4 g_PS1 433.3113 74.6307 20.908 0.187
OBS: 59482.48 z_PS1 1781.5581 106.6569 19.373 0.065
OBS: 59482.48 r_PS1 2769.4913 96.9302 18.894 0.038
OBS: 59484.47 i_PS1 2335.6082 116.1634 19.079 0.054
OBS: 59484.47 r_PS1 3093.143 108.2578 18.774 0.038
OBS: 59487.49 i_PS1 2363.7416 74.0209 19.066 0.034
OBS: 59487.5 g_PS1 3382.2056 96.5689 18.677 0.031
OBS: 59493.48 r_PS1 3127.5193 72.0138 18.762 0.025
OBS: 59493.48 g_PS1 2970.2978 76.6009 18.818 0.028
OBS: 59500.45 g_PS1 2070.1413 93.4269 19.21 0.049
OBS: 59500.45 i_PS1 1603.9839 101.9353 19.487 0.069
OBS: 59510.45 r_PS1 1328.0059 140.6609 19.692 0.115
OBS: 59510.45 i_PS1 996.3226 174.3529 20.004 0.19
OBS: 59513.5 i_PS1 1568.9171 101.1518 19.511 0.07
OBS: 59513.5 r_PS1 1409.9379 92.2007 19.627 0.071
OBS: 59515.37 g_PS1 610.942 58.5206 20.535 0.104
OBS: 59515.37 z_PS1 959.4006 104.2696 20.045 0.118
OBS: 59518.42 g_PS1 527.7157 43.744 20.694 0.09
OBS: 59518.43 i_PS1 1340.2938 61.7228 19.682 0.05
OBS: 59524.38 r_PS1 885.5233 61.9854 20.132 0.076
OBS: 59524.38 g_PS1 377.7461 59.8417 21.057 0.172
OBS: 59529.35 g_PS1 345.7801 46.4974 21.153 0.146
OBS: 59529.35 z_PS1 943.6262 76.4818 20.063 0.088
OBS: 59541.31 r_PS1 558.7274 68.9573 20.632 0.134
OBS: 59541.31 z_PS1 616.0274 101.5614 20.526 0.179
OBS: 59542.26 i_PS1 458.7753 82.3968 20.846 0.195
OBS: 59542.26 r_PS1 364.4182 76.1906 21.096 0.227
OBS: 59544.38 i_PS1 398.1072 68.2007 21.0 0.186
OBS: 59546.33 g_PS1 264.2409 41.6171 21.445 0.171
END:
