# 2020kvl 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.17 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020kvl
RA: 193.361146
DEC: -2.445875
MWEBV: 0.018
REDSHIFT_HELIO: 0.12
REDSHIFT_CMB: 0.12460575301401033
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59014.198
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 45
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58992.191 p48g 1106.6238 75.4236 19.89 0.074
OBS: 58992.232 p48r 1168.4227 88.2449 19.831 0.082
OBS: 58992.28 r_PS1 1137.6273 54.4853 19.86 0.052
OBS: 58992.28 g_PS1 1195.6388 68.2759 19.806 0.062
OBS: 58995.199 p48g 2305.6851 84.9446 19.093 0.04
OBS: 58995.247 p48r 2068.2356 89.531 19.211 0.047
OBS: 58998.192 p48g 3674.5148 111.6837 18.587 0.033
OBS: 58998.231 p48r 2973.0348 104.0541 18.817 0.038
OBS: 59004.36 i_PS1 3664.3757 155.2507 18.59 0.046
OBS: 59004.36 r_PS1 4483.3227 210.5939 18.371 0.051
OBS: 59005.254 p48r 5016.4906 212.5365 18.249 0.046
OBS: 59007.28 z_PS1 3070.4357 124.4309 18.782 0.044
OBS: 59007.28 r_PS1 4711.9427 86.7972 18.317 0.02
OBS: 59009.17 p48r 5007.2584 152.1912 18.251 0.033
OBS: 59009.231 p48g 5044.2895 157.9627 18.243 0.034
OBS: 59010.29 r_PS1 5035.0061 88.1108 18.245 0.019
OBS: 59014.198 p48g 5490.3496 106.1928 18.151 0.021
OBS: 59014.27 g_PS1 5485.2951 95.9907 18.152 0.019
OBS: 59014.28 i_PS1 4062.562 82.3187 18.478 0.022
OBS: 59016.28 g_PS1 5195.1728 95.6986 18.211 0.02
OBS: 59016.28 r_PS1 4979.6635 77.9695 18.257 0.017
OBS: 59017.217 p48g 4830.588 106.7793 18.29 0.024
OBS: 59017.234 p48r 4934.0097 104.521 18.267 0.023
OBS: 59020.197 p48g 4495.7277 95.2365 18.368 0.023
OBS: 59020.235 p48r 4685.9754 107.8986 18.323 0.025
OBS: 59020.28 i_PS1 3691.4756 244.7982 18.582 0.072
OBS: 59020.28 g_PS1 4634.4692 183.5457 18.335 0.043
OBS: 59023.213 p48g 3847.6893 113.4033 18.537 0.032
OBS: 59026.216 p48g 2708.9438 331.8389 18.918 0.133
OBS: 59032.27 r_PS1 2924.1524 140.0487 18.835 0.052
OBS: 59032.27 z_PS1 2263.6016 139.6852 19.113 0.067
OBS: 59033.172 p48r 2630.268 288.2854 18.95 0.119
OBS: 59033.197 p48g 2085.451 261.2249 19.202 0.136
OBS: 59036.28 z_PS1 2322.7368 134.7771 19.085 0.063
OBS: 59036.28 r_PS1 2684.1081 111.247 18.928 0.045
OBS: 59039.29 i_PS1 2398.8329 101.6327 19.05 0.046
OBS: 59039.3 r_PS1 2163.7147 75.7285 19.162 0.038
OBS: 59042.27 g_PS1 935.8365 67.2311 20.072 0.078
OBS: 59042.27 z_PS1 2251.127 118.1818 19.119 0.057
OBS: 59047.28 i_PS1 2037.9804 150.1639 19.227 0.08
OBS: 59047.28 g_PS1 773.3926 92.6017 20.279 0.13
OBS: 59059.28 r_PS1 1233.6728 184.0733 19.772 0.162
OBS: 59059.28 z_PS1 1385.4792 269.2515 19.646 0.211
OBS: 59062.27 i_PS1 1216.7462 97.4978 19.787 0.087
OBS: 59062.27 r_PS1 1323.1223 107.2404 19.696 0.088
END:
