# 2020psv 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.03 (yyyy.mm.dd); 12.13 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020psv
RA: 5.324888
DEC: 21.071029
MWEBV: 0.04
REDSHIFT_HELIO: 0.0934
REDSHIFT_CMB: 0.09263651112684523
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59057.13623011629
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 66
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59046.442 p48r 627.4802 69.9296 20.506 0.121
OBS: 59046.464 p48g 787.771 66.0263 20.259 0.091
OBS: 59047.466 p48g 911.1712 58.7454 20.101 0.07
OBS: 59048.484 p48g 1072.5067 81.9887 19.924 0.083
OBS: 59049.406 p48r 1348.9629 77.0313 19.675 0.062
OBS: 59049.46 p48g 1595.1444 66.1132 19.493 0.045
OBS: 59050.48 p48r 1671.8604 90.8506 19.442 0.059
OBS: 59051.56 g_PS1 2097.0076 67.5995 19.196 0.035
OBS: 59051.56 r_PS1 1836.5383 64.2775 19.34 0.038
OBS: 59052.421 p48r 2137.9621 74.8272 19.175 0.038
OBS: 59052.474 p48g 2060.6299 81.6101 19.215 0.043
OBS: 59054.498 p48g 2441.1811 161.8856 19.031 0.072
OBS: 59055.422 p48g 2601.3573 76.67 18.962 0.032
OBS: 59055.473 p48r 2238.7211 101.035 19.125 0.049
OBS: 59055.54 r_PS1 2374.6521 56.8655 19.061 0.026
OBS: 59055.54 g_PS1 2466.0393 65.8679 19.02 0.029
OBS: 59056.482 p48r 2407.6868 84.2673 19.046 0.038
OBS: 59059.421 p48g 2456.9708 74.6775 19.024 0.033
OBS: 59059.46 p48r 2271.9564 77.4243 19.109 0.037
OBS: 59060.5 r_PS1 2401.0433 75.189 19.049 0.034
OBS: 59060.5 i_PS1 1733.0057 68.6348 19.403 0.043
OBS: 59061.366 p48r 2461.5009 111.0892 19.022 0.049
OBS: 59063.38 p48r 1991.5903 174.2606 19.252 0.095
OBS: 59063.449 p48g 2066.3315 148.4466 19.212 0.078
OBS: 59064.372 p48r 2085.451 201.681 19.202 0.105
OBS: 59064.52 r_PS1 1917.7854 97.149 19.293 0.055
OBS: 59064.52 i_PS1 1183.5865 91.5704 19.817 0.084
OBS: 59065.409 p48r 1868.96 222.0575 19.321 0.129
OBS: 59066.408 p48g 1446.7717 194.5488 19.599 0.146
OBS: 59066.461 p48r 1937.3139 173.0802 19.282 0.097
OBS: 59069.38 p48g 1429.5521 151.4166 19.612 0.115
OBS: 59069.42 p48r 1621.8101 138.918 19.475 0.093
OBS: 59071.477 p48g 1035.619 96.3379 19.962 0.101
OBS: 59072.426 p48g 841.7827 94.5879 20.187 0.122
OBS: 59072.479 p48r 1243.9416 88.2199 19.763 0.077
OBS: 59073.411 p48g 614.3276 82.0434 20.529 0.145
OBS: 59073.483 p48r 1185.7687 92.8313 19.815 0.085
OBS: 59073.6 i_PS1 969.1701 79.4448 20.034 0.089
OBS: 59074.387 p48r 1370.2506 339.4908 19.658 0.269
OBS: 59075.378 p48g 586.1382 72.8802 20.58 0.135
OBS: 59075.474 p48r 1197.8433 81.6408 19.804 0.074
OBS: 59076.396 p48r 1153.4533 88.1767 19.845 0.083
OBS: 59076.469 p48g 450.8167 77.2305 20.865 0.186
OBS: 59077.414 p48g 435.7125 65.4129 20.902 0.163
OBS: 59077.463 p48r 1070.5329 72.9638 19.926 0.074
OBS: 59077.47 i_PS1 1006.4681 57.4735 19.993 0.062
OBS: 59077.47 g_PS1 461.7427 48.9073 20.839 0.115
OBS: 59079.411 p48r 1004.6158 74.9481 19.995 0.081
OBS: 59079.466 p48g 319.1538 67.3149 21.24 0.229
OBS: 59079.49 g_PS1 290.0013 50.4821 21.344 0.189
OBS: 59079.49 r_PS1 869.3607 61.6547 20.152 0.077
OBS: 59080.356 p48r 849.5716 85.2908 20.177 0.109
OBS: 59081.41 p48r 939.2907 81.3212 20.068 0.094
OBS: 59082.418 p48g 319.7422 75.3903 21.238 0.256
OBS: 59082.462 p48r 554.6257 127.1965 20.64 0.249
OBS: 59084.486 p48r 581.8352 75.5605 20.588 0.141
OBS: 59084.6 g_PS1 351.5604 55.0459 21.135 0.17
OBS: 59084.6 i_PS1 712.5248 80.0637 20.368 0.122
OBS: 59085.464 p48r 561.8236 67.7871 20.626 0.131
OBS: 59086.378 p48r 658.8704 70.3937 20.453 0.116
OBS: 59087.376 p48r 733.1621 86.4342 20.337 0.128
OBS: 59088.395 p48r 446.6836 77.7566 20.875 0.189
OBS: 59089.437 p48r 435.3114 84.9986 20.903 0.212
OBS: 59093.42 i_PS1 523.3594 103.1548 20.703 0.214
OBS: 59103.4 z_PS1 357.4374 87.2412 21.117 0.265
OBS: 59107.54 i_PS1 300.3309 69.707 21.306 0.252
END:
