# 2020rmy 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.03 (yyyy.mm.dd); 12.13 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020rmy
RA: 310.156625
DEC: -3.521631
MWEBV: 0.06
REDSHIFT_HELIO: 0.138
REDSHIFT_CMB: 0.1408802362376722
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59088.36501356565
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 39
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59072.28 i_PS1 319.1538 76.4274 21.24 0.26
OBS: 59072.28 g_PS1 361.7429 88.292 21.104 0.265
OBS: 59073.295 p48r 413.8091 72.034 20.958 0.189
OBS: 59075.36 g_PS1 508.6277 41.6932 20.734 0.089
OBS: 59075.36 i_PS1 472.498 50.0465 20.814 0.115
OBS: 59076.295 p48g 622.8737 67.1215 20.514 0.117
OBS: 59078.39 r_PS1 784.1515 49.8339 20.264 0.069
OBS: 59078.4 g_PS1 814.3292 43.5014 20.223 0.058
OBS: 59079.294 p48r 917.0647 78.5522 20.094 0.093
OBS: 59079.316 p48g 957.635 76.7353 20.047 0.087
OBS: 59082.271 p48r 1165.1987 107.3188 19.834 0.1
OBS: 59082.293 p48g 1011.1137 95.9208 19.988 0.103
OBS: 59082.42 r_PS1 1170.577 74.3917 19.829 0.069
OBS: 59082.42 g_PS1 1076.4652 69.4023 19.92 0.07
OBS: 59083.4 i_PS1 859.0135 70.4151 20.165 0.089
OBS: 59083.4 g_PS1 1171.6557 65.8272 19.828 0.061
OBS: 59086.274 p48g 1221.2371 70.8625 19.783 0.063
OBS: 59086.328 p48r 1313.409 89.5174 19.704 0.074
OBS: 59095.42 i_PS1 876.597 106.5736 20.143 0.132
OBS: 59095.42 r_PS1 990.8319 97.6471 20.01 0.107
OBS: 59097.41 z_PS1 473.3692 80.222 20.812 0.184
OBS: 59097.41 r_PS1 1135.5336 89.9444 19.862 0.086
OBS: 59098.225 p48g 954.1134 125.6642 20.051 0.143
OBS: 59098.3 p48r 971.8517 143.2174 20.031 0.16
OBS: 59099.42 i_PS1 859.0135 79.9092 20.165 0.101
OBS: 59099.42 r_PS1 848.0081 82.7907 20.179 0.106
OBS: 59100.33 r_PS1 971.8517 59.0772 20.031 0.066
OBS: 59100.34 z_PS1 552.0774 106.7812 20.645 0.21
OBS: 59104.29 g_PS1 616.595 49.4077 20.525 0.087
OBS: 59104.3 i_PS1 564.4169 58.2229 20.621 0.112
OBS: 59108.25 g_PS1 334.8112 74.6262 21.188 0.242
OBS: 59108.26 r_PS1 465.1575 79.2588 20.831 0.185
OBS: 59110.3 i_PS1 591.017 80.5633 20.571 0.148
OBS: 59111.211 p48r 551.0614 95.4187 20.647 0.188
OBS: 59114.279 p48r 727.7798 109.2605 20.345 0.163
OBS: 59126.35 r_PS1 359.0873 79.3756 21.112 0.24
OBS: 59126.35 i_PS1 307.3265 60.5744 21.281 0.214
OBS: 59135.154 p48r 399.2087 95.9657 20.997 0.261
OBS: 59137.23 i_PS1 288.9349 60.409 21.348 0.227
END:
