# 2020svo 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.03 (yyyy.mm.dd); 12.13 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020svo
RA: 40.633464
DEC: -0.963143
MWEBV: 0.029
REDSHIFT_HELIO: 0.0387
REDSHIFT_CMB: 0.03885676361985557
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59112.49181001048
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 99
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59095.59 r_PS1 381.5926 86.4591 21.046 0.246
OBS: 59102.453 p48r 5883.0156 438.8951 18.076 0.081
OBS: 59102.5 p48g 5866.7827 913.1926 18.079 0.169
OBS: 59102.54 g_PS1 5877.5996 113.6829 18.077 0.021
OBS: 59102.54 z_PS1 3894.0363 118.3558 18.524 0.033
OBS: 59107.398 p48g 12989.7263 179.4597 17.216 0.015
OBS: 59107.421 p48r 11879.5503 153.1806 17.313 0.014
OBS: 59109.61 g_PS1 13880.3367 140.6269 17.144 0.011
OBS: 59109.61 i_PS1 8725.6944 104.4766 17.648 0.013
OBS: 59110.459 p48r 12577.6643 278.027 17.251 0.024
OBS: 59110.503 p48g 15261.5977 154.621 17.041 0.011
OBS: 59112.416 p48r 14859.3564 136.8597 17.07 0.01
OBS: 59113.416 p48g 16368.1652 150.7564 16.965 0.01
OBS: 59113.421 p48r 14804.7132 136.3564 17.074 0.01
OBS: 59115.39 p48r 14034.5987 142.1898 17.132 0.011
OBS: 59116.403 p48r 13905.9288 140.8862 17.142 0.011
OBS: 59116.504 p48g 14927.9441 137.4914 17.065 0.01
OBS: 59120.349 p48g 11835.8649 207.1235 17.317 0.019
OBS: 59121.364 p48g 12100.4076 211.7529 17.293 0.019
OBS: 59121.52 z_PS1 5405.0535 179.2166 18.168 0.036
OBS: 59121.52 r_PS1 11407.7501 126.0831 17.357 0.012
OBS: 59122.361 p48g 11086.6414 275.7017 17.388 0.027
OBS: 59123.353 p48r 9691.7008 312.4235 17.534 0.035
OBS: 59123.397 p48g 9745.4074 376.9858 17.528 0.042
OBS: 59124.355 p48r 8790.2252 291.4595 17.64 0.036
OBS: 59128.402 p48r 7131.8139 302.1576 17.867 0.046
OBS: 59128.43 p48g 7338.3767 527.1938 17.836 0.078
OBS: 59129.46 r_PS1 7791.1219 100.4624 17.771 0.014
OBS: 59129.47 i_PS1 3819.4427 98.4994 18.545 0.028
OBS: 59130.383 p48g 5872.1887 140.6206 18.078 0.026
OBS: 59130.422 p48r 6943.8447 121.5148 17.896 0.019
OBS: 59131.5 g_PS1 5633.7815 140.1004 18.123 0.027
OBS: 59131.5 z_PS1 4341.1021 155.9338 18.406 0.039
OBS: 59133.48 i_PS1 4010.5137 81.264 18.492 0.022
OBS: 59133.48 g_PS1 4681.6614 107.7992 18.324 0.025
OBS: 59134.38 p48g 3926.4494 122.9574 18.515 0.034
OBS: 59134.422 p48r 6297.9615 139.2153 18.002 0.024
OBS: 59136.319 p48r 6606.9345 115.619 17.95 0.019
OBS: 59136.401 p48g 3454.6177 89.091 18.654 0.028
OBS: 59138.35 p48r 6356.2358 117.0862 17.992 0.02
OBS: 59138.375 p48g 2808.0187 106.0375 18.879 0.041
OBS: 59138.45 g_PS1 3073.2649 110.3927 18.781 0.039
OBS: 59138.45 i_PS1 4409.6082 121.842 18.389 0.03
OBS: 59140.363 p48r 5981.3608 115.6898 18.058 0.021
OBS: 59140.399 p48g 2381.2226 92.1139 19.058 0.042
OBS: 59142.36 p48r 5685.9102 120.4491 18.113 0.023
OBS: 59142.378 p48g 2177.7098 78.224 19.155 0.039
OBS: 59142.38 g_PS1 2183.7353 68.384 19.152 0.034
