# 2020tip 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.03 (yyyy.mm.dd); 12.13 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020tip
RA: 356.693933
DEC: 25.558094
MWEBV: 0.047
REDSHIFT_HELIO: 0.095
REDSHIFT_CMB: 0.09410877486364466
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59116.30087063603
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 72
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59103.39 g_PS1 560.2734 56.7634 20.629 0.11
OBS: 59104.411 p48r 1119.9535 214.5552 19.877 0.208
OBS: 59106.326 p48g 894.5405 107.9312 20.121 0.131
OBS: 59106.341 p48r 1185.7687 111.3976 19.815 0.102
OBS: 59107.351 p48g 1438.7986 94.088 19.605 0.071
OBS: 59107.53 r_PS1 1230.2688 81.5846 19.775 0.072
OBS: 59107.53 g_PS1 1347.721 71.9952 19.676 0.058
OBS: 59108.393 p48r 1372.777 115.0581 19.656 0.091
OBS: 59109.317 p48g 1804.6791 104.7168 19.359 0.063
OBS: 59109.35 i_PS1 1018.5914 111.6407 19.98 0.119
OBS: 59109.35 g_PS1 1701.3748 137.8981 19.423 0.088
OBS: 59109.388 p48r 1651.9618 139.9792 19.455 0.092
OBS: 59111.342 p48g 2091.2213 80.8956 19.199 0.042
OBS: 59112.298 p48g 2153.7734 77.3642 19.167 0.039
OBS: 59112.342 p48r 1923.0917 72.6206 19.29 0.041
OBS: 59113.279 p48r 2299.3231 82.5924 19.096 0.039
OBS: 59114.318 p48g 2039.8583 80.7875 19.226 0.043
OBS: 59115.242 p48g 2398.8329 92.7951 19.05 0.042
OBS: 59115.302 p48r 2295.0915 84.5543 19.098 0.04
OBS: 59116.243 p48g 2348.551 101.6655 19.073 0.047
OBS: 59116.364 p48r 2427.7278 84.9688 19.037 0.038
OBS: 59117.269 p48g 2459.2348 95.1316 19.023 0.042
OBS: 59117.37 i_PS1 1312.1999 124.4838 19.705 0.103
OBS: 59117.37 g_PS1 2147.8305 138.4757 19.17 0.07
OBS: 59117.371 p48r 2459.2348 83.8064 19.023 0.037
OBS: 59118.284 p48r 2516.5178 108.9365 18.998 0.047
OBS: 59118.371 p48g 2214.1141 67.2961 19.137 0.033
OBS: 59119.224 p48g 2220.2404 134.9645 19.134 0.066
OBS: 59119.36 i_PS1 1453.4497 89.6913 19.594 0.067
OBS: 59119.36 r_PS1 2249.0546 87.0011 19.12 0.042
OBS: 59120.281 p48g 2274.05 152.8969 19.108 0.073
OBS: 59121.326 p48g 2518.8366 192.5545 18.997 0.083
OBS: 59121.51 r_PS1 2015.5798 181.9289 19.239 0.098
OBS: 59121.51 z_PS1 1035.619 143.076 19.962 0.15
OBS: 59122.254 p48g 2309.9363 244.6659 19.091 0.115
OBS: 59123.194 p48g 1856.9491 343.773 19.328 0.201
OBS: 59123.294 p48r 2459.2348 332.9607 19.023 0.147
OBS: 59124.312 p48r 2486.5661 229.0212 19.011 0.1
OBS: 59125.233 p48g 1863.803 224.878 19.324 0.131
OBS: 59125.273 p48r 2365.9197 196.1183 19.065 0.09
OBS: 59126.271 p48g 2077.7821 206.6805 19.206 0.108
OBS: 59126.32 p48r 1893.2153 179.6027 19.307 0.103
OBS: 59128.46 r_PS1 1702.9426 84.6973 19.422 0.054
OBS: 59128.47 i_PS1 735.1907 118.4987 20.334 0.175
OBS: 59129.219 p48r 1860.3729 126.7965 19.326 0.074
OBS: 59129.327 p48g 1430.8694 113.3376 19.611 0.086
OBS: 59131.234 p48r 1436.1507 83.3328 19.607 0.063
OBS: 59131.32 p48g 1134.4882 115.9842 19.863 0.111
OBS: 59131.44 g_PS1 969.1701 96.405 20.034 0.108
OBS: 59133.47 i_PS1 640.9144 93.268 20.483 0.158
OBS: 59133.48 g_PS1 880.6432 80.2991 20.138 0.099
OBS: 59134.204 p48r 1342.765 92.7549 19.68 0.075
OBS: 59134.247 p48g 856.6433 76.5328 20.168 0.097
OBS: 59136.208 p48r 1211.1558 89.2413 19.792 0.08
OBS: 59136.235 p48g 715.8137 71.2032 20.363 0.108
OBS: 59137.46 i_PS1 755.788 53.6002 20.304 0.077
OBS: 59137.46 g_PS1 558.2131 52.9557 20.633 0.103
OBS: 59138.249 p48g 556.6728 83.5725 20.636 0.163
OBS: 59138.306 p48r 1302.5668 110.3732 19.713 0.092
OBS: 59140.207 p48g 363.4126 64.6001 21.099 0.193
OBS: 59140.214 p48r 1118.9225 76.2619 19.878 0.074
OBS: 59142.26 i_PS1 700.1644 108.339 20.387 0.168
OBS: 59144.213 p48r 1042.3174 85.4409 19.955 0.089
OBS: 59146.192 p48r 1056.8175 131.4043 19.94 0.135
OBS: 59146.45 z_PS1 438.9348 109.1539 20.894 0.27
OBS: 59151.218 p48r 824.1381 180.6561 20.21 0.238
OBS: 59153.123 p48r 766.3021 189.1518 20.289 0.268
OBS: 59156.37 r_PS1 359.0873 86.9824 21.112 0.263
OBS: 59158.39 i_PS1 606.457 58.6496 20.543 0.105
OBS: 59158.39 r_PS1 631.5387 60.4935 20.499 0.104
OBS: 59169.194 p48r 369.1476 88.3993 21.082 0.26
OBS: 59173.222 p48r 350.2676 79.6843 21.139 0.247
END:
