# 2020zmi 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.03 (yyyy.mm.dd); 12.13 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020zmi
RA: 315.045875
DEC: -4.067011
MWEBV: 0.075
REDSHIFT_HELIO: 0.0196
REDSHIFT_CMB: 0.01897382492207922
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59186.04826757765
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 112
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59164.106 p48r 1344.0023 127.5008 19.679 0.103
OBS: 59167.108 p48r 6873.8492 158.2762 17.907 0.025
OBS: 59167.164 p48g 7008.0953 174.2767 17.886 0.027
OBS: 59167.21 i_PS1 5644.1689 140.3587 18.121 0.027
OBS: 59167.21 g_PS1 7338.3767 141.9368 17.836 0.021
OBS: 59169.107 p48g 13219.0425 146.1023 17.197 0.012
OBS: 59169.13 p48r 12280.0462 192.2758 17.277 0.017
OBS: 59171.087 p48r 23790.3045 175.2934 16.559 0.008
OBS: 59171.152 p48g 24434.3055 180.0386 16.53 0.008
OBS: 59173.084 p48r 34482.5997 222.3175 16.156 0.007
OBS: 59175.13 p48r 42383.8106 780.7386 15.932 0.02
OBS: 59177.068 p48r 47599.238 306.8836 15.806 0.007
OBS: 59177.111 p48g 51760.6832 286.0401 15.715 0.006
OBS: 59179.122 p48r 59265.2335 272.9265 15.568 0.005
OBS: 59179.166 p48g 59101.7037 326.6081 15.571 0.006
OBS: 59181.127 p48g 59648.565 384.5685 15.561 0.007
OBS: 59181.24 z_PS1 35645.1133 295.4733 16.12 0.009
OBS: 59181.24 r_PS1 57174.1873 263.2969 15.607 0.005
OBS: 59184.092 p48r 65343.14 300.9163 15.462 0.005
OBS: 59184.129 p48g 64803.7294 358.1186 15.471 0.006
OBS: 59184.2 r_PS1 61150.4983 281.6085 15.534 0.005
OBS: 59184.2 z_PS1 35416.04 260.955 16.127 0.008
OBS: 59186.094 p48r 56911.4958 314.5045 15.612 0.006
OBS: 59186.149 p48g 56545.7541 677.0473 15.619 0.013
OBS: 59188.094 p48r 58667.8266 270.1753 15.579 0.005
OBS: 59190.115 p48r 57597.0181 265.2441 15.599 0.005
OBS: 59192.098 p48g 81133.4605 10611.1884 15.227 0.142
OBS: 59192.107 p48r 40476.2249 2982.3985 15.982 0.08
OBS: 59319.62 g_PS1 1658.0591 82.465 19.451 0.054
OBS: 59319.62 r_PS1 1362.6992 87.8565 19.664 0.07
OBS: 59323.6 g_PS1 1551.6723 72.8863 19.523 0.051
OBS: 59325.442 p48g 1806.3421 158.0517 19.358 0.095
OBS: 59325.481 p48r 990.8319 132.3255 20.01 0.145
OBS: 59327.57 r_PS1 1170.577 79.7825 19.829 0.074
OBS: 59327.57 i_PS1 932.3951 132.2502 20.076 0.154
OBS: 59328.59 r_PS1 1012.0454 95.0771 19.987 0.102
OBS: 59329.476 p48g 1745.8222 268.5296 19.395 0.167
OBS: 59329.61 r_PS1 858.2227 169.9472 20.166 0.215
OBS: 59329.61 i_PS1 645.6542 118.9339 20.475 0.2
OBS: 59334.6 r_PS1 838.6872 105.8269 20.191 0.137
OBS: 59339.427 p48g 1413.8391 144.5435 19.624 0.111
OBS: 59339.477 p48r 660.6934 108.3168 20.45 0.178
OBS: 59342.446 p48r 589.9293 85.3052 20.573 0.157
OBS: 59342.468 p48g 1288.2496 80.6835 19.725 0.068
OBS: 59342.6 r_PS1 844.8897 45.134 20.183 0.058
OBS: 59342.6 g_PS1 1213.3889 56.9962 19.79 0.051
OBS: 59345.427 p48g 1246.2352 113.6347 19.761 0.099
OBS: 59345.474 p48r 634.4538 102.8462 20.494 0.176
OBS: 59345.6 g_PS1 1235.9474 69.4393 19.77 0.061
OBS: 59345.61 i_PS1 602.0049 92.0415 20.551 0.166
OBS: 59348.422 p48r 751.6229 89.9951 20.31 0.13
OBS: 59348.444 p48g 1211.1558 90.3568 19.792 0.081
OBS: 59351.59 g_PS1 1173.8159 95.1389 19.826 0.088
OBS: 59351.59 i_PS1 538.022 84.2412 20.673 0.17
OBS: 59352.426 p48r 596.4856 120.8644 20.561 0.22
OBS: 59352.463 p48g 1088.4287 109.2703 19.908 0.109
OBS: 59354.444 p48g 982.6526 152.0495 20.019 0.168
OBS: 59356.57 r_PS1 454.9881 67.8876 20.855 0.162
OBS: 59356.57 i_PS1 424.2287 51.967 20.931 0.133
OBS: 59357.422 p48g 1160.9139 206.3635 19.838 0.193
OBS: 59357.58 r_PS1 454.1507 43.9203 20.857 0.105
OBS: 59358.58 r_PS1 542.0009 87.3602 20.665 0.175
OBS: 59358.59 i_PS1 605.8987 95.9852 20.544 0.172
OBS: 59363.454 p48g 936.6989 231.2121 20.071 0.268
OBS: 59366.411 p48r 642.6877 155.6795 20.48 0.263
