# 2021aci 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.17 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021aci
RA: 214.777232
DEC: 42.457807
MWEBV: 0.01
REDSHIFT_HELIO: 0.09
REDSHIFT_CMB: 0.09732619461568404
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59230.66
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 26
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59220.66 z_PS1 460.0447 74.1504 20.843 0.175
OBS: 59220.66 g_PS1 491.134 56.0915 20.772 0.124
OBS: 59226.63 g_PS1 2418.8002 77.9729 19.041 0.035
OBS: 59226.63 r_PS1 1900.203 70.0061 19.303 0.04
OBS: 59230.66 g_PS1 3801.894 87.5418 18.55 0.025
OBS: 59230.66 i_PS1 2466.0393 74.9531 19.02 0.033
OBS: 59242.64 i_PS1 2199.8851 149.9365 19.144 0.074
OBS: 59242.64 r_PS1 3341.9504 169.2928 18.69 0.055
OBS: 59244.62 z_PS1 1181.4083 195.8611 19.819 0.18
OBS: 59244.62 r_PS1 3290.0311 206.0557 18.707 0.068
OBS: 59245.66 r_PS1 3277.9325 105.6681 18.711 0.035
OBS: 59245.66 i_PS1 2008.1678 103.5771 19.243 0.056
OBS: 59246.64 r_PS1 2886.689 109.0083 18.849 0.041
OBS: 59246.64 z_PS1 649.8304 128.6809 20.468 0.215
OBS: 59255.56 g_PS1 1781.5581 90.2482 19.373 0.055
OBS: 59255.57 r_PS1 1848.4172 88.5277 19.333 0.052
OBS: 59261.62 g_PS1 1138.6756 80.7544 19.859 0.077
OBS: 59261.63 r_PS1 1698.2437 59.4373 19.425 0.038
OBS: 59270.58 r_PS1 1063.6531 125.3966 19.933 0.128
OBS: 59270.58 i_PS1 1287.0636 161.2184 19.726 0.136
OBS: 59292.56 g_PS1 317.3949 69.2826 21.246 0.237
OBS: 59298.51 r_PS1 572.796 96.5443 20.605 0.183
OBS: 59313.53 r_PS1 358.4264 53.4799 21.114 0.162
OBS: 59313.53 g_PS1 258.9405 59.8617 21.467 0.251
OBS: 59321.46 g_PS1 216.9702 47.3613 21.659 0.237
OBS: 59321.46 r_PS1 276.1849 36.1214 21.397 0.142
END:
