# 2021bmb 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.03 (yyyy.mm.dd); 12.13 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021bmb
RA: 224.325368
DEC: 43.459729
MWEBV: 0.015
REDSHIFT_HELIO: 0.0375
REDSHIFT_CMB: 0.03912497881346577
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59256.45230618512
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 114
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59242.64 r_PS1 2214.1141 252.87 19.137 0.124
OBS: 59242.64 i_PS1 2498.0435 257.6877 19.006 0.112
OBS: 59244.62 r_PS1 4257.9445 200.0073 18.427 0.051
OBS: 59244.62 z_PS1 3822.9622 228.8701 18.544 0.065
OBS: 59245.66 i_PS1 5219.1527 144.2105 18.206 0.03
OBS: 59246.64 r_PS1 6432.7993 148.1207 17.979 0.025
OBS: 59246.65 z_PS1 5355.4997 177.5735 18.178 0.036
OBS: 59248.447 p48r 8855.2331 146.8075 17.632 0.018
OBS: 59250.43 p48r 8709.6359 160.4374 17.65 0.02
OBS: 59250.487 p48g 8709.6359 128.3499 17.65 0.016
OBS: 59252.514 p48r 11015.3931 121.7466 17.395 0.012
OBS: 59254.53 p48g 10139.1139 186.7694 17.485 0.02
OBS: 59255.56 g_PS1 9238.4689 144.6521 17.586 0.017
OBS: 59255.57 r_PS1 10607.1815 156.3132 17.436 0.016
OBS: 59256.453 p48r 11566.4477 127.8371 17.342 0.012
OBS: 59256.519 p48g 9963.2264 100.9412 17.504 0.011
OBS: 59257.57 g_PS1 9427.5751 112.8805 17.564 0.013
OBS: 59257.57 i_PS1 6829.6744 106.9362 17.914 0.017
OBS: 59260.407 p48r 10597.4164 253.7751 17.437 0.026
OBS: 59260.496 p48g 9453.6605 261.2143 17.561 0.03
OBS: 59261.63 g_PS1 8256.5763 114.0688 17.708 0.015
OBS: 59261.63 r_PS1 9981.5963 119.5141 17.502 0.013
OBS: 59263.473 p48r 7906.7863 189.3429 17.755 0.026
OBS: 59263.514 p48g 7277.798 127.3589 17.845 0.019
OBS: 59265.363 p48r 8332.9735 153.499 17.698 0.02
OBS: 59265.428 p48g 6798.2949 112.7063 17.919 0.018
OBS: 59267.386 p48g 6274.8016 161.8206 18.006 0.028
OBS: 59267.433 p48r 7571.8151 125.5302 17.802 0.018
OBS: 59269.389 p48r 6754.6057 155.5305 17.926 0.025
OBS: 59269.453 p48g 5904.7294 119.646 18.072 0.022
OBS: 59270.58 r_PS1 6053.4087 172.8373 18.045 0.031
OBS: 59270.59 i_PS1 2989.5099 143.1789 18.811 0.052
