# 2021hol 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.03 (yyyy.mm.dd); 12.13 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021hol
RA: 219.274454
DEC: 34.633047
MWEBV: 0.012
REDSHIFT_HELIO: 0.084
REDSHIFT_CMB: 0.09163973203211073
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59310.168265362736
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 54
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59297.341 p48g 841.0078 158.7923 20.188 0.205
OBS: 59297.407 p48r 712.5248 120.7518 20.368 0.184
OBS: 59300.368 p48g 1760.354 270.7648 19.386 0.167
OBS: 59300.41 p48r 1671.8604 230.976 19.442 0.15
OBS: 59300.5 i_PS1 1875.8582 466.4869 19.317 0.27
OBS: 59302.363 p48g 2759.3069 226.186 18.898 0.089
OBS: 59302.41 p48r 2392.2138 196.0946 19.053 0.089
OBS: 59304.51 z_PS1 1371.5132 122.5314 19.657 0.097
OBS: 59304.51 r_PS1 2320.5985 119.6916 19.086 0.056
OBS: 59305.329 p48g 3130.4012 144.1603 18.761 0.05
OBS: 59305.348 p48r 2749.1599 131.6676 18.902 0.052
OBS: 59307.324 p48g 3544.8674 88.1535 18.626 0.027
OBS: 59307.345 p48r 3101.7015 79.9896 18.771 0.028
OBS: 59309.326 p48g 3777.4611 90.4584 18.557 0.026
OBS: 59309.385 p48r 3141.9553 95.497 18.757 0.033
OBS: 59311.326 p48r 3354.2853 83.4141 18.686 0.027
OBS: 59311.364 p48g 3815.9265 80.8358 18.546 0.023
OBS: 59313.286 p48g 3493.0114 109.3842 18.642 0.034
OBS: 59313.352 p48r 3162.2777 90.2895 18.75 0.031
OBS: 59313.53 g_PS1 3081.7684 79.4756 18.778 0.028
OBS: 59313.53 r_PS1 3212.1809 79.8803 18.733 0.027
OBS: 59315.307 p48g 3379.0919 196.0723 18.678 0.063
OBS: 59315.37 p48r 3268.8877 255.9143 18.714 0.085
OBS: 59317.258 p48g 2943.066 78.6093 18.828 0.029
OBS: 59317.406 p48r 2918.7708 72.5838 18.837 0.027
OBS: 59321.383 p48g 2305.6851 72.2029 19.093 0.034
OBS: 59321.404 p48r 2563.3033 75.5485 18.978 0.032
OBS: 59321.46 g_PS1 1658.0591 70.2479 19.451 0.046
OBS: 59321.46 r_PS1 1924.8638 72.6875 19.289 0.041
OBS: 59323.302 p48g 1882.7818 93.6417 19.313 0.054
OBS: 59325.313 p48r 2095.0771 92.6226 19.197 0.048
OBS: 59325.366 p48g 1494.17 116.9754 19.564 0.085
OBS: 59329.289 p48r 1839.9245 160.9901 19.338 0.095
OBS: 59329.351 p48g 1278.7923 212.006 19.733 0.18
OBS: 59335.287 p48g 683.5968 79.9612 20.413 0.127
OBS: 59335.322 p48r 1328.0059 179.8014 19.692 0.147
OBS: 59338.384 p48r 1285.8787 98.3001 19.727 0.083
OBS: 59338.414 p48g 483.9494 77.5577 20.788 0.174
OBS: 59340.36 p48g 563.8973 71.1535 20.622 0.137
OBS: 59342.359 p48g 350.5904 61.675 21.138 0.191
OBS: 59342.433 p48r 1260.0855 67.3137 19.749 0.058
OBS: 59345.321 p48r 950.6048 72.6698 20.055 0.083
OBS: 59345.375 p48g 349.3011 60.483 21.142 0.188
OBS: 59349.236 p48g 313.0401 60.8356 21.261 0.211
OBS: 59353.319 p48r 731.8128 82.905 20.339 0.123
OBS: 59353.349 p48g 357.7668 84.3559 21.116 0.256
OBS: 59357.36 i_PS1 666.1929 164.4411 20.441 0.268
OBS: 59364.322 p48r 386.5449 88.2932 21.032 0.248
OBS: 59366.345 p48r 557.6992 70.3714 20.634 0.137
OBS: 59368.298 p48r 270.3958 60.7667 21.42 0.244
OBS: 59370.266 p48r 313.0401 66.0254 21.261 0.229
OBS: 59372.306 p48r 336.6666 83.1018 21.182 0.268
OBS: 59377.257 p48r 394.0942 70.78 21.011 0.195
OBS: 59379.248 p48r 317.3949 68.1132 21.246 0.233
END:
