# 2021jkd 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.17 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021jkd
RA: 232.531859
DEC: -0.565288
MWEBV: 0.09
REDSHIFT_HELIO: 0.077
REDSHIFT_CMB: 0.07730019249478626
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59328.283
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 40
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59312.353 p48g 342.61 68.4755 21.163 0.217
OBS: 59314.398 p48g 781.9878 71.3035 20.267 0.099
OBS: 59316.377 p48g 1233.6728 68.1753 19.772 0.06
OBS: 59316.416 p48r 1215.6261 75.0154 19.788 0.067
OBS: 59316.44 r_PS1 1186.8614 79.7992 19.814 0.073
OBS: 59316.44 g_PS1 989.0084 94.7347 20.012 0.104
OBS: 59319.386 p48r 1721.8686 115.7707 19.41 0.073
OBS: 59322.274 p48r 2171.7008 124.013 19.158 0.062
OBS: 59322.55 r_PS1 1752.2659 80.6948 19.391 0.05
OBS: 59322.55 g_PS1 1946.2562 89.6284 19.277 0.05
OBS: 59324.268 p48r 2114.4626 146.0619 19.187 0.075
OBS: 59324.377 p48g 2032.357 91.7216 19.23 0.049
OBS: 59327.44 z_PS1 1230.2688 120.1107 19.775 0.106
OBS: 59327.44 r_PS1 2070.1413 76.2668 19.21 0.04
OBS: 59328.283 p48r 2257.3557 193.3564 19.116 0.093
OBS: 59328.45 r_PS1 2085.451 111.4047 19.202 0.058
OBS: 59328.45 i_PS1 1468.25 146.0493 19.583 0.108
OBS: 59334.355 p48r 1301.3676 184.585 19.714 0.154
OBS: 59335.47 z_PS1 913.6924 167.4668 20.098 0.199
OBS: 59335.47 r_PS1 1186.8614 97.2894 19.814 0.089
OBS: 59336.415 p48g 748.8589 133.8066 20.314 0.194
OBS: 59339.317 p48r 1344.0023 92.8404 19.679 0.075
OBS: 59339.359 p48g 540.5054 69.1975 20.668 0.139
OBS: 59341.281 p48r 970.0631 94.7069 20.033 0.106
OBS: 59341.316 p48g 367.7901 68.4269 21.086 0.202
OBS: 59343.278 p48g 386.9011 72.6952 21.031 0.204
OBS: 59343.331 p48r 1038.4845 98.5174 19.959 0.103
OBS: 59345.337 p48r 883.0799 88.6548 20.135 0.109
OBS: 59349.316 p48r 691.831 83.4732 20.4 0.131
OBS: 59349.361 p48g 325.0873 55.6915 21.22 0.186
OBS: 59349.37 i_PS1 739.946 70.1961 20.327 0.103
OBS: 59352.295 p48r 444.6313 92.5516 20.88 0.226
OBS: 59354.37 i_PS1 532.1083 54.4 20.685 0.111
OBS: 59355.36 z_PS1 457.0882 74.0949 20.85 0.176
OBS: 59356.38 r_PS1 297.8516 68.8572 21.315 0.251
OBS: 59356.38 i_PS1 340.7219 77.8265 21.169 0.248
OBS: 59362.38 r_PS1 478.1895 102.1795 20.801 0.232
OBS: 59366.39 i_PS1 284.9706 45.4069 21.363 0.173
OBS: 59378.44 r_PS1 340.4082 49.5373 21.17 0.158
OBS: 59394.3 r_PS1 182.6417 31.6252 21.846 0.188
END:
