# 2021lzc 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.03 (yyyy.mm.dd); 12.13 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021lzc
RA: 227.340624
DEC: -11.119413
MWEBV: 0.095
REDSHIFT_HELIO: 0.1
REDSHIFT_CMB: 0.10623890115531887
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59355.358923718624
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 57
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59341.275 p48r 361.0771 70.5036 21.106 0.212
OBS: 59343.273 p48g 702.1017 88.5924 20.384 0.137
OBS: 59343.315 p48r 664.9669 96.1558 20.443 0.157
OBS: 59344.45 g_PS1 727.7798 49.6029 20.345 0.074
OBS: 59344.45 i_PS1 717.7943 60.1613 20.36 0.091
OBS: 59345.357 p48g 844.1119 100.2918 20.184 0.129
OBS: 59349.294 p48r 1566.0297 85.0996 19.513 0.059
OBS: 59352.215 p48g 1576.1589 175.6552 19.506 0.121
OBS: 59352.274 p48r 1417.7511 129.2739 19.621 0.099
OBS: 59352.42 i_PS1 1372.777 96.0925 19.656 0.076
OBS: 59352.43 g_PS1 1453.4497 105.7555 19.594 0.079
OBS: 59354.273 p48r 1814.6798 182.1806 19.353 0.109
OBS: 59354.295 p48g 1212.2718 197.6282 19.791 0.177
OBS: 59356.288 p48r 1753.8805 190.6153 19.39 0.118
OBS: 59356.297 p48g 1574.7079 223.3554 19.507 0.154
OBS: 59361.356 p48r 1758.7334 278.6148 19.387 0.172
OBS: 59362.37 i_PS1 1161.9836 107.0226 19.837 0.1
OBS: 59362.37 r_PS1 1645.8869 97.0187 19.459 0.064
OBS: 59363.272 p48g 1225.7446 160.3113 19.779 0.142
OBS: 59364.38 z_PS1 628.6371 107.1143 20.504 0.185
OBS: 59364.39 r_PS1 1249.6834 90.9291 19.758 0.079
OBS: 59366.273 p48g 982.6526 96.841 20.019 0.107
OBS: 59366.33 z_PS1 473.8054 79.4231 20.811 0.182
OBS: 59366.34 g_PS1 957.635 60.859 20.047 0.069
OBS: 59366.353 p48r 1454.789 107.1928 19.593 0.08
OBS: 59368.294 p48r 1152.3914 95.5253 19.846 0.09
OBS: 59368.36 i_PS1 936.6989 86.2732 20.071 0.1
OBS: 59368.36 g_PS1 809.0959 126.6848 20.23 0.17
OBS: 59370.248 p48g 628.0584 80.9848 20.505 0.14
OBS: 59370.253 p48r 1223.4888 81.135 19.781 0.072
OBS: 59372.34 g_PS1 701.4553 59.4379 20.385 0.092
OBS: 59372.35 i_PS1 671.1197 91.4824 20.433 0.148
OBS: 59374.189 p48r 856.6433 134.1296 20.168 0.17
OBS: 59374.232 p48g 762.7812 124.3509 20.294 0.177
OBS: 59375.36 g_PS1 468.5975 108.7618 20.823 0.252
OBS: 59375.36 r_PS1 818.088 70.0743 20.218 0.093
OBS: 59376.273 p48r 899.4976 87.8176 20.115 0.106
OBS: 59378.232 p48r 871.7661 90.7307 20.149 0.113
OBS: 59378.38 g_PS1 346.7369 74.0907 21.15 0.232
OBS: 59378.39 i_PS1 651.0285 74.3528 20.466 0.124
OBS: 59380.191 p48r 902.8176 159.6529 20.111 0.192
OBS: 59381.33 r_PS1 859.8051 53.8499 20.164 0.068
OBS: 59382.28 z_PS1 525.7751 96.8513 20.698 0.2
OBS: 59382.28 g_PS1 311.6018 59.9821 21.266 0.209
OBS: 59384.205 p48r 1194.5381 277.253 19.807 0.252
OBS: 59390.29 i_PS1 855.0667 121.282 20.17 0.154
OBS: 59390.29 r_PS1 784.8741 172.0492 20.263 0.238
OBS: 59392.33 z_PS1 413.0475 83.3143 20.96 0.219
OBS: 59392.34 r_PS1 474.242 60.2774 20.81 0.138
OBS: 59393.188 p48r 454.9881 85.4881 20.855 0.204
OBS: 59394.3 i_PS1 556.6728 46.1443 20.636 0.09
OBS: 59394.3 r_PS1 480.3967 39.3791 20.796 0.089
OBS: 59396.31 i_PS1 440.1493 53.9172 20.891 0.133
OBS: 59402.248 p48r 456.6674 110.6194 20.851 0.263
OBS: 59402.3 i_PS1 303.3891 63.431 21.295 0.227
OBS: 59404.29 r_PS1 327.4915 61.2311 21.212 0.203
OBS: 59424.27 r_PS1 311.315 71.9697 21.267 0.251
END:
