# 2021nyt 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.03 (yyyy.mm.dd); 12.13 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021nyt
RA: 245.807564
DEC: 26.47594
MWEBV: 0.027
REDSHIFT_HELIO: 0.0645
REDSHIFT_CMB: 0.06488072170384873
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59376.21953307259
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 95
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59363.279 p48g 641.5049 103.3984 20.482 0.175
OBS: 59363.359 p48r 668.6518 100.9996 20.437 0.164
OBS: 59363.49 r_PS1 767.715 90.5077 20.287 0.128
OBS: 59365.332 p48g 1223.4888 86.7694 19.781 0.077
OBS: 59365.36 r_PS1 1323.1223 60.932 19.696 0.05
OBS: 59365.36 i_PS1 1254.2959 67.0045 19.754 0.058
OBS: 59365.414 p48r 1294.1958 101.3199 19.72 0.085
OBS: 59367.297 p48g 2220.2404 75.6619 19.134 0.037
OBS: 59367.375 p48r 2274.05 100.5349 19.108 0.048
OBS: 59368.37 g_PS1 2346.3889 110.2163 19.074 0.051
OBS: 59368.37 z_PS1 2034.2297 234.1994 19.229 0.125
OBS: 59369.317 p48r 2943.066 73.1879 18.828 0.027
OBS: 59369.369 p48g 3141.9553 81.0277 18.757 0.028
OBS: 59371.318 p48r 3926.4494 79.5607 18.515 0.022
OBS: 59371.381 p48g 4032.7379 81.7144 18.486 0.022
OBS: 59372.46 g_PS1 4055.0854 67.2277 18.48 0.018
OBS: 59372.47 i_PS1 3098.846 62.7911 18.772 0.022
OBS: 59374.278 p48r 4673.0454 103.2968 18.326 0.024
OBS: 59375.43 g_PS1 4458.6153 86.2373 18.377 0.021
OBS: 59375.43 r_PS1 4508.167 83.0435 18.365 0.02
OBS: 59376.295 p48r 5086.2769 89.008 18.234 0.019
OBS: 59376.351 p48g 4906.8186 90.3869 18.273 0.02
OBS: 59378.296 p48r 4879.7773 98.8777 18.279 0.022
OBS: 59378.341 p48g 4773.0941 87.9236 18.303 0.02
OBS: 59379.31 g_PS1 4349.1061 68.0965 18.404 0.017
OBS: 59379.32 i_PS1 3059.1446 59.1691 18.786 0.021
OBS: 59380.297 p48g 4462.7237 234.2883 18.376 0.057
OBS: 59380.341 p48r 5035.0061 134.4849 18.245 0.029
OBS: 59382.29 i_PS1 2852.3315 78.8128 18.862 0.03
OBS: 59382.29 g_PS1 3600.8083 89.5446 18.609 0.027
OBS: 59382.349 p48r 4707.6048 121.4042 18.318 0.028
OBS: 59382.383 p48g 3840.6082 127.3439 18.539 0.036
OBS: 59383.29 z_PS1 2124.2225 111.5194 19.182 0.057
OBS: 59383.29 g_PS1 3525.3318 103.9024 18.632 0.032
OBS: 59384.27 g_PS1 3457.801 165.6071 18.653 0.052
OBS: 59384.28 i_PS1 2553.8771 124.667 18.982 0.053
OBS: 59384.326 p48r 4157.1912 141.6698 18.453 0.037
OBS: 59385.27 r_PS1 3840.6082 123.8066 18.539 0.035
OBS: 59385.27 z_PS1 1991.5903 152.2488 19.252 0.083
OBS: 59386.213 p48r 3467.3685 194.8074 18.65 0.061
OBS: 59386.32 r_PS1 3557.9513 235.9436 18.622 0.072
OBS: 59386.352 p48g 2900.0134 192.3128 18.844 0.072
OBS: 59388.3 r_PS1 3375.981 161.6885 18.679 0.052
OBS: 59388.3 z_PS1 1648.9216 130.6093 19.457 0.086
OBS: 59390.27 p48g 1475.0271 195.6312 19.578 0.144
OBS: 59390.331 p48r 3445.0855 155.479 18.657 0.049
OBS: 59391.42 i_PS1 2181.725 84.3966 19.153 0.042
OBS: 59391.42 r_PS1 2986.7578 167.8052 18.812 0.061
OBS: 59392.333 p48r 3003.3089 135.5413 18.806 0.049
OBS: 59394.227 p48g 1167.3471 82.7878 19.832 0.077
OBS: 59394.274 p48r 2873.4259 97.9214 18.854 0.037
OBS: 59394.4 z_PS1 1811.3401 96.7617 19.355 0.058
OBS: 59394.4 r_PS1 2500.3454 52.9668 19.005 0.023
