# 2021qxu 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.17 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021qxu
RA: 7.872368
DEC: 17.383359
MWEBV: 0.057
REDSHIFT_HELIO: 0.038
REDSHIFT_CMB: 0.037185863296743005
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59404.45
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 93
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59390.39 p48r 3039.485 263.1501 18.793 0.094
OBS: 59390.453 p48g 2777.1542 227.649 18.891 0.089
OBS: 59393.454 p48r 5510.6141 182.7167 18.147 0.036
OBS: 59393.6 r_PS1 5105.05 84.6346 18.23 0.018
OBS: 59393.6 i_PS1 5142.8043 104.2074 18.222 0.022
OBS: 59395.435 p48g 5975.8543 231.1665 18.059 0.042
OBS: 59399.42 p48g 7277.798 167.5775 17.845 0.025
OBS: 59400.57 g_PS1 8128.3052 104.8102 17.725 0.014
OBS: 59400.57 r_PS1 9384.2593 95.0754 17.569 0.011
OBS: 59401.416 p48g 7914.0721 138.4935 17.754 0.019
OBS: 59401.461 p48r 10073.9548 148.4553 17.492 0.016
OBS: 59401.55 i_PS1 7550.9223 132.1385 17.805 0.019
OBS: 59401.56 g_PS1 7914.0721 131.2043 17.754 0.018
OBS: 59404.408 p48g 8165.8237 142.899 17.72 0.019
OBS: 59404.45 p48r 10715.1931 148.0359 17.425 0.015
OBS: 59406.462 p48r 10064.6807 129.7788 17.493 0.014
OBS: 59406.58 g_PS1 7502.3963 138.1992 17.812 0.02
OBS: 59409.424 p48g 6528.2984 126.2685 17.963 0.021
OBS: 59409.46 p48r 9718.517 125.3152 17.531 0.014
OBS: 59410.56 r_PS1 8448.8967 108.9441 17.683 0.014
OBS: 59410.57 g_PS1 6188.7081 119.7002 18.021 0.021
OBS: 59411.414 p48g 5738.5213 126.849 18.103 0.024
OBS: 59411.462 p48r 8986.695 132.4328 17.616 0.016
OBS: 59412.51 g_PS1 5311.2898 102.7295 18.187 0.021
OBS: 59412.52 i_PS1 4924.9293 95.2566 18.269 0.021
OBS: 59414.427 p48g 4434.044 93.9298 18.383 0.023
OBS: 59414.463 p48r 7125.2482 105.0015 17.868 0.016
OBS: 59417.436 p48g 3574.3741 181.0666 18.617 0.055
OBS: 59417.458 p48r 6462.4917 267.8479 17.974 0.045
OBS: 59417.52 z_PS1 4630.2027 204.6996 18.336 0.048
OBS: 59417.52 r_PS1 6480.3729 131.3102 17.971 0.022
OBS: 59420.56 i_PS1 4450.4098 127.0683 18.379 0.031
OBS: 59420.56 r_PS1 6053.4087 144.9603 18.045 0.026
OBS: 59425.429 p48g 2053.0522 253.3848 19.219 0.134
OBS: 59425.453 p48r 6058.9867 887.3047 18.044 0.159
OBS: 59428.453 p48g 1320.6873 87.5807 19.698 0.072
OBS: 59428.467 p48r 4861.8326 107.4699 18.283 0.024
OBS: 59431.47 i_PS1 4077.5566 108.9115 18.474 0.029
OBS: 59431.48 g_PS1 1084.4262 65.9204 19.912 0.066
OBS: 59434.369 p48r 3385.3221 90.4219 18.676 0.029
OBS: 59434.437 p48g 744.732 66.5346 20.32 0.097
OBS: 59435.46 r_PS1 2924.1524 67.3311 18.835 0.025
OBS: 59435.46 g_PS1 816.5824 65.4327 20.22 0.087
OBS: 59436.383 p48r 3059.1446 90.1624 18.786 0.032
OBS: 59436.426 p48g 675.4606 72.1662 20.426 0.116
OBS: 59438.61 i_PS1 2718.9424 72.6229 18.914 0.029
OBS: 59438.62 g_PS1 762.7812 52.6911 20.294 0.075
OBS: 59439.392 p48r 2620.5956 96.5463 18.954 0.04
OBS: 59439.422 p48g 806.8634 83.2326 20.233 0.112
OBS: 59441.59 g_PS1 829.4687 53.4778 20.203 0.07
OBS: 59441.6 i_PS1 2220.2404 85.8865 19.134 0.042
OBS: 59442.329 p48g 392.2835 82.3779 21.016 0.228
OBS: 59442.424 p48r 2240.784 99.0642 19.124 0.048
OBS: 59446.379 p48r 1796.3874 170.417 19.364 0.103
OBS: 59446.458 p48g 627.4802 93.0468 20.506 0.161
OBS: 59446.59 r_PS1 1747.4309 72.4249 19.394 0.045
OBS: 59446.59 i_PS1 1942.6743 76.9386 19.279 0.043
OBS: 59448.59 r_PS1 1684.2246 133.4056 19.434 0.086
OBS: 59448.6 z_PS1 1661.1161 125.4554 19.449 0.082
OBS: 59449.364 p48r 2034.2297 316.6375 19.229 0.169
OBS: 59453.34 p48r 1581.9764 128.2208 19.502 0.088
OBS: 59455.6 z_PS1 1171.6557 160.7911 19.828 0.149
OBS: 59459.341 p48g 369.1476 63.9195 21.082 0.188
OBS: 59459.362 p48r 1277.615 78.8407 19.734 0.067
OBS: 59461.381 p48r 1179.234 84.7169 19.821 0.078
OBS: 59461.413 p48g 534.0722 72.3091 20.681 0.147
OBS: 59463.369 p48g 430.1303 64.1787 20.916 0.162
OBS: 59463.38 p48r 1026.1244 72.7724 19.972 0.077
OBS: 59464.4 i_PS1 1092.4461 104.6427 19.904 0.104
OBS: 59465.362 p48r 1232.5371 84.0054 19.773 0.074
OBS: 59465.403 p48g 413.8091 72.7963 20.958 0.191
OBS: 59467.381 p48r 1099.5121 77.977 19.897 0.077
OBS: 59467.425 p48g 357.7668 73.8114 21.116 0.224
OBS: 59470.39 i_PS1 724.436 79.4004 20.35 0.119
OBS: 59470.39 g_PS1 364.0827 65.0545 21.097 0.194
OBS: 59470.396 p48g 480.3967 80.9705 20.796 0.183
OBS: 59472.393 p48r 816.5824 86.4915 20.22 0.115
OBS: 59472.42 p48g 307.6097 69.1298 21.28 0.244
OBS: 59474.295 p48r 1027.0699 135.2732 19.971 0.143
OBS: 59475.51 r_PS1 1213.3889 276.0404 19.79 0.247
OBS: 59477.277 p48r 1205.591 178.7728 19.797 0.161
OBS: 59482.49 z_PS1 463.0203 105.335 20.836 0.247
OBS: 59482.49 r_PS1 664.9669 84.5191 20.443 0.138
OBS: 59485.52 g_PS1 472.9334 96.7005 20.813 0.222
OBS: 59488.265 p48g 399.5766 86.4855 20.996 0.235
OBS: 59488.32 p48r 523.3594 82.4274 20.703 0.171
OBS: 59490.34 p48g 376.357 66.9011 21.061 0.193
OBS: 59497.302 p48r 368.4682 91.9697 21.084 0.271
OBS: 59514.41 i_PS1 319.4479 61.4925 21.239 0.209
OBS: 59517.28 g_PS1 300.8846 60.9675 21.304 0.22
OBS: 59518.271 p48g 275.1693 53.9828 21.401 0.213
OBS: 59519.27 r_PS1 245.9235 53.0019 21.523 0.234
OBS: 59525.38 g_PS1 371.5352 64.333 21.075 0.188
END:
