# 2021rdf 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.17 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021rdf
RA: 2.481958
DEC: 19.976039
MWEBV: 0.028
REDSHIFT_HELIO: 0.109
REDSHIFT_CMB: 0.10700081110779491
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59401.56
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 70
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59387.58 i_PS1 271.3938 64.9904 21.416 0.26
OBS: 59387.59 r_PS1 333.2729 53.7172 21.193 0.175
OBS: 59391.405 p48r 854.2795 190.4106 20.171 0.242
OBS: 59391.444 p48g 1233.6728 211.3434 19.772 0.186
OBS: 59393.368 p48g 1389.3127 328.8583 19.643 0.257
OBS: 59393.455 p48r 1426.9212 144.5667 19.614 0.11
OBS: 59393.6 i_PS1 1119.9535 77.3636 19.877 0.075
OBS: 59393.6 r_PS1 1179.234 60.8224 19.821 0.056
OBS: 59396.405 p48r 1574.7079 155.1885 19.507 0.107
OBS: 59396.448 p48g 1796.3874 173.7261 19.364 0.105
OBS: 59400.413 p48g 2267.7752 100.2575 19.111 0.048
OBS: 59400.46 p48r 2191.7953 111.0295 19.148 0.055
OBS: 59400.57 r_PS1 2139.9321 47.3028 19.174 0.024
OBS: 59400.57 g_PS1 2205.972 60.9533 19.141 0.03
OBS: 59401.55 i_PS1 1580.52 78.6085 19.503 0.054
OBS: 59401.56 g_PS1 2468.3117 70.4754 19.019 0.031
OBS: 59403.404 p48g 2398.8329 97.2139 19.05 0.044
OBS: 59403.434 p48r 2305.6851 91.3154 19.093 0.043
OBS: 59406.463 p48r 2246.9841 95.1992 19.121 0.046
OBS: 59406.57 g_PS1 2312.0648 95.8271 19.09 0.045
OBS: 59406.58 r_PS1 2407.6868 75.3971 19.046 0.034
OBS: 59409.437 p48g 2128.139 88.204 19.18 0.045
OBS: 59409.447 p48r 2359.3914 86.9232 19.068 0.04
OBS: 59410.56 r_PS1 2093.1483 77.1144 19.198 0.04
OBS: 59410.57 g_PS1 1728.2239 93.9134 19.406 0.059
OBS: 59411.415 p48g 1997.1009 99.3275 19.249 0.054
OBS: 59411.455 p48r 2183.7353 98.5534 19.152 0.049
OBS: 59412.51 g_PS1 1676.4863 69.4845 19.439 0.045
OBS: 59412.52 i_PS1 1355.1894 73.6424 19.67 0.059
OBS: 59414.416 p48g 1709.228 80.2871 19.418 0.051
OBS: 59414.447 p48r 2043.6193 77.172 19.224 0.041
OBS: 59414.56 r_PS1 1845.0154 67.9729 19.335 0.04
OBS: 59416.433 p48r 2425.4929 471.3659 19.038 0.211
OBS: 59417.52 r_PS1 1523.3511 141.7089 19.543 0.101
OBS: 59418.405 p48r 1845.0154 239.6044 19.335 0.141
OBS: 59418.461 p48g 1617.3351 259.194 19.478 0.174
OBS: 59420.56 r_PS1 1531.7927 122.7425 19.537 0.087
OBS: 59420.56 i_PS1 1011.1137 108.0273 19.988 0.116
OBS: 59422.434 p48r 1326.7833 162.5277 19.693 0.133
OBS: 59422.458 p48g 903.6495 188.9303 20.11 0.227
OBS: 59424.401 p48r 1228.0046 154.9517 19.777 0.137
OBS: 59424.437 p48g 937.562 158.8889 20.07 0.184
OBS: 59427.368 p48g 534.5644 104.871 20.68 0.213
OBS: 59427.425 p48r 1082.4304 101.6894 19.914 0.102
OBS: 59428.52 z_PS1 549.5409 85.0325 20.65 0.168
OBS: 59428.53 g_PS1 537.5266 67.3309 20.674 0.136
OBS: 59429.405 p48r 1103.5703 79.2812 19.893 0.078
OBS: 59429.431 p48g 513.334 78.4845 20.724 0.166
OBS: 59431.47 i_PS1 914.5343 75.8085 20.097 0.09
OBS: 59431.48 g_PS1 333.58 55.9174 21.192 0.182
OBS: 59434.371 p48r 892.0722 67.3736 20.124 0.082
OBS: 59435.46 r_PS1 796.5261 44.7513 20.247 0.061
OBS: 59435.46 g_PS1 425.4025 47.409 20.928 0.121
OBS: 59436.381 p48r 909.4943 81.2545 20.103 0.097
OBS: 59436.424 p48g 419.5657 65.3074 20.943 0.169
OBS: 59438.61 i_PS1 616.0274 46.5253 20.526 0.082
OBS: 59438.62 g_PS1 330.8263 46.9241 21.201 0.154
OBS: 59439.394 p48r 879.8325 95.622 20.139 0.118
OBS: 59441.59 g_PS1 226.9865 54.9834 21.61 0.263
OBS: 59441.6 i_PS1 640.9144 76.1492 20.483 0.129
OBS: 59446.59 i_PS1 513.334 60.9909 20.724 0.129
OBS: 59446.59 r_PS1 439.7441 65.2081 20.892 0.161
OBS: 59453.34 p48r 696.3058 116.0792 20.393 0.181
OBS: 59458.58 i_PS1 521.4348 104.6965 20.707 0.218
OBS: 59459.361 p48r 327.19 65.3936 21.213 0.217
OBS: 59461.371 p48r 347.3762 64.9489 21.148 0.203
OBS: 59465.356 p48r 349.3011 77.8558 21.142 0.242
OBS: 59469.36 p48r 454.9881 66.6305 20.855 0.159
OBS: 59482.49 r_PS1 229.5091 50.7326 21.598 0.24
OBS: 59491.49 r_PS1 200.8168 44.9451 21.743 0.243
END:
