# ZTF18aaroihe 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2022.11.24 (yyyy.mm.dd); 17.41 hrs (GMT).
# Script used: SNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: ZTF18aaroihe
RA: 173.2605831
DEC: 62.7439578
MWEBV: 0.009359241070062786
REDSHIFT_HELIO: 0.04825287
REDSHIFT_CMB: 0.04825287
REDSHIFT_CMB_ERR: 1e-06
PEAKMJD: 2458259.6468634196
FILTERS: p48g,p48i,p48r
# -----------------------------------------------------------
NOBS: 118
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 2458248.6994444 p48g 1937.9561 87.8932 19.281640165423166 0.04924201521014452
OBS: 2458248.7003588 p48g 1900.9263 87.6872 19.30258677461173 0.050083546904740504
OBS: 2458249.7024306 p48g 2757.8667 106.3061 18.898566824290846 0.04185130897775341
OBS: 2458258.6752778 p48g 8768.6663 105.411 17.6426661438986 0.01305198830876649
OBS: 2458267.6937616 p48g 5608.8583 261.3465 18.127813836367665 0.050590226218489236
OBS: 2458269.742419 p48g 5029.18 264.4399 18.246257059032907 0.0570892150191863
OBS: 2458269.7434144 p48g 4430.0549 263.8213 18.383977237607834 0.0646584106567352
OBS: 2458270.7435417 p48g 4348.5238 218.9701 18.40414536196854 0.05467230249130176
OBS: 2458272.7043519 p48g 3566.3064 103.1548 18.619453370904882 0.03140473516504993
OBS: 2458273.7432176 p48g 3029.8195 104.1036 18.796458115283095 0.03730552291397463
OBS: 2458274.7566435 p48g 2469.7067 90.0199 19.01838652881893 0.03957469783115433
OBS: 2458274.7595023 p48g 2694.8558 90.803 18.92366117884321 0.03658380656597237
OBS: 2458276.7247222 p48g 2107.0919 94.9496 19.19079130078988 0.04892535413503329
OBS: 2458277.7226389 p48g 1974.627 111.1724 19.26128729985475 0.06112742136041726
OBS: 2458277.7255903 p48g 2232.9299 114.0164 19.127812296650198 0.0554391607867316
OBS: 2458278.7140509 p48g 1676.8265 106.6472 19.43877966149629 0.06905347507749394
OBS: 2458279.723831 p48g 1498.6434 99.3127 19.560754268433005 0.07194999277650017
OBS: 2458280.7232986 p48g 1342.0047 99.0967 19.680614909000496 0.08017323627189865
OBS: 2458280.724213 p48g 1173.04 100.6042 19.826717921179192 0.09311674543877135
OBS: 2458282.761412 p48g 1199.3863 114.4889 19.802602288156752 0.10364033313209366
OBS: 2458283.7567245 p48g 1213.4827 107.4634 19.78991600884098 0.09615046879510394
OBS: 2458283.7590509 p48g 1040.7858 112.5214 19.95659656256752 0.11738109923366091
OBS: 2458284.7384144 p48g 1127.0802 113.1582 19.870112916515154 0.1090072483112316
OBS: 2458286.7215509 p48g 887.1973 93.7628 20.129949507066815 0.11474523957245028
OBS: 2458289.6839468 p48g 567.8571 158.4786 20.61440241618199 0.3030093339099138
OBS: 2458246.7995023 p48g 702.4632 101.0577 20.383441012482933 0.15619610702811937
OBS: 2458247.6992477 p48g 1055.1486 92.6987 19.94171597044314 0.09538597109356381
OBS: 2458248.6957176 p48g 1879.3466 91.6383 19.314982815767102 0.05294128141586712
OBS: 2458248.6966319 p48g 1866.5549 91.8609 19.32239805881253 0.05343359161671528
OBS: 2458249.6996991 p48g 2352.3916 149.2024 19.071225972046896 0.06886372418236358
OBS: 2458249.7006019 p48g 2734.9242 109.3473 18.90763676744753 0.04340973100167837
OBS: 2458255.7037847 p48g 7604.266 96.7691 17.797356747547624 0.013816681754600827
OBS: 2458258.6785185 p48g 8680.055 107.4422 17.653693807568445 0.01343929700611562
OBS: 2458262.7167593 p48g 8416.7903 140.7318 17.687133727362337 0.01815390335650461
OBS: 2458272.7217593 p48g 3487.3789 102.6923 18.643752159118904 0.03197149011884474
OBS: 2458276.7252315 p48g 2023.7144 94.2892 19.234626953657568 0.05058677946510597
OBS: 2458279.6933565 p48g 1399.891 97.7212 19.634764465060858 0.07579120412074367
OBS: 2458282.7623727 p48g 996.848 108.6564 20.003427686419222 0.11834517139181072
OBS: 2458288.7198264 p48g 624.9182 128.2227 20.510442090362908 0.22277480179325676
OBS: 2458290.7296065 p48g 768.2462 161.8659 20.28624898517655 0.22875959300382118
OBS: 2458293.6799769 p48g 665.1815 211.4025 20.44264956391582 0.3450597354796393
OBS: 2458293.6929282 p48g 707.2802 213.6297 20.376021290163358 0.32794011229793646
OBS: 2458293.7115856 p48g 682.9683 211.8074 20.413998708269546 0.3367169834417573
OBS: 2458245.6638079 p48r 571.0271 162.21 20.6083581895311 0.3084218297537056
OBS: 2458246.7352778 p48r 788.4384 124.7228 20.258080557573784 0.17175221860974935
OBS: 2458247.7390856 p48r 1581.7715 110.44 19.502140614177556 0.07580657250018831
OBS: 2458256.7822106 p48r 7487.7998 121.0764 17.814114436385815 0.017556156938729736
OBS: 2458257.7391551 p48r 7902.5858 140.2325 17.75557694665379 0.01926654008896171
OBS: 2458257.7400694 p48r 7835.4564 146.3719 17.764839259417535 0.0202823195630409
OBS: 2458258.7158218 p48r 8066.376 135.809 17.733303844044976 0.018279919427784983
OBS: 2458260.6762963 p48r 8226.9237 147.8078 17.711906320233524 0.019506717426154896
OBS: 2458260.6811111 p48r 8291.7076 148.8283 17.703390048888288 0.01948793817416059
OBS: 2458263.720787 p48r 7987.5739 107.7097 17.743962773150738 0.014640786282887303
OBS: 2458266.7426042 p48r 6621.5254 242.4936 17.94760488331294 0.039761846716297906
OBS: 2458266.7435185 p48r 6510.7301 242.0011 17.96592576182412 0.04035636594789877
OBS: 2458267.800706 p48r 5976.1497 282.2254 18.05894632681545 0.05127420839832751
OBS: 2458269.6922801 p48r 4868.4085 173.3185 18.281532472024256 0.0386529075935331
OBS: 2458269.693287 p48r 4955.9556 171.3232 18.26218147895715 0.037532974288097445
OBS: 2458271.6780324 p48r 5046.538 138.2081 18.24251612949896 0.029734743381401366
OBS: 2458277.760162 p48r 4557.2831 143.971 18.353234974639726 0.03429993455860808
OBS: 2458277.7610764 p48r 4319.8645 145.2015 18.411324692508167 0.03649431673262131
OBS: 2458278.746088 p48r 4075.7629 134.8738 18.474477728559584 0.035928831978576936
OBS: 2458279.6790856 p48r 3978.9971 127.741 18.500565943377556 0.0348562902447077
OBS: 2458280.6768519 p48r 3950.1819 152.2094 18.508457252758717 0.0418358523941498
OBS: 2458280.6785995 p48r 3635.4609 141.134 18.59860130696922 0.04214989155748494
OBS: 2458281.7010417 p48r 3626.5966 127.5969 18.60125187795362 0.038200166923968534
OBS: 2458282.7031481 p48r 3584.3536 124.0356 18.613972890156926 0.03757162086612637
OBS: 2458283.703831 p48r 3106.2024 129.5464 18.76942563274497 0.04528142517334273
OBS: 2458283.7063194 p48r 3126.2329 132.6475 18.762446681093223 0.04606827123749708
OBS: 2458284.6978472 p48r 2760.4873 142.3229 18.897535612895098 0.055977482339833934
OBS: 2458286.7838542 p48r 2558.5523 120.6078 18.98001423521587 0.05118058681418652
OBS: 2458289.7256366 p48r 1620.2877 169.4035 19.476019631901053 0.11351533304518295
OBS: 2458292.7417361 p48r 1876.5891 192.4119 19.31657701139322 0.11132356398191703
OBS: 2458295.7389815 p48r 1723.7996 229.0405 19.408783071579055 0.14426130939163845
OBS: 2458305.6823032 p48r 993.8243 184.4119 20.006725953621462 0.2014668443266608
OBS: 2458244.6817593 p48r 594.0734 129.3526 20.56539964425116 0.2364063919854976
OBS: 2458244.6826736 p48r 505.1779 127.9347 20.741389036278132 0.27495912265271677
OBS: 2458247.7400347 p48r 1272.2046 115.9479 19.73860756134986 0.09895332633187835
OBS: 2458248.7474074 p48r 1891.3937 124.6213 19.308045159441335 0.07153763734966687
OBS: 2458254.6775 p48r 6567.9918 119.6445 17.95641849280316 0.019778101211014556
OBS: 2458254.6840741 p48r 6644.242 119.0107 17.94388639824453 0.01944754936106254
OBS: 2458255.7468056 p48r 7038.2681 129.1734 17.881335487921906 0.019926528522713798
OBS: 2458256.7836458 p48r 7298.3808 119.4164 17.8419337040607 0.017764852041742264
OBS: 2458257.7438657 p48r 7806.0268 140.1064 17.76892490215188 0.019487323785741934
OBS: 2458257.7448495 p48r 7628.8233 139.5322 17.793856109780705 0.019858258678168515
OBS: 2458258.7167708 p48r 7998.3017 140.8881 17.742505548965728 0.01912497981237008
OBS: 2458260.6772338 p48r 8382.1802 154.1888 17.691607512252972 0.01997193970364559
OBS: 2458260.6806134 p48r 8331.3512 151.0107 17.698211396576188 0.019679610135101153
OBS: 2458262.7000231 p48r 8093.0155 126.9022 17.72972406543112 0.017024845695594062
OBS: 2458263.7316204 p48r 7271.5757 114.8616 17.84592867451316 0.017150262581272287
OBS: 2458266.7444676 p48r 6446.8511 244.0858 17.97663089777991 0.04110732154276844
OBS: 2458269.6937847 p48r 5017.623 175.7451 18.248754925476455 0.03802852532220545
OBS: 2458276.7084954 p48r 4114.3808 116.1342 18.464238779236794 0.030646439608543383
OBS: 2458279.6776273 p48r 3927.1362 131.2596 18.5148100854506 0.03628937502678764
OBS: 2458282.706875 p48r 3167.3465 129.2277 18.748261058810172 0.044298015752255365
OBS: 2458288.7442824 p48r 2120.9419 146.9454 19.18367808962947 0.0752231687326963
OBS: 2458290.7543866 p48r 1849.0369 174.6752 19.332636059082997 0.1025675707069322
OBS: 2458291.7485532 p48r 1742.9023 184.7264 19.39681740311931 0.11507480778056928
OBS: 2458293.7436574 p48r 1342.8139 188.4417 19.67996039769786 0.15236506871048155
OBS: 2458293.791875 p48r 1467.9335 217.8885 19.583234033252577 0.1611581736219273
OBS: 2458297.7559722 p48r 1077.1373 297.769 19.919322363882014 0.30014617637234453
OBS: 2458300.6841667 p48r 1185.9202 150.0638 19.814861293226514 0.13738670425319693
OBS: 2458306.6761806 p48r 846.5468 213.8114 20.1808725290963 0.2742232235251791
OBS: 2458312.6999884 p48r 619.2936 176.9529 20.520258527025558 0.31023115519786104
OBS: 2458247.6665162 p48i 827.3408 201.0726 20.205788932281557 0.2638717025932754
OBS: 2458257.6979861 p48i 4217.3356 232.9223 18.437404588249564 0.05996492133467148
OBS: 2458266.7229861 p48i 2481.6573 316.0417 19.01314547465001 0.1382696752943993
OBS: 2458278.6761574 p48i 2772.8782 242.9459 18.89267303355036 0.09512683382871122
OBS: 2458283.6765972 p48i 2884.0443 277.8609 18.849995175455497 0.10460437787933792
OBS: 2458292.6832523 p48i 1185.8296 258.9343 19.814944280158674 0.237078210877494
OBS: 2458247.6655671 p48i 757.9665 201.0175 20.300875034298656 0.2879441796266269
OBS: 2458257.6917708 p48i 4969.5109 233.0636 18.259215889177234 0.05091962445022339
OBS: 2458263.8281366 p48i 3452.5234 291.1065 18.654658430682264 0.09154604364402304
OBS: 2458267.7387847 p48i 2485.0119 315.1918 19.011678818507285 0.13771167008325572
OBS: 2458277.683912 p48i 3030.0935 223.4933 18.79635994266784 0.08008160356930873
OBS: 2458283.6756366 p48i 2630.1954 272.261 18.950029950182785 0.11238846484482816
OBS: 2458288.6812269 p48i 2178.6695 245.4739 19.154521614667594 0.12233150193537715
OBS: 2458292.6846644 p48i 1906.2692 251.6897 19.299539424644937 0.1433525774740702
END:
