SNID SEARCH_PEAKMJD REDSHIFT_CMB REDSHIFT_CMB_ERR PEAKMJD_NOTE REDSHIFT_NOTE
2004ef 53264.16 0.03006 0.0001 ST_BYSN DJ_FLOW
2004eo 53278.29 0.01524 0.0001 ST_BYSN DJ_FLOW
2004ey 53304.31 0.01543 0.0001 ST_BYSN DJ_FLOW
2004gs 53355.94 0.02785 0.0001 ST_BYSN DJ_FLOW
2005A 53381.28 0.01843 0.0001 ST_BYSN DJ_FLOW
2005M 53406.43 0.02288 0.0001 ST_BYSN DJ_FLOW
2005ag 53416.24 0.08353 0.0001 ST_BYSN DJ_FLOW
2005al 53431.7 0.0165 0.0001 ST_BYSN DJ_FLOW
2005am 53434.45 0.00914 9.7e-05 ST_BYSN AA_FLOW
2005el 53646.89 0.01533 0.0001 ST_BYSN DJ_FLOW
2005eq 53655.27 0.02834 0.0001 ST_BYSN DJ_FLOW
2005hc 53667.79 0.04606 0.0001 ST_BYSN DJ_FLOW
2005hj 53676.02 0.05732 0.0001 ST_BYSN DJ_FLOW
2005iq 53688.27 0.03354 0.0001 ST_BYSN DJ_FLOW
2005kc 53698.04 0.0145 0.0001 ST_BYSN DJ_FLOW
2005ki 53705.4 0.02 0.0001 ST_BYSN DJ_FLOW
2005ku 53700.28 0.04469 0.0001 ST_BYSN DJ_FLOW
2005lu 53712.29 0.0317 0.0001 ST_BYSN DJ_FLOW
2005na 53741.08 0.02716 0.0001 ST_BYSN DJ_FLOW
2006D 53757.46 0.00898 1.7e-05 ST_BYSN AA_FLOW
2006X 53786.18 0.00365 0.00025 ST_BYSN AA_EFF
2006ax 53827.47 0.01792 0.0001 ST_BYSN DJ_FLOW
2006bh 53833.42 0.01088 0.0001 ST_BYSN DJ_FLOW
2006br 53852.24 0.02681 0.0001 ST_BYSN DJ_FLOW
2006ej 53976.43 0.02083 0.0001 ST_BYSN DJ_FLOW
2006eq 53977.50 0.04811 0.0001 ST_BYSN DJ_FLOW
2006et 53994.32 0.02233 0.0001 ST_BYSN DJ_FLOW
2006ev 53990.67 0.02814 0.0001 ST_BYSN DJ_FLOW
2006gj 53999.86 0.02824 0.0001 ST_BYSN DJ_FLOW
2006hb 54000.17 0.01567 0.0001 ST_BYSN DJ_FLOW
2006hx 54022.23 0.04483 5e-05 ST_BYSN AA_CLUS
2006is 54009.38 0.02986 0.0001 ST_BYSN DJ_FLOW
2006kf 54040.67 0.02071 0.0001 ST_BYSN DJ_FLOW
2006lu 54036.13 0.05317 0.0001 ST_BYSN DJ_FLOW
2006ob 54063.29 0.05906 0.0001 ST_BYSN DJ_FLOW
2006os 54064.55 0.03332 0.0001 ST_BYSN DJ_FLOW
2007S 54144.63 0.01522 0.0001 ST_BYSN DJ_FLOW
2007af 54174.49 0.00556 0.00018 ST_BYSN AA_EFF
2007ai 54174.23 0.03277 0.0001 ST_BYSN DJ_FLOW
2007as 54183.0 0.0184 0.0001 ST_BYSN DJ_FLOW
2007bc 54201.01 0.02108 0.0001 ST_BYSN DJ_FLOW
2007bd 54207.67 0.03151 0.0001 ST_BYSN DJ_FLOW
2007bm 54224.69 0.00658 0.000314 ST_BYSN AA_EFF
2007ca 54227.9 0.01444 0.0001 ST_BYSN DJ_FLOW
2007hj 54346.69 0.01326 0.0001 ST_BYSN DJ_FLOW
2007hx 54355.92 0.07878 0.0001 ST_BYSN DJ_FLOW
2007jd 54363.81 0.07204 0.0001 ST_BYSN DJ_FLOW
2007jg 54366.72 0.03822 0.0001 ST_BYSN DJ_FLOW
2007le 54398.32 0.00647 3e-06 ST_BYSN AA_FLOW
2007nq 54397.38 0.04507 0.0001 ST_BYSN DJ_FLOW
2007on 54417.72 0.00499 0.000454 ST_BYSN AA_EFF
2007st 54453.78 0.02124 0.0001 ST_BYSN DJ_FLOW
2007ux 54466.47 0.03311 0.0001 ST_BYSN DJ_FLOW
2008C 54466.28 0.0176 0.0001 ST_BYSN DJ_FLOW
2008O 54491.04 0.03833 0.0001 ST_BYSN DJ_FLOW
2008R 54492.11 0.01286 0.0001 ST_BYSN DJ_FLOW
2008ar 54534.61 0.029 0.0001 ST_BYSN DJ_FLOW
2008bc 54550.5 0.01558 0.0001 ST_BYSN DJ_FLOW
2008bq 54563.06 0.03355 0.0001 ST_BYSN DJ_FLOW
2008cc 54573.96 0.00958 0.0001 ST_BYSN DJ_FLOW
2008cf 54595.75 0.04699 0.0001 ST_BYSN DJ_FLOW
2008fl 54721.22 0.02018 0.0001 ST_BYSN DJ_FLOW
2008fp 54728.03 0.00652 6.7e-05 ST_BYSN AA_FLOW
2008fr 54733.75 0.03923 0.0001 ST_BYSN DJ_FLOW
2008fu 54732.15 0.0515 0.0001 ST_BYSN DJ_FLOW
2008fw 54731.72 0.00863 1.7e-05 ST_BYSN AA_FLOW
2008gg 54752.08 0.03113 0.0001 ST_BYSN DJ_FLOW
2008gl 54768.67 0.03327 0.0001 ST_BYSN DJ_FLOW
2008go 54766.41 0.06154 0.0001 ST_BYSN DJ_FLOW
2008gp 54779.17 0.03382 0.0001 ST_BYSN DJ_FLOW
2008hj 54801.62 0.03724 0.0001 ST_BYSN DJ_FLOW
2008hu 54805.39 0.05052 0.0001 ST_BYSN DJ_FLOW
2008hv 54818.04 0.01393 0.0001 ST_BYSN DJ_FLOW
2008ia 54814.37 0.0225 0.0001 ST_BYSN DJ_FLOW
2009D 54840.98 0.02427 0.0001 ST_BYSN DJ_FLOW
2009I 54851.74 0.02545 0.0001 ST_BYSN DJ_FLOW
2009P 54867.66 0.02652 0.0001 ST_BYSN DJ_FLOW
2009Y 54876.15 0.00943 2.7e-05 ST_BYSN AA_FLOW
2009aa 54878.63 0.02869 0.0001 ST_BYSN DJ_FLOW
2009ab 54885.11 0.01132 0.0001 ST_BYSN DJ_FLOW
2009ad 54886.95 0.02865 0.0001 ST_BYSN DJ_FLOW
2009ag 54889.44 0.01019 7e-06 ST_BYSN AA_FLOW
2009al 54896.37 0.02343 0.0001 ST_BYSN DJ_FLOW
2009cz 54943.25 0.02173 0.0001 ST_BYSN DJ_FLOW
2009ds 54961.83 0.02034 0.0001 ST_BYSN DJ_FLOW
2009le 55165.45 0.0178 0.0001 ST_BYSN DJ_FLOW
