SNID	SEARCH_PEAKMJD	REDSHIFT_CMB	REDSHIFT_CMB_ERR
2019wka	58837.64647776489	0.03938237188611016	0.005
2019wqf	58836.1628522115	0.033527960183561856	0.005
2019wyp	58833.66589463544	0.08206537152199922	0.005
2019yfu	58849.851031297636	0.08571402018272933	0.005
2019yyb	58854.074098612975	0.06912153090163797	0.005
2019zfv	58849.88746711268	0.13709504969251496	0.005
2020aajf	59184.39185878486	0.06941324377479252	0.005
2020aavd	59169.360250030884	0.14166918178864885	0.005
2020aazk	59184.43870404342	0.10294373677068536	0.005
2020aazr	59191.13635900619	0.07890055920916383	0.005
2020abcn	59191.82421045786	0.0395203762424674	0.005
2020abip	59197.27521506569	0.03519788741238283	0.005
2020abkf	59188.20353513334	0.04854813558879978	0.005
2020abpt	59192.66602939084	0.13815102740038232	0.005
2020acbc	59200.228937725995	0.12977505769373732	0.005
2020aciz	59204.13050890765	0.12530706749305565	0.005
2020acjy	59203.126621226336	0.07680702149446783	0.005
2020acmm	59211.27516377165	0.05878711253375468	0.005
2020acts	59210.99811780512	0.06030231896802385	0.005
2020acxb	59201.86140382718	0.14241293269231203	0.005
2020add	58871.23182684428	0.10929560168904384	0.005
2020adkc	59218.029644129536	0.09300313433859997	0.005
2020adlp	59219.39868933711	0.07910167683863967	0.005
2020aeqp	59221.61579665668	0.06096360878532292	0.005
2020ann	58882.44835098218	0.08125183976128003	0.005
2020atv	58878.08145884177	0.08127416538101495	0.005
2020azn	58886.0558053534	0.14092279215766013	0.005
2020azs	58890.03323047056	0.1359688204087972	0.005
2020azt	58885.30120639054	0.15128002599707946	0.005
2020cyz	58911.912564870196	0.11096842751087022	0.005
2020dow	58919.13038936615	0.04831000837408905	0.005
2020dwg	58922.15955826689	0.04825090417967037	0.005
2020dyc	58919.42117841676	0.07081831610439915	0.005
2020eci	58919.651482949695	0.06959430782550036	0.005
2020ees	58928.19014388465	0.025200308966727647	0.005
2020evu	58941.7615713442	0.05843154980164611	0.005
2020ewx	58943.362538781876	0.06056746377339839	0.005
2020hr	58864.87964047486	0.08305351469848832	0.005
2020igy	58977.85826090522	0.0320152496263193	0.005
2020ilb	58980.58602569592	0.05078625618709953	0.005
2020ioz	58976.88496931424	0.06101295093990977	0.005
2020jny	58993.83143355724	0.024795182779909997	0.005
2020juq	58988.16270007455	0.12040444433978603	0.005
2020kaj	58987.23594885191	0.1409137157858129	0.005
2020kbl	58991.72640979341	0.07923991239107075	0.005
2020kvl	59012.78414041583	0.12124404028014335	0.005
2020lbf	59008.98045156009	0.05506984962932426	0.005
2020lht	59013.110539870635	0.07724410258444525	0.005
2020msu	59025.288373379844	0.1005461103999008	0.005
2020myi	59027.679835929506	0.07175956740057932	0.005
2020nbo	59027.06971698141	0.05033392129173375	0.005
2020pf	58865.72068344892	0.09620522848401425	0.005
2020pki	59047.60805378749	0.026900719872347656	0.005
2020ppe	59055.99593696486	0.03761192949935421	0.005
2020prg	59052.56867912052	0.07892987791047656	0.005
2020pst	59064.82491495414	0.04489149381948265	0.005
2020psv	59057.13623011629	0.09215031457184453	0.005
2020pyf	59056.49031710742	0.0733336630161634	0.005
2020pyy	59061.53559967808	0.1126865906678991	0.005
2020qkx	59067.76803023917	0.12575099505412024	0.005
2020qql	59075.68614118902	0.07610846578981079	0.005
2020qwb	59078.69111265729	0.06986182698584309	0.005
2020rii	59077.97876105132	0.08708099143788917	0.005
2020rkt	59078.59901461709	0.10212315751586898	0.005
2020rmg	59090.84398245644	0.03897775329832953	0.005
2020rmy	59088.36501356565	0.13691002249120365	0.005
2020row	59093.370053486135	0.08870864557950786	0.005
2020rvq	59093.447475666464	0.13115972638737183	0.005
2020ryb	59080.36219124503	0.08263500996821804	0.005
2020ryn	59085.15182585106	0.07373238657230519	0.005
2020sag	59104.454595091935	0.0387914021573037	0.005
2020scj	59096.904440625076	0.10169772497316898	0.005
2020sga	59104.45526082735	0.07781801896325935	0.005
2020sia	59102.2727228554	0.09779584717723	0.005
2020sjo	59107.25697958151	0.030885203550766738	0.005
2020skd	59101.60775731543	0.05889943285999699	0.005
2020skr	59107.27440617576	0.09825917592912536	0.005
2020svo	59112.49181001048	0.037934376190038366	0.005
2020teb	59096.99323224538	0.10329702432428634	0.005
2020tfc	59114.22158304263	0.028867144148422064	0.005
2020tht	59102.92074882552	0.05199491807377399	0.005
2020tip	59116.30087063603	0.09373475950261412	0.005
2020tqz	59111.01373856329	0.13465551779400542	0.005
2020tug	59127.20946173447	0.04875569546277947	0.005
2020ufe	59125.2418258379	0.07513079054023941	0.005
2020ulf	59129.82769320865	0.032495540269043	0.005
2020ulz	59132.9097444773	0.10276470909933333	0.005
2020usm	59126.92629054928	0.10276336498413352	0.005
