# 0 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.06.06 (yyyy.mm.dd); 15.51 hrs (EDT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 0
MWEBV: 0
REDSHIFT_HELIO: 0.02
REDSHIFT_CMB: 0.02
REDSHIFT_CMB_ERR: 0.001
PEAKMJD: 0
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 48
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: -8.16 g_PS1 23489.8273 1081.7465 16.572800438768827 0.05
OBS: -4.08 g_PS1 41682.2227 1919.5373 15.95012282607743 0.05
OBS: 0.0 g_PS1 47654.5424 2194.5728 15.80473924110247 0.05
OBS: 4.08 g_PS1 45300.0694 2086.1453 15.85975283205374 0.05
OBS: 8.16 g_PS1 35666.2131 1642.4898 16.119357499260516 0.05
OBS: 12.24 g_PS1 23760.0418 1094.1904 16.560381997049703 0.05
OBS: 16.32 g_PS1 16717.3221 769.8611 16.942083226007874 0.05
OBS: 20.4 g_PS1 10664.6823 491.1268 17.430130190420776 0.05
OBS: 24.48 g_PS1 6758.2251 311.2278 17.92541837049742 0.05
OBS: 28.560000000000002 g_PS1 5468.75 251.8452 18.155279829893804 0.05
OBS: 32.64 g_PS1 4322.3047 199.0495 18.41071155266472 0.05
OBS: 36.72 g_PS1 3904.7657 179.8211 18.52101254737797 0.05
OBS: -8.16 r_PS1 25517.7033 1175.1337 16.482896039471612 0.05
OBS: -4.08 r_PS1 44017.2106 2027.0675 15.890943707198549 0.05
OBS: 0.0 r_PS1 48556.3814 2236.104 15.78438421460281 0.05
OBS: 4.08 r_PS1 46905.3441 2160.0709 15.821944184420778 0.05
OBS: 8.16 r_PS1 38581.6536 1776.7508 16.034047907457197 0.05
OBS: 12.24 r_PS1 30347.0266 1397.5322 16.29470963748986 0.05
OBS: 16.32 r_PS1 25446.679 1171.8629 16.48592222344872 0.05
OBS: 20.4 r_PS1 24814.9264 1142.7696 16.513217521230686 0.05
OBS: 24.48 r_PS1 19935.7498 918.0752 16.75091856226753 0.05
OBS: 28.560000000000002 r_PS1 13225.8529 609.073 17.19644078034548 0.05
OBS: 32.64 r_PS1 8777.7902 404.2322 17.641537010544667 0.05
OBS: 36.72 r_PS1 8365.5038 385.2457 17.69376974208088 0.05
OBS: -8.16 i_PS1 19225.4261 885.3636 16.790310064508088 0.05
OBS: -4.08 i_PS1 35488.8659 1634.3227 16.124769696754647 0.05
OBS: 0.0 i_PS1 31022.2805 1428.6288 16.270815699469985 0.05
OBS: 4.08 i_PS1 28519.0212 1313.3495 16.36216345964801 0.05
OBS: 8.16 i_PS1 20580.1298 947.75 16.71637972617327 0.05
OBS: 12.24 i_PS1 16963.7957 781.2117 16.926192419476784 0.05
OBS: 16.32 i_PS1 17460.2855 804.0759 16.89487165063824 0.05
OBS: 20.4 i_PS1 19531.9343 899.4788 16.77313686140295 0.05
OBS: 24.48 i_PS1 17201.4327 792.1552 16.911088449496894 0.05
OBS: 28.560000000000002 i_PS1 12714.4861 585.5237 17.239252969070385 0.05
OBS: 32.64 i_PS1 8731.8559 402.1168 17.647233604512238 0.05
OBS: 36.72 i_PS1 7601.7598 350.074 17.79771464241648 0.05
OBS: -8.16 z_PS1 15304.2082 704.7848 17.03797283455805 0.05
OBS: -4.08 z_PS1 27192.7489 1252.2724 16.41386721957214 0.05
OBS: 0.0 z_PS1 26703.6697 1229.7494 16.433572632591694 0.05
OBS: 4.08 z_PS1 24846.7857 1144.2368 16.511824466003823 0.05
OBS: 8.16 z_PS1 20265.9276 933.2805 16.733083784264416 0.05
OBS: 12.24 z_PS1 22678.6489 1044.3904 16.610957055023054 0.05
OBS: 16.32 z_PS1 22037.594 1014.8687 16.64208955682484 0.05
OBS: 20.4 z_PS1 20285.4063 934.1775 16.732040722938404 0.05
OBS: 24.48 z_PS1 18347.4879 844.933 16.841058476350973 0.05
OBS: 28.560000000000002 z_PS1 12291.6927 566.0534 17.27597076108796 0.05
OBS: 32.64 z_PS1 8987.8187 413.9043 17.6158642389031 0.05
OBS: 36.72 z_PS1 6777.2535 312.1041 17.922365674064995 0.05
END:
