# 0 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.06.13 (yyyy.mm.dd); 08.01 hrs (EDT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 0
MWEBV: 0
REDSHIFT_HELIO: 0.02
REDSHIFT_CMB: 0.02
REDSHIFT_CMB_ERR: 0.001
PEAKMJD: 0
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 48
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: -8.16 g_PS1 20135.8656 927.2909 16.740074240485768 0.05
OBS: -4.08 g_PS1 37735.7261 1737.7944 16.058118221553347 0.05
OBS: 0.0 g_PS1 46972.5595 2163.1663 15.82038943712908 0.05
OBS: 4.08 g_PS1 45371.9077 2089.4536 15.858032400807497 0.05
OBS: 8.16 g_PS1 35896.5009 1653.095 16.112369707928412 0.05
OBS: 12.24 g_PS1 22304.2042 1027.1466 16.629033170398298 0.05
OBS: 16.32 g_PS1 14401.2776 663.2033 17.103997444065136 0.05
OBS: 20.4 g_PS1 9205.5136 423.9296 17.589879939156383 0.05
OBS: 24.48 g_PS1 6041.7177 278.2314 18.047098923744937 0.05
OBS: 28.560000000000002 g_PS1 4324.1344 199.1337 18.41025205198401 0.05
OBS: 32.64 g_PS1 3737.3798 172.1127 18.56858191730117 0.05
OBS: 36.72 g_PS1 3552.7398 163.6097 18.623591496837893 0.05
OBS: -8.16 r_PS1 21916.9433 1009.3125 16.64805003895285 0.05
OBS: -4.08 r_PS1 37589.9818 1731.0826 16.062319712418685 0.05
OBS: 0.0 r_PS1 41359.9472 1904.696 15.958550061541297 0.05
OBS: 4.08 r_PS1 40670.5197 1872.9466 15.976800696315715 0.05
OBS: 8.16 r_PS1 30857.0637 1421.0203 16.276613507712675 0.05
OBS: 12.24 r_PS1 25742.8082 1185.5001 16.473360198000815 0.05
OBS: 16.32 r_PS1 22156.7961 1020.3582 16.636232595059305 0.05
OBS: 20.4 r_PS1 19679.41 906.2703 16.764969818001305 0.05
OBS: 24.48 r_PS1 16404.8465 755.4711 16.96256957096458 0.05
OBS: 28.560000000000002 r_PS1 11701.4031 538.8695 17.32940514878606 0.05
OBS: 32.64 r_PS1 8091.9392 372.6476 17.729868478685862 0.05
OBS: 36.72 r_PS1 6585.8677 303.2904 17.9534674880398 0.05
OBS: -8.16 i_PS1 17004.1326 783.0692 16.92361379555277 0.05
OBS: -4.08 i_PS1 25678.226 1182.526 16.47608745907746 0.05
OBS: 0.0 i_PS1 25015.5884 1152.0104 16.504473191547905 0.05
OBS: 4.08 i_PS1 20310.7188 935.3432 16.730686768324507 0.05
OBS: 8.16 i_PS1 16069.0512 740.0072 16.98502441273556 0.05
OBS: 12.24 i_PS1 14250.3358 656.2522 17.115437250525684 0.05
OBS: 16.32 i_PS1 16972.6547 781.6196 16.925625563210648 0.05
OBS: 20.4 i_PS1 21100.5059 971.7142 16.689267832093854 0.05
OBS: 24.48 i_PS1 16557.8974 762.5194 16.952487035239216 0.05
OBS: 28.560000000000002 i_PS1 11040.5151 508.4345 17.39252665679425 0.05
OBS: 32.64 i_PS1 7655.3027 352.5397 17.790094080541856 0.05
OBS: 36.72 i_PS1 5700.1237 262.5004 18.11028930319686 0.05
OBS: -8.16 z_PS1 15507.7893 714.1601 17.023625269686963 0.05
OBS: -4.08 z_PS1 19520.05 898.9315 16.773797687071276 0.05
OBS: 0.0 z_PS1 24198.8125 1114.3965 16.540514861973225 0.05
OBS: 4.08 z_PS1 20695.5302 953.0644 16.71030860676556 0.05
OBS: 8.16 z_PS1 19334.9973 890.4095 16.784139709022117 0.05
OBS: 12.24 z_PS1 16827.1599 774.9193 16.934972948716265 0.05
OBS: 16.32 z_PS1 18681.3381 860.3074 16.821480046480666 0.05
OBS: 20.4 z_PS1 17217.1127 792.8773 16.91009919118009 0.05
OBS: 24.48 z_PS1 16213.8393 746.6749 16.975285336423607 0.05
OBS: 28.560000000000002 z_PS1 10499.9535 483.5407 17.44703156317643 0.05
OBS: 32.64 z_PS1 7657.7755 352.6536 17.789743422987346 0.05
OBS: 36.72 z_PS1 5328.1711 245.3713 18.183554584979547 0.05
END:
